"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;61379;37864;299103;20.5;12.7
0-9;M;65528;40502;315797;20.8;12.8
10-19;K;281379;264381;345861;81.4;76.4
10-19;M;291831;273575;361526;80.7;75.7
20-29;K;320569;312804;381121;84.1;82.1
20-29;M;326720;317345;398072;82.1;79.7
30-39;K;301340;294741;351355;85.8;83.9
30-39;M;299448;292786;363668;82.3;80.5
40-49;K;344686;341554;374865;91.9;91.1
40-49;M;336953;333653;375735;89.7;88.8
50-59;K;378214;376285;401594;94.2;93.7
50-59;M;379294;377276;405014;93.6;93.2
60-69;K;325752;324756;339308;96.0;95.7
60-69;M;316814;315737;329779;96.1;95.7
70-79;K;292414;291823;300314;97.4;97.2
70-79;M;262216;261696;268945;97.5;97.3
80-89;K;127049;126676;130940;97.0;96.7
80-89;M;91950;91721;94321;97.5;97.2
90+;K;24700;24543;26042;94.8;94.2
90+;M;9915;9868;10303;96.2;95.8
