"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,165968,99266,28.1,16.8,590220
Midtjylland,360920,216365,27.0,16.2,1334281
Syddanmark,345875,193210,28.2,15.8,1224469
Hovedstaden,486329,309735,26.2,16.7,1856791
Sjælland,247541,157451,29.5,18.7,840426
