"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,165968,99266,590220
Midtjylland,360920,216365,1334281
Syddanmark,345875,193210,1224469
Hovedstaden,486329,309735,1856791
Sjælland,247541,157451,840426
