"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16873,2
AstraZeneca Covid-19 vaccine,Midtjylland,33692,34
AstraZeneca Covid-19 vaccine,Syddanmark,30466,262
AstraZeneca Covid-19 vaccine,Hovedstaden,45237,232
AstraZeneca Covid-19 vaccine,Sjælland,23875,344
Moderna Covid-19 Vaccine,Nordjylland,14369,4488
Moderna Covid-19 Vaccine,Midtjylland,24758,17251
Moderna Covid-19 Vaccine,Syddanmark,25923,21937
Moderna Covid-19 Vaccine,Hovedstaden,34766,25023
Moderna Covid-19 Vaccine,Sjælland,24859,20903
Pfizer BioNTech Covid-19 vacc,Nordjylland,134726,94776
Pfizer BioNTech Covid-19 vacc,Midtjylland,302470,199080
Pfizer BioNTech Covid-19 vacc,Syddanmark,289486,171011
Pfizer BioNTech Covid-19 vacc,Hovedstaden,406326,284480
Pfizer BioNTech Covid-19 vacc,Sjælland,198807,136204
