"Dato";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;Nordjylland;1;0;0;591743;1;0;0;0.00;0.00;0.00
2020-12-11;Nordjylland;1;0;0;591743;2;0;0;0.00;0.00;0.00
2020-12-16;Hovedstaden;1;0;0;1872584;1;0;0;0.00;0.00;0.00
2020-12-17;Hovedstaden;1;0;0;1872584;2;0;0;0.00;0.00;0.00
2020-12-18;Hovedstaden;1;0;0;1872584;3;0;0;0.00;0.00;0.00
2020-12-18;Sjælland;1;0;0;844285;1;0;0;0.00;0.00;0.00
2020-12-19;Hovedstaden;1;0;0;1872584;4;0;0;0.00;0.00;0.00
2020-12-20;Hovedstaden;1;0;0;1872584;5;0;0;0.00;0.00;0.00
2020-12-21;Hovedstaden;2;0;0;1872584;7;0;0;0.00;0.00;0.00
2020-12-21;Midtjylland;1;0;0;1344511;1;0;0;0.00;0.00;0.00
2020-12-22;Hovedstaden;1;0;0;1872584;8;0;0;0.00;0.00;0.00
2020-12-22;Midtjylland;2;0;0;1344511;3;0;0;0.00;0.00;0.00
2020-12-22;Syddanmark;2;0;0;1229543;2;0;0;0.00;0.00;0.00
2020-12-23;Hovedstaden;2;0;0;1872584;10;0;0;0.00;0.00;0.00
2020-12-23;Midtjylland;2;0;0;1344511;5;0;0;0.00;0.00;0.00
2020-12-24;Hovedstaden;3;0;0;1872584;13;0;0;0.00;0.00;0.00
2020-12-24;Sjælland;1;0;0;844285;2;0;0;0.00;0.00;0.00
2020-12-26;Hovedstaden;3;0;0;1872584;16;0;0;0.00;0.00;0.00
2020-12-26;Sjælland;2;0;0;844285;4;0;0;0.00;0.00;0.00
2020-12-27;Hovedstaden;1559;0;0;1872584;1575;0;0;0.08;0.00;0.00
2020-12-27;Midtjylland;1695;0;0;1344511;1700;0;0;0.13;0.00;0.00
2020-12-27;Nordjylland;936;0;0;591743;938;0;0;0.16;0.00;0.00
2020-12-27;Sjælland;1151;0;0;844285;1155;0;0;0.14;0.00;0.00
2020-12-27;Syddanmark;401;0;0;1229543;403;0;0;0.03;0.00;0.00
2020-12-28;Hovedstaden;465;0;0;1872584;2040;0;0;0.11;0.00;0.00
2020-12-28;Midtjylland;194;0;0;1344511;1894;0;0;0.14;0.00;0.00
2020-12-28;Nordjylland;105;0;0;591743;1043;0;0;0.18;0.00;0.00
2020-12-28;Sjælland;552;0;0;844285;1707;0;0;0.20;0.00;0.00
2020-12-28;Syddanmark;590;0;0;1229543;993;0;0;0.08;0.00;0.00
2020-12-29;Hovedstaden;3356;0;0;1872584;5396;0;0;0.29;0.00;0.00
2020-12-29;Midtjylland;986;0;0;1344511;2880;0;0;0.21;0.00;0.00
2020-12-29;Nordjylland;267;1;0;591743;1310;1;0;0.22;0.00;0.00
2020-12-29;Sjælland;1778;0;0;844285;3485;0;0;0.41;0.00;0.00
2020-12-29;Syddanmark;1725;0;0;1229543;2718;0;0;0.22;0.00;0.00
2020-12-30;Hovedstaden;3348;0;0;1872584;8744;0;0;0.47;0.00;0.00
2020-12-30;Midtjylland;1146;0;0;1344511;4026;0;0;0.30;0.00;0.00
