"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;00-02;K;2;0;0;31596;0.01;0.00;0.00
Hovedstaden;00-02;M;0;0;0;33500;0.00;0.00;0.00
Hovedstaden;03-04;K;3;0;0;20006;0.01;0.00;0.00
Hovedstaden;03-04;M;3;1;0;20942;0.01;0.00;0.00
Hovedstaden;05-11;K;27671;21495;1;67078;41.3;32.0;0.00
Hovedstaden;05-11;M;29060;22581;0;70298;41.3;32.1;0.00
Hovedstaden;12-15;K;30519;29355;122;40299;75.7;72.8;0.30
Hovedstaden;12-15;M;32363;31127;148;42841;75.5;72.7;0.35
Hovedstaden;16-19;K;34589;34034;12961;39510;87.5;86.1;32.8
Hovedstaden;16-19;M;35387;34648;12156;41153;86.0;84.2;29.5
Hovedstaden;20-39;K;233243;228430;154315;279003;83.6;81.9;55.3
Hovedstaden;20-39;M;223946;217566;136844;274125;81.7;79.4;49.9
Hovedstaden;40-64;K;271959;270134;238774;294235;92.4;91.8;81.2
Hovedstaden;40-64;M;267120;265138;232769;292588;91.3;90.6;79.6
Hovedstaden;65-79;K;126809;126510;122715;131334;96.6;96.3;93.4
Hovedstaden;65-79;M;109566;109326;106082;113209;96.8;96.6;93.7
Hovedstaden;80+;K;48336;48201;46767;49954;96.8;96.5;93.6
Hovedstaden;80+;M;30149;30090;29361;30913;97.5;97.3;95.0
Midtjylland;00-02;K;2;1;0;21536;0.01;0.00;0.00
Midtjylland;00-02;M;1;0;0;22723;0.00;0.00;0.00
Midtjylland;03-04;K;4;0;0;14170;0.03;0.00;0.00
Midtjylland;03-04;M;0;0;0;15144;0.00;0.00;0.00
Midtjylland;05-11;K;24643;20343;0;49091;50.2;41.4;0.00
Midtjylland;05-11;M;26110;21526;0;51571;50.6;41.7;0.00
Midtjylland;12-15;K;26061;25366;78;31200;83.5;81.3;0.25
Midtjylland;12-15;M;27244;26469;82;32656;83.4;81.1;0.25
Midtjylland;16-19;K;29568;29305;11550;32192;91.8;91.0;35.9
Midtjylland;16-19;M;30351;29985;11074;33480;90.7;89.6;33.1
Midtjylland;20-39;K;148835;146536;105155;170701;87.2;85.8;61.6
Midtjylland;20-39;M;151629;148396;98590;179703;84.4;82.6;54.9
Midtjylland;40-64;K;199056;198256;182693;210729;94.5;94.1;86.7
Midtjylland;40-64;M;197686;196759;178630;211619;93.4;93.0;84.4
Midtjylland;65-79;K;102079;101960;100059;104567;97.6;97.5;95.7
Midtjylland;65-79;M;96697;96582;94699;99076;97.6;97.5;95.6
Midtjylland;80+;K;36719;36650;35869;37606;97.6;97.5;95.4
Midtjylland;80+;M;26277;26242;25754;26747;98.2;98.1;96.3
Nordjylland;00-02;K;0;0;0;8594;0.00;0.00;0.00
Nordjylland;00-02;M;0;0;0;9008;0.00;0.00;0.00
Nordjylland;03-04;K;1;0;0;5886;0.02;0.00;0.00
Nordjylland;03-04;M;1;0;0;6116;0.02;0.00;0.00
Nordjylland;05-11;K;9965;8195;1;20126;49.5;40.7;0.00
Nordjylland;05-11;M;10414;8472;0;21196;49.1;40.0;0.00
Nordjylland;12-15;K;10850;10527;20;12978;83.6;81.1;0.15
Nordjylland;12-15;M;11531;11171;23;13787;83.6;81.0;0.17
Nordjylland;16-19;K;12308;12196;4683;13369;92.1;91.2;35.0
Nordjylland;16-19;M;12942;12753;4450;14179;91.3;89.9;31.4
Nordjylland;20-39;K;59663;58600;40742;68396;87.2;85.7;59.6
Nordjylland;20-39;M;64559;62901;40126;76514;84.4;82.2;52.4
Nordjylland;40-64;K;88355;87977;81071;93453;94.5;94.1;86.8
Nordjylland;40-64;M;88626;88157;79646;95068;93.2;92.7;83.8
Nordjylland;65-79;K;49876;49793;48749;51115;97.6;97.4;95.4
Nordjylland;65-79;M;47774;47699;46633;49016;97.5;97.3;95.1
Nordjylland;80+;K;18590;18563;18132;19089;97.4;97.2;95.0
Nordjylland;80+;M;13538;13518;13257;13853;97.7;97.6;95.7
