"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-U20;80-89;800;3530;1;248684;238419;232690;10;95.9;93.6;0.00
2021-U20;90+;90;121;1;45250;42944;42249;9;94.9;93.4;0.02
2021-U21;10-19;4224;150;0;675182;7053;1981;0;1.04;0.29;0.00
2021-U21;20-29;1799;5409;1;783901;57430;45161;13;7.33;5.76;0.00
2021-U21;30-39;1736;5785;3;718743;69918;56962;22;9.73;7.93;0.00
2021-U21;40-49;8236;7938;3;733274;102145;80900;33;13.9;11.0;0.00
2021-U21;50-59;177411;9124;3;806732;422653;105636;37;52.4;13.1;0.00
2021-U21;60-69;62888;13978;2;676154;598930;137015;30;88.6;20.3;0.00
2021-U21;70-79;3071;24595;4;582002;556080;513524;25;95.5;88.2;0.00
2021-U21;80-89;640;1093;2;248684;239059;233783;12;96.1;94.0;0.00
2021-U21;90+;85;72;0;45250;43029;42321;9;95.1;93.5;0.02
2021-U22;0-9;1;0;0;612744;4;2;0;0.00;0.00;0.00
2021-U22;10-19;22487;163;0;675182;29540;2144;0;4.38;0.32;0.00
2021-U22;20-29;11125;3276;3;783901;68555;48437;16;8.75;6.18;0.00
2021-U22;30-39;5780;3583;1;718743;75698;60545;23;10.5;8.42;0.00
2021-U22;40-49;49757;4761;4;733274;151902;85661;37;20.7;11.7;0.01
2021-U22;50-59;148061;5695;2;806732;570714;111331;39;70.7;13.8;0.00
2021-U22;60-69;21300;70152;1;676154;620230;207167;31;91.7;30.6;0.00
2021-U22;70-79;2015;18077;3;582002;558095;531601;28;95.9;91.3;0.00
2021-U22;80-89;450;1535;1;248684;239509;235318;13;96.3;94.6;0.01
2021-U22;90+;38;80;0;45250;43067;42401;9;95.2;93.7;0.02
2021-U23;0-9;1;0;0;612744;5;2;0;0.00;0.00;0.00
2021-U23;10-19;49756;165;1;675182;79296;2309;1;11.7;0.34;0.00
2021-U23;20-29;44788;1762;1;783901;113343;50199;17;14.5;6.40;0.00
2021-U23;30-39;11374;1884;0;718743;87072;62429;23;12.1;8.69;0.00
2021-U23;40-49;117576;2570;3;733274;269478;88231;40;36.7;12.0;0.01
2021-U23;50-59;100852;3722;3;806732;671566;115053;42;83.2;14.3;0.01
2021-U23;60-69;7894;92245;6;676154;628124;299412;37;92.9;44.3;0.01
2021-U23;70-79;1406;10033;1;582002;559501;541634;29;96.1;93.1;0.00
2021-U23;80-89;351;1124;0;248684;239860;236442;13;96.5;95.1;0.01
2021-U23;90+;46;106;0;45250;43113;42507;9;95.3;93.9;0.02
2021-U24;10-19;46410;142;1;675182;125706;2451;2;18.6;0.36;0.00
2021-U24;20-29;70815;1452;0;783901;184158;51651;17;23.5;6.59;0.00
2021-U24;30-39;10247;1508;0;718743;97319;63937;23;13.5;8.90;0.00
2021-U24;40-49;136320;1854;3;733274;405798;90085;43;55.3;12.3;0.01
2021-U24;50-59;34213;9619;2;806732;705779;124672;44;87.5;15.5;0.01
2021-U24;60-69;3857;118519;4;676154;631981;417931;41;93.5;61.8;0.01
2021-U24;70-79;1022;5665;2;582002;560523;547299;31;96.3;94.0;0.01
2021-U24;80-89;262;687;0;248684;240122;237129;13;96.6;95.4;0.01
2021-U24;90+;31;79;1;45250;43144;42586;10;95.3;94.1;0.02
2021-U25;10-19;22227;255;0;675182;147933;2706;2;21.9;0.40;0.00
2021-U25;20-29;71707;1773;1;783901;255865;53424;18;32.6;6.82;0.00
2021-U25;30-39;19702;1608;1;718743;117021;65545;24;16.3;9.12;0.00
2021-U25;40-49;93336;1826;3;733274;499134;91911;46;68.1;12.5;0.01
2021-U25;50-59;12209;82583;4;806732;717988;207255;48;89.0;25.7;0.01
2021-U25;60-69;2224;102887;4;676154;634205;520818;45;93.8;77.0;0.01
2021-U25;70-79;666;4460;10;582002;561189;551759;41;96.4;94.8;0.01
2021-U25;80-89;178;709;1;248684;240300;237838;14;96.6;95.6;0.01
2021-U25;90+;29;83;1;45250;43173;42669;11;95.4;94.3;0.02
2021-U26;10-19;21521;3439;0;675182;169454;6145;2;25.1;0.91;0.00
2021-U26;20-29;60752;1630;1;783901;316617;55054;19;40.4;7.02;0.00
2021-U26;30-39;26503;1402;0;718743;143524;66947;24;20.0;9.31;0.00
2021-U26;40-49;53055;6491;2;733274;552189;98402;48;75.3;13.4;0.01
2021-U26;50-59;5824;177006;5;806732;723812;384261;53;89.7;47.6;0.01
2021-U26;60-69;1490;66529;4;676154;635695;587347;49;94.0;86.9;0.01
2021-U26;70-79;475;2968;1;582002;561664;554727;42;96.5;95.3;0.01
2021-U26;80-89;148;624;0;248684;240448;238462;14;96.7;95.9;0.01
2021-U26;90+;20;83;0;45250;43193;42752;11;95.5;94.5;0.02
2021-U27;0-9;2;1;0;612744;7;3;0;0.00;0.00;0.00
2021-U27;10-19;16792;15439;1;675182;186246;21584;3;27.6;3.20;0.00
2021-U27;20-29;102526;3902;1;783901;419143;58956;20;53.5;7.52;0.00
2021-U27;30-39;111520;1486;2;718743;255044;68433;26;35.5;9.52;0.00
2021-U27;40-49;37770;34184;3;733274;589959;132586;51;80.5;18.1;0.01
2021-U27;50-59;5402;154101;10;806732;729214;538362;63;90.4;66.7;0.01
2021-U27;60-69;1878;26693;3;676154;637573;614040;52;94.3;90.8;0.01
2021-U27;70-79;589;2195;0;582002;562253;556922;42;96.6;95.7;0.01
2021-U27;80-89;154;461;2;248684;240602;238923;16;96.8;96.1;0.01
2021-U27;90+;26;43;1;45250;43219;42795;12;95.5;94.6;0.03
2021-U28;0-9;3;0;0;612744;10;3;0;0.00;0.00;0.00
2021-U28;10-19;19191;41957;0;675182;205437;63541;3;30.4;9.41;0.00
2021-U28;20-29;66616;34633;2;783901;485759;93589;22;62.0;11.9;0.00
2021-U28;30-39;121585;3151;3;718743;376629;71584;29;52.4;9.96;0.00
2021-U28;40-49;14974;103561;7;733274;604933;236147;58;82.5;32.2;0.01
2021-U28;50-59;3064;111337;5;806732;732278;649699;68;90.8;80.5;0.01
2021-U28;60-69;1130;9610;2;676154;638703;623650;54;94.5;92.2;0.01
2021-U28;70-79;399;1463;1;582002;562652;558385;43;96.7;95.9;0.01
2021-U28;80-89;125;366;2;248684;240727;239289;18;96.8;96.2;0.01
2021-U28;90+;21;44;0;45250;43240;42839;12;95.6;94.7;0.03
2021-U29;0-9;1;0;0;612744;11;3;0;0.00;0.00;0.00
2021-U29;10-19;45828;48716;0;675182;251265;112257;3;37.2;16.6;0.00
2021-U29;20-29;44608;71776;1;783901;530367;165365;23;67.7;21.1;0.00
2021-U29;30-39;70051;8437;2;718743;446680;80021;31;62.1;11.1;0.00
2021-U29;40-49;10863;137312;8;733274;615796;373459;66;84.0;50.9;0.01
2021-U29;50-59;2992;43368;6;806732;735270;693067;74;91.1;85.9;0.01
2021-U29;60-69;1078;5488;3;676154;639781;629138;57;94.6;93.0;0.01
2021-U29;70-79;377;1188;0;582002;563029;559573;43;96.7;96.1;0.01
2021-U29;80-89;115;309;0;248684;240842;239598;18;96.8;96.3;0.01
2021-U29;90+;12;41;0;45250;43252;42880;12;95.6;94.8;0.03
2021-U30;0-9;2;0;0;612744;13;3;0;0.00;0.00;0.00
2021-U30;10-19;39176;31014;1;675182;290441;143271;4;43.0;21.2;0.00
2021-U30;20-29;23539;73698;8;783901;553906;239063;31;70.7;30.5;0.00
2021-U30;30-39;42748;21565;5;718743;489428;101586;36;68.1;14.1;0.01
2021-U30;40-49;6850;96362;7;733274;622646;469821;73;84.9;64.1;0.01
2021-U30;50-59;2150;17018;8;806732;737420;710085;82;91.4;88.0;0.01
2021-U30;60-69;810;2733;4;676154;640591;631871;61;94.7;93.5;0.01
2021-U30;70-79;306;769;1;582002;563335;560342;44;96.8;96.3;0.01
2021-U30;80-89;91;192;2;248684;240933;239790;20;96.9;96.4;0.01
2021-U30;90+;11;36;0;45250;43263;42916;12;95.6;94.8;0.03
2021-U31;10-19;34714;29159;0;675182;325155;172430;4;48.2;25.5;0.00
2021-U31;20-29;11791;85229;3;783901;565697;324292;34;72.2;41.4;0.00
2021-U31;30-39;21122;78940;4;718743;510550;180526;40;71.0;25.1;0.01
2021-U31;40-49;4712;65774;11;733274;627358;535595;84;85.6;73.0;0.01
2021-U31;50-59;1594;8800;7;806732;739014;718885;89;91.6;89.1;0.01
2021-U31;60-69;591;2084;5;676154;641182;633955;66;94.8;93.8;0.01
2021-U31;70-79;213;615;1;582002;563548;560957;45;96.8;96.4;0.01
2021-U31;80-89;71;204;0;248684;241004;239994;20;96.9;96.5;0.01
2021-U31;90+;12;27;0;45250;43275;42943;12;95.6;94.9;0.03
2021-U32;10-19;19657;41503;0;675182;344812;213933;4;51.1;31.7;0.00
2021-U32;20-29;8856;101193;6;783901;574553;425485;40;73.3;54.3;0.01
2021-U32;30-39;12737;137370;12;718743;523287;317896;52;72.8;44.2;0.01
2021-U32;40-49;4016;45649;6;733274;631374;581244;90;86.1;79.3;0.01
2021-U32;50-59;1467;7580;11;806732;740481;726465;100;91.8;90.1;0.01
2021-U32;60-69;561;2524;11;676154;641743;636479;77;94.9;94.1;0.01
2021-U32;70-79;214;848;2;582002;563762;561805;47;96.9;96.5;0.01
2021-U32;80-89;63;224;0;248684;241067;240218;20;96.9;96.6;0.01
