"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-39;1;0;0;1502644;1;0;0;0.00;0.00;0.00
2020-U50;40-64;1;0;0;1893036;1;0;0;0.00;0.00;0.00
2020-U51;16-19;1;0;0;274756;1;0;0;0.00;0.00;0.00
2020-U51;20-39;3;0;0;1502644;4;0;0;0.00;0.00;0.00
2020-U51;40-64;1;0;0;1893036;2;0;0;0.00;0.00;0.00
2020-U51;80+;1;0;0;293934;1;0;0;0.00;0.00;0.00
2020-U52;16-19;6;0;0;274756;7;0;0;0.00;0.00;0.00
2020-U52;20-39;1221;0;0;1502644;1225;0;0;0.08;0.00;0.00
2020-U52;40-64;2565;0;0;1893036;2567;0;0;0.14;0.00;0.00
2020-U52;65-79;845;0;0;905126;845;0;0;0.09;0.00;0.00
2020-U52;80+;1126;0;0;293934;1127;0;0;0.38;0.00;0.00
2020-U53;12-15;1;0;0;272906;1;0;0;0.00;0.00;0.00
2020-U53;16-19;40;0;0;274756;47;0;0;0.02;0.00;0.00
2020-U53;20-39;7838;0;0;1502644;9063;0;0;0.60;0.00;0.00
2020-U53;40-64;20183;1;0;1893036;22750;1;0;1.20;0.00;0.00
2020-U53;65-79;5428;0;0;905126;6273;0;0;0.69;0.00;0.00
2020-U53;80+;7208;0;0;293934;8335;0;0;2.84;0.00;0.00
2021-U01;16-19;90;0;0;274756;137;0;0;0.05;0.00;0.00
2021-U01;20-39;9837;1;0;1502644;18900;1;0;1.26;0.00;0.00
2021-U01;40-64;27149;1;0;1893036;49899;2;0;2.64;0.00;0.00
2021-U01;65-79;8547;0;0;905126;14820;0;0;1.64;0.00;0.00
2021-U01;80+;11687;1;0;293934;20022;1;0;6.81;0.00;0.00
2021-U02;16-19;51;0;0;274756;188;0;0;0.07;0.00;0.00
2021-U02;20-39;8131;101;0;1502644;27031;102;0;1.80;0.01;0.00
2021-U02;40-64;18004;301;0;1893036;67903;303;0;3.59;0.02;0.00
2021-U02;65-79;11117;101;0;905126;25937;101;0;2.87;0.01;0.00
2021-U02;80+;12534;132;0;293934;32556;133;0;11.1;0.05;0.00
2021-U03;12-15;1;1;0;272906;2;1;0;0.00;0.00;0.00
2021-U03;16-19;36;32;0;274756;224;32;0;0.08;0.01;0.00
2021-U03;20-39;1641;3684;0;1502644;28672;3786;0;1.91;0.25;0.00
2021-U03;40-64;3618;10631;0;1893036;71521;10934;0;3.78;0.58;0.00
2021-U03;65-79;2435;3955;0;905126;28372;4056;0;3.13;0.45;0.00
2021-U03;80+;2735;6032;0;293934;35291;6165;0;12.0;2.10;0.00
2021-U04;16-19;18;74;0;274756;242;106;0;0.09;0.04;0.00
2021-U04;20-39;839;9233;0;1502644;29511;13019;0;1.96;0.87;0.00
