"Dato";"Kommune";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-03-30;Helsingør;M;24724;24251;18613;0;1;1;30404;81.3;79.8;61.2
2022-03-30;Herlev;K;11764;11493;8757;0;0;0;14719;79.9;78.1;59.5
2022-03-30;Herlev;M;10850;10559;7637;0;0;0;14064;77.1;75.1;54.3
2022-03-30;Herning;K;37455;36908;28381;0;0;-2;44379;84.4;83.2;64.0
2022-03-30;Herning;M;37206;36572;27112;2;2;-1;45051;82.6;81.2;60.2
2022-03-30;Hillerød;K;22689;22356;17384;-1;-3;2;27188;83.5;82.2;63.9
2022-03-30;Hillerød;M;21383;20947;15800;1;1;4;26182;81.7;80.0;60.3
2022-03-30;Hjørring;K;27471;27116;21484;5;5;3;31811;86.4;85.2;67.5
2022-03-30;Hjørring;M;26941;26485;19976;-2;-1;-1;31955;84.3;82.9;62.5
2022-03-30;Holbæk;K;30874;30440;23838;-8;-8;-3;36694;84.1;83.0;65.0
2022-03-30;Holbæk;M;29813;29298;22005;-5;-5;-3;36248;82.2;80.8;60.7
2022-03-30;Holstebro;K;24961;24597;19139;-3;-3;-1;29291;85.2;84.0;65.3
2022-03-30;Holstebro;M;24469;24029;17841;-7;-7;-4;29306;83.5;82.0;60.9
2022-03-30;Horsens;K;38927;38409;29371;-2;-3;-4;47144;82.6;81.5;62.3
2022-03-30;Horsens;M;38199;37489;27561;-2;-2;-1;47921;79.7;78.2;57.5
2022-03-30;Hvidovre;K;21261;20740;15395;2;3;3;26933;78.9;77.0;57.2
2022-03-30;Hvidovre;M;20210;19673;14060;-3;-2;-3;26279;76.9;74.9;53.5
2022-03-30;Høje Tåstrup;K;20070;19621;14361;6;6;4;26530;75.7;74.0;54.1
2022-03-30;Høje Tåstrup;M;19813;19305;13692;2;3;5;26970;73.5;71.6;50.8
2022-03-30;Hørsholm;K;11284;11123;8936;-1;1;3;13102;86.1;84.9;68.2
2022-03-30;Hørsholm;M;9811;9627;7485;3;4;3;11638;84.3;82.7;64.3
2022-03-30;Ikast-Brande;K;17087;16845;12842;-2;-2;-2;20529;83.2;82.1;62.6
2022-03-30;Ikast-Brande;M;17288;17022;12561;-1;-1;1;21485;80.5;79.2;58.5
2022-03-30;Ishøj;K;8238;8005;5520;-2;-2;-1;11639;70.8;68.8;47.4
2022-03-30;Ishøj;M;7967;7718;5249;3;3;1;11632;68.5;66.4;45.1
2022-03-30;Jammerbugt;K;16115;15844;12552;2;2;2;18897;85.3;83.8;66.4
2022-03-30;Jammerbugt;M;16162;15860;12096;3;3;4;19250;84.0;82.4;62.8
2022-03-30;Kalundborg;K;19956;19672;15727;3;3;4;24070;82.9;81.7;65.3
2022-03-30;Kalundborg;M;19849;19525;14929;6;6;3;24368;81.5;80.1;61.3
2022-03-30;Kerteminde;K;10496;10328;8289;-1;-2;1;12179;86.2;84.8;68.1
2022-03-30;Kerteminde;M;10027;9838;7578;-1;0;0;11863;84.5;82.9;63.9
2022-03-30;Kolding;K;38987;38418;29132;3;5;7;46886;83.2;81.9;62.1
2022-03-30;Kolding;M;37995;37330;27317;2;4;8;46884;81.0;79.6;58.3
2022-03-30;København;K;260664;255221;187524;-16;-5;106;328164;79.4;77.8;57.1
2022-03-30;København;M;247259;240870;168340;-11;-2;111;318909;77.5;75.5;52.8
2022-03-30;Køge;K;25701;25254;19672;0;-2;3;31081;82.7;81.3;63.3
2022-03-30;Køge;M;24750;24235;18112;-1;-1;2;30679;80.7;79.0;59.0
2022-03-30;Langeland;K;5267;5213;4371;1;1;0;6033;87.3;86.4;72.5
2022-03-30;Langeland;M;5282;5211;4271;2;2;1;6274;84.2;83.1;68.1
2022-03-30;Lejre;K;12024;11831;9247;-1;-1;-1;14394;83.5;82.2;64.2
2022-03-30;Lejre;M;11682;11513;8824;0;0;0;14199;82.3;81.1;62.1
2022-03-30;Lemvig;K;8148;8065;6515;-1;-1;-1;9476;86.0;85.1;68.8
2022-03-30;Lemvig;M;8353;8240;6501;1;0;0;9875;84.6;83.4;65.8
2022-03-30;Lolland;K;16428;16217;13100;-3;-3;-1;19810;82.9;81.9;66.1
2022-03-30;Lolland;M;16341;16092;12500;-1;-1;2;20207;80.9;79.6;61.9
2022-03-30;Lyngby-Taarbæk;K;24831;24371;18967;-3;-4;5;29364;84.6;83.0;64.6
2022-03-30;Lyngby-Taarbæk;M;23711;23126;17109;-10;-11;-3;28602;82.9;80.9;59.8
2022-03-30;Læsø;K;771;762;658;0;0;0;896;86.0;85.0;73.4
2022-03-30;Læsø;M;766;759;656;0;0;0;889;86.2;85.4;73.8
2022-03-30;Mariagerfjord;K;17401;17101;13582;1;2;-1;20381;85.4;83.9;66.6
2022-03-30;Mariagerfjord;M;17809;17463;13328;0;1;0;21268;83.7;82.1;62.7
2022-03-30;Middelfart;K;17097;16875;13491;-1;-1;-2;19820;86.3;85.1;68.1
2022-03-30;Middelfart;M;16820;16550;12787;1;1;3;19869;84.7;83.3;64.4
2022-03-30;Morsø;K;8509;8360;6628;0;0;-1;9873;86.2;84.7;67.1
2022-03-30;Morsø;M;8516;8356;6360;-1;-1;-1;10191;83.6;82.0;62.4
2022-03-30;Norddjurs;K;15437;15242;12398;-1;-1;-2;18096;85.3;84.2;68.5
2022-03-30;Norddjurs;M;15824;15558;12158;4;5;4;18873;83.8;82.4;64.4
2022-03-30;Nordfyn;K;12549;12352;9736;1;1;0;14716;85.3;83.9;66.2
2022-03-30;Nordfyn;M;12413;12189;9221;0;0;0;15037;82.5;81.1;61.3
2022-03-30;Nyborg;K;13996;13800;10985;-2;-2;-1;16192;86.4;85.2;67.8
2022-03-30;Nyborg;M;13485;13281;10227;0;0;2;15847;85.1;83.8;64.5
2022-03-30;Næstved;K;35307;34821;27370;-4;-4;-4;42280;83.5;82.4;64.7
2022-03-30;Næstved;M;33965;33393;25214;-9;-7;1;41735;81.4;80.0;60.4
2022-03-30;Odder;K;10192;10067;8169;1;1;1;11866;85.9;84.8;68.8
2022-03-30;Odder;M;9796;9643;7541;-3;-3;-1;11512;85.1;83.8;65.5
2022-03-30;Odense;K;88045;86628;67068;-9;-8;9;104138;84.5;83.2;64.4
2022-03-30;Odense;M;84023;82299;60392;-10;-10;7;101992;82.4;80.7;59.2
2022-03-30;Odsherred;K;13924;13725;11282;2;2;3;16384;85.0;83.8;68.9
2022-03-30;Odsherred;M;13706;13536;10729;-2;-2;0;16461;83.3;82.2;65.2
2022-03-30;Randers;K;41822;41198;32081;1;1;8;49521;84.5;83.2;64.8
2022-03-30;Randers;M;40708;40003;30031;-3;-3;4;49605;82.1;80.6;60.5
2022-03-30;Rebild;K;12654;12442;9523;-2;-2;0;15105;83.8;82.4;63.0
2022-03-30;Rebild;M;12810;12555;9377;0;0;0;15605;82.1;80.5;60.1
2022-03-30;Ringkøbing-Skjern;K;23275;22945;17970;-7;-4;1;27603;84.3;83.1;65.1
2022-03-30;Ringkøbing-Skjern;M;23577;23204;17545;-1;1;10;28621;82.4;81.1;61.3
2022-03-30;Ringsted;K;14272;14036;10874;0;0;5;17449;81.8;80.4;62.3
2022-03-30;Ringsted;M;13967;13722;10247;-2;-2;1;17846;78.3;76.9;57.4
2022-03-30;Roskilde;K;38623;38058;29697;0;0;1;45669;84.6;83.3;65.0
2022-03-30;Roskilde;M;36392;35734;26773;-1;-1;3;43934;82.8;81.3;60.9
2022-03-30;Rudersdal;K;24905;24459;19245;-1;-1;6;29225;85.2;83.7;65.9
2022-03-30;Rudersdal;M;23446;22989;17469;-1;0;1;28003;83.7;82.1;62.4
2022-03-30;Rødovre;K;16716;16353;12271;-5;-6;-1;21153;79.0;77.3;58.0
2022-03-30;Rødovre;M;15427;15009;10702;2;3;3;20350;75.8;73.8;52.6
2022-03-30;Samsø;K;1633;1618;1371;-1;-1;-1;1856;88.0;87.2;73.9
2022-03-30;Samsø;M;1605;1591;1300;1;1;1;1851;86.7;86.0;70.2
2022-03-30;Silkeborg;K;41022;40368;31206;4;4;2;49030;83.7;82.3;63.6
2022-03-30;Silkeborg;M;40012;39285;29619;4;3;2;48806;82.0;80.5;60.7
2022-03-30;Skanderborg;K;27340;26879;20721;3;1;5;32429;84.3;82.9;63.9
2022-03-30;Skanderborg;M;26608;26090;19608;1;1;4;32104;82.9;81.3;61.1
2022-03-30;Skive;K;19186;18936;14851;-4;-4;-3;22119;86.7;85.6;67.1
2022-03-30;Skive;M;19536;19249;14673;-1;-1;-1;22918;85.2;84.0;64.0
2022-03-30;Slagelse;K;33037;32472;25546;-2;0;3;40071;82.4;81.0;63.8
2022-03-30;Slagelse;M;32002;31436;23799;-3;-2;0;39647;80.7;79.3;60.0
2022-03-30;Solrød;K;9962;9803;7472;1;1;-2;12080;82.5;81.2;61.9
2022-03-30;Solrød;M;9501;9304;6948;-3;-3;-3;11744;80.9;79.2;59.2
2022-03-30;Sorø;K;12703;12547;9929;-6;-6;-2;15002;84.7;83.6;66.2
2022-03-30;Sorø;M;12424;12229;9249;-2;-2;1;14984;82.9;81.6;61.7
2022-03-30;Stevns;K;9754;9609;7736;-1;-1;2;11677;83.5;82.3;66.2
2022-03-30;Stevns;M;9793;9628;7453;2;1;4;11947;82.0;80.6;62.4
2022-03-30;Struer;K;8946;8821;7067;-1;-1;-1;10301;86.8;85.6;68.6
2022-03-30;Struer;M;8903;8760;6685;0;0;0;10498;84.8;83.4;63.7
2022-03-30;Svendborg;K;25592;25249;20111;-7;-6;-1;29748;86.0;84.9;67.6
2022-03-30;Svendborg;M;24961;24569;18647;-6;-5;-3;29469;84.7;83.4;63.3
2022-03-30;Syddjurs;K;18617;18341;14707;-3;-3;-1;21886;85.1;83.8;67.2
2022-03-30;Syddjurs;M;18329;18057;14105;-3;-3;0;21845;83.9;82.7;64.6
2022-03-30;Sønderborg;K;31118;30689;24362;-4;-4;7;36854;84.4;83.3;66.1
2022-03-30;Sønderborg;M;30466;29978;22905;-1;-1;14;36903;82.6;81.2;62.1
