"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-U46;16-19;1605;658;323;280113;243910;236478;1960;87.1;84.4;0.70
2021-U46;20-39;12178;7373;8577;1500476;1201489;1128036;56460;80.1;75.2;3.76
2021-U46;40-64;4284;2112;20627;1907864;1755379;1733733;168982;92.0;90.9;8.86
2021-U46;65-79;357;176;65836;884867;856398;854136;175156;96.8;96.5;19.8
2021-U46;80+;87;54;25415;255594;246943;246218;160743;96.6;96.3;62.9
2021-U47;03-04;0;0;1;124499;5;2;1;0.00;0.00;0.00
2021-U47;05-11;1139;1;0;441523;1205;22;1;0.27;0.00;0.00
2021-U47;12-15;4255;3317;12;301043;226357;205928;78;75.2;68.4;0.03
2021-U47;16-19;1399;775;294;280113;245309;237253;2254;87.6;84.7;0.80
2021-U47;20-39;9456;7850;8053;1500476;1210945;1135886;64513;80.7;75.7;4.30
2021-U47;40-64;3296;2242;19884;1907864;1758675;1735975;188866;92.2;91.0;9.90
2021-U47;65-79;361;186;139502;884867;856759;854322;314658;96.8;96.5;35.6
2021-U47;80+;85;47;22556;255594;247028;246265;183299;96.6;96.4;71.7
2021-U48;05-11;21891;10;0;441523;23096;32;1;5.23;0.01;0.00
2021-U48;12-15;3764;5217;18;301043;230121;211145;96;76.4;70.1;0.03
2021-U48;16-19;1724;1378;395;280113;247033;238631;2649;88.2;85.2;0.95
2021-U48;20-39;9458;11143;8687;1500476;1220403;1147029;73200;81.3;76.4;4.88
2021-U48;40-64;3230;3917;22032;1907864;1761905;1739892;210898;92.3;91.2;11.1
2021-U48;65-79;292;376;138163;884867;857051;854698;452821;96.9;96.6;51.2
2021-U48;80+;68;82;17457;255594;247096;246347;200756;96.7;96.4;78.5
2021-U49;03-04;3;0;0;124499;8;2;1;0.01;0.00;0.00
2021-U49;05-11;55350;14;0;441523;78446;46;1;17.8;0.01;0.00
2021-U49;12-15;3891;5647;20;301043;234012;216792;116;77.7;72.0;0.04
2021-U49;16-19;1172;1578;617;280113;248205;240209;3266;88.6;85.8;1.17
2021-U49;20-39;8042;14647;11978;1500476;1228445;1161676;85178;81.9;77.4;5.68
2021-U49;40-64;2836;4779;94700;1907864;1764741;1744671;305598;92.5;91.4;16.0
2021-U49;65-79;408;417;161182;884867;857459;855115;614003;96.9;96.6;69.4
2021-U49;80+;122;91;15120;255594;247218;246438;215876;96.7;96.4;84.5
2021-U50;03-04;13;0;0;124499;21;2;1;0.02;0.00;0.00
2021-U50;05-11;67374;596;0;441523;145820;642;1;33.0;0.15;0.00
2021-U50;12-15;4433;5021;80;301043;238445;221813;196;79.2;73.7;0.07
2021-U50;16-19;955;1525;2083;280113;249160;241734;5349;88.9;86.3;1.91
2021-U50;20-39;6563;14829;21192;1500476;1235008;1176505;106370;82.3;78.4;7.09
2021-U50;40-64;2602;4392;598706;1907864;1767343;1749063;904304;92.6;91.7;47.4
2021-U50;65-79;539;436;138402;884867;857998;855551;752405;97.0;96.7;85.0
2021-U50;80+;213;142;12314;255594;247431;246580;228190;96.8;96.5;89.3
2021-U51;03-04;8;0;0;124499;29;2;1;0.02;0.00;0.00
2021-U51;05-11;22151;5445;2;441523;167971;6087;3;38.0;1.38;0.00
2021-U51;12-15;2285;2804;142;301043;240730;224617;338;80.0;74.6;0.11
2021-U51;16-19;742;1318;22123;280113;249902;243052;27472;89.2;86.8;9.81
2021-U51;20-39;4586;9396;68366;1500476;1239594;1185901;174736;82.6;79.0;11.6
2021-U51;40-64;1832;2768;321349;1907864;1769175;1751831;1225653;92.7;91.8;64.2
2021-U51;65-79;400;313;47686;884867;858398;855864;800091;97.0;96.7;90.4
2021-U51;80+;128;88;6236;255594;247559;246668;234426;96.9;96.5;91.7
2021-U52;03-04;4;0;0;124499;33;2;1;0.03;0.00;0.00
2021-U52;05-11;16376;32082;0;441523;184347;38169;3;41.8;8.64;0.00
2021-U52;12-15;1722;3548;135;301043;242452;228165;473;80.5;75.8;0.16
2021-U52;16-19;413;1235;35270;280113;250315;244287;62742;89.4;87.2;22.4
2021-U52;20-39;2848;8324;144820;1500476;1242442;1194225;319556;82.8;79.6;21.3
2021-U52;40-64;948;2699;143504;1907864;1770123;1754530;1369157;92.8;92.0;71.8
2021-U52;65-79;175;274;13480;884867;858573;856138;813571;97.0;96.8;91.9
2021-U52;80+;63;73;2001;255594;247622;246741;236427;96.9;96.5;92.5
2022-U01;03-04;12;6;0;124499;45;8;1;0.04;0.01;0.00
2022-U01;05-11;12860;60921;1;441523;197207;99090;4;44.7;22.4;0.00
2022-U01;12-15;1657;4511;299;301043;244109;232676;772;81.1;77.3;0.26
2022-U01;16-19;448;1253;21998;280113;250763;245540;84740;89.5;87.7;30.3
2022-U01;20-39;3105;10006;161411;1500476;1245547;1204231;480967;83.0;80.3;32.1
2022-U01;40-64;1042;2948;97514;1907864;1771165;1757478;1466671;92.8;92.1;76.9
2022-U01;65-79;215;455;9805;884867;858788;856593;823376;97.1;96.8;93.1
2022-U01;80+;113;135;1657;255594;247735;246876;238084;96.9;96.6;93.1
2022-U02;03-04;6;9;0;124499;51;17;1;0.04;0.01;0.00
2022-U02;05-11;6233;32228;0;441523;203440;131318;4;46.1;29.7;0.00
2022-U02;12-15;945;2811;164;301043;245054;235487;936;81.4;78.2;0.31
2022-U02;16-19;333;881;15346;280113;251096;246421;100086;89.6;88.0;35.7
2022-U02;20-39;2296;6644;128990;1500476;1247843;1210875;609957;83.2;80.7;40.7
2022-U02;40-64;814;2095;54905;1907864;1771979;1759573;1521576;92.9;92.2;79.8
2022-U02;65-79;186;409;6173;884867;858974;857002;829549;97.1;96.9;93.7
2022-U02;80+;51;152;1292;255594;247786;247028;239376;96.9;96.6;93.7
2022-U03;03-04;2;3;0;124499;53;20;1;0.04;0.02;0.00
2022-U03;05-11;3068;16712;1;441523;206508;148030;5;46.8;33.5;0.00
2022-U03;12-15;548;1670;91;301043;245602;237157;1027;81.6;78.8;0.34
2022-U03;16-19;251;539;10424;280113;251347;246960;110510;89.7;88.2;39.5
2022-U03;20-39;1703;4672;94778;1500476;1249546;1215547;704735;83.3;81.0;47.0
2022-U03;40-64;592;1273;33896;1907864;1772571;1760846;1555472;92.9;92.3;81.5
2022-U03;65-79;123;268;3515;884867;859097;857270;833064;97.1;96.9;94.1
2022-U03;80+;62;97;734;255594;247848;247125;240110;97.0;96.7;93.9
2022-U04;03-04;4;3;0;124499;57;23;1;0.05;0.02;0.00
2022-U04;05-11;1114;10246;0;441523;207622;158276;5;47.0;35.8;0.00
2022-U04;12-15;253;1279;60;301043;245855;238436;1087;81.7;79.2;0.36
2022-U04;16-19;127;397;4906;280113;251474;247357;115416;89.8;88.3;41.2
2022-U04;20-39;968;3081;44195;1500476;1250514;1218628;748930;83.3;81.2;49.9
2022-U04;40-64;313;987;16497;1907864;1772884;1761833;1571969;92.9;92.3;82.4
2022-U04;65-79;80;191;1844;884867;859177;857461;834908;97.1;96.9;94.4
2022-U04;80+;24;77;450;255594;247872;247202;240560;97.0;96.7;94.1
2022-U05;03-04;2;3;0;124499;59;26;1;0.05;0.02;0.00
2022-U05;05-11;503;4663;0;441523;208125;162939;5;47.1;36.9;0.00
2022-U05;12-15;134;616;57;301043;245989;239052;1144;81.7;79.4;0.38
2022-U05;16-19;76;241;2897;280113;251550;247598;118313;89.8;88.4;42.2
2022-U05;20-39;573;1676;19226;1500476;1251087;1220304;768156;83.4;81.3;51.2
2022-U05;40-64;192;623;8318;1907864;1773076;1762456;1580287;92.9;92.4;82.8
2022-U05;65-79;58;148;1019;884867;859235;857609;835927;97.1;96.9;94.5
2022-U05;80+;18;64;238;255594;247890;247266;240798;97.0;96.7;94.2
2022-U06;03-04;1;0;0;124499;60;26;1;0.05;0.02;0.00
2022-U06;05-11;230;3038;0;441523;208355;165977;5;47.2;37.6;0.00
2022-U06;12-15;79;487;45;301043;246068;239539;1189;81.7;79.6;0.39
2022-U06;16-19;52;196;1861;280113;251602;247794;120174;89.8;88.5;42.9
2022-U06;20-39;395;1448;12402;1500476;1251482;1221752;780558;83.4;81.4;52.0
2022-U06;40-64;128;508;5156;1907864;1773204;1762964;1585443;92.9;92.4;83.1
2022-U06;65-79;34;123;773;884867;859269;857732;836700;97.1;96.9;94.6
2022-U06;80+;16;51;207;255594;247906;247317;241005;97.0;96.8;94.3
2022-U07;03-04;1;1;0;124499;61;27;1;0.05;0.02;0.00
2022-U07;05-11;217;1499;0;441523;208572;167476;5;47.2;37.9;0.00
2022-U07;12-15;69;234;14;301043;246137;239773;1203;81.8;79.6;0.40
2022-U07;16-19;54;118;882;280113;251656;247912;121056;89.8;88.5;43.2
2022-U07;20-39;284;818;7285;1500476;1251766;1222570;787843;83.4;81.5;52.5
2022-U07;40-64;93;293;2796;1907864;1773297;1763257;1588239;92.9;92.4;83.2
2022-U07;65-79;19;79;434;884867;859288;857811;837134;97.1;96.9;94.6
2022-U07;80+;7;34;110;255594;247913;247351;241115;97.0;96.8;94.3
2022-U08;05-11;120;1409;1;441523;208692;168885;6;47.3;38.3;0.00
2022-U08;12-15;71;251;9;301043;246208;240024;1212;81.8;79.7;0.40
2022-U08;16-19;45;94;744;280113;251701;248006;121800;89.9;88.5;43.5
2022-U08;20-39;281;666;6852;1500476;1252047;1223236;794695;83.4;81.5;53.0
2022-U08;40-64;83;228;2576;1907864;1773380;1763485;1590815;93.0;92.4;83.4
2022-U08;65-79;27;59;364;884867;859315;857870;837498;97.1;96.9;94.6
2022-U08;80+;7;32;108;255594;247920;247383;241223;97.0;96.8;94.4
2022-U09;03-04;1;1;0;124499;62;28;1;0.05;0.02;0.00
2022-U09;05-11;145;830;1;441523;208837;169715;7;47.3;38.4;0.00
2022-U09;12-15;62;191;7;301043;246270;240215;1219;81.8;79.8;0.40
2022-U09;16-19;32;77;880;280113;251733;248083;122680;89.9;88.6;43.8
2022-U09;20-39;191;589;5530;1500476;1252238;1223825;800225;83.5;81.6;53.3
2022-U09;40-64;86;196;1933;1907864;1773466;1763681;1592748;93.0;92.4;83.5
2022-U09;65-79;7;46;256;884867;859322;857916;837754;97.1;97.0;94.7
2022-U09;80+;5;19;51;255594;247925;247402;241274;97.0;96.8;94.4
2022-U10;03-04;2;1;0;124499;64;29;1;0.05;0.02;0.00
2022-U10;05-11;98;558;0;441523;208935;170273;7;47.3;38.6;0.00
2022-U10;12-15;64;120;5;301043;246334;240335;1224;81.8;79.8;0.41
2022-U10;16-19;21;75;693;280113;251754;248158;123373;89.9;88.6;44.0
2022-U10;20-39;184;443;4602;1500476;1252422;1224268;804827;83.5;81.6;53.6
2022-U10;40-64;65;134;1471;1907864;1773531;1763815;1594219;93.0;92.4;83.6
2022-U10;65-79;10;15;185;884867;859332;857931;837939;97.1;97.0;94.7
2022-U10;80+;2;8;39;255594;247927;247410;241313;97.0;96.8;94.4
2022-U11;03-04;0;1;0;124499;64;30;1;0.05;0.02;0.00
2022-U11;05-11;77;443;0;441523;209012;170716;7;47.3;38.7;0.00
2022-U11;12-15;38;107;6;301043;246372;240442;1230;81.8;79.9;0.41
2022-U11;16-19;34;82;590;280113;251788;248240;123963;89.9;88.6;44.3
2022-U11;20-39;191;388;4212;1500476;1252613;1224656;809039;83.5;81.6;53.9
2022-U11;40-64;50;128;1273;1907864;1773581;1763943;1595492;93.0;92.5;83.6
2022-U11;65-79;10;32;166;884867;859342;857963;838105;97.1;97.0;94.7
2022-U11;80+;4;9;37;255594;247931;247419;241350;97.0;96.8;94.4
2022-U12;05-11;89;349;1;441523;209101;171065;8;47.4;38.7;0.00
2022-U12;12-15;55;117;6;301043;246427;240559;1236;81.9;79.9;0.41
2022-U12;16-19;24;38;484;280113;251812;248278;124447;89.9;88.6;44.4
2022-U12;20-39;185;342;3448;1500476;1252798;1224998;812487;83.5;81.6;54.1
2022-U12;40-64;60;86;1055;1907864;1773641;1764029;1596547;93.0;92.5;83.7
2022-U12;65-79;12;17;122;884867;859354;857980;838227;97.1;97.0;94.7
2022-U12;80+;5;10;26;255594;247936;247429;241376;97.0;96.8;94.4
2022-U13;05-11;21;83;0;441523;209122;171148;8;47.4;38.8;0.00
2022-U13;12-15;12;33;1;301043;246439;240592;1237;81.9;79.9;0.41
2022-U13;16-19;9;15;155;280113;251821;248293;124602;89.9;88.6;44.5
2022-U13;20-39;62;110;1189;1500476;1252860;1225108;813676;83.5;81.6;54.2
2022-U13;40-64;10;34;319;1907864;1773651;1764063;1596866;93.0;92.5;83.7
2022-U13;65-79;4;3;34;884867;859358;857983;838261;97.1;97.0;94.7
2022-U13;80+;0;3;9;255594;247936;247432;241385;97.0;96.8;94.4
