"Dato";"Region";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-03-30;Hovedstaden;K;773131;758159;575655;-16;-6;174;953015;81.1;79.6;60.4
2022-03-30;Hovedstaden;M;727594;710477;517360;2;25;183;919569;79.1;77.3;56.3
2022-03-30;Midtjylland;K;566967;558417;435404;-15;-19;38;671792;84.4;83.1;64.8
2022-03-30;Midtjylland;M;555995;545959;408829;-16;-16;47;672719;82.6;81.2;60.8
2022-03-30;Nordjylland;K;249608;245851;193398;-11;-10;-8;293006;85.2;83.9;66.0
2022-03-30;Nordjylland;M;249385;244671;184135;-16;-14;-12;298737;83.5;81.9;61.6
2022-03-30;Sjælland;K;352686;347418;273864;-22;-19;9;423451;83.3;82.0;64.7
2022-03-30;Sjælland;M;342311;336401;255399;-34;-29;9;420834;81.3;79.9;60.7
2022-03-30;Syddanmark;K;517000;509519;398317;-22;-15;41;613994;84.2;83.0;64.9
2022-03-30;Syddanmark;M;506582;497779;373675;-36;-24;35;615549;82.3;80.9;60.7
