"Dato";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;1;0;0;5882666;1;0;0;0.00;0.00;0.00
2020-12-11;1;0;0;5882666;2;0;0;0.00;0.00;0.00
2020-12-16;1;0;0;5882666;3;0;0;0.00;0.00;0.00
2020-12-17;1;0;0;5882666;4;0;0;0.00;0.00;0.00
2020-12-18;2;0;0;5882666;6;0;0;0.00;0.00;0.00
2020-12-19;1;0;0;5882666;7;0;0;0.00;0.00;0.00
2020-12-20;1;0;0;5882666;8;0;0;0.00;0.00;0.00
2020-12-21;3;0;0;5882666;11;0;0;0.00;0.00;0.00
2020-12-22;5;0;0;5882666;16;0;0;0.00;0.00;0.00
2020-12-23;4;0;0;5882666;20;0;0;0.00;0.00;0.00
2020-12-24;4;0;0;5882666;24;0;0;0.00;0.00;0.00
2020-12-26;5;0;0;5882666;29;0;0;0.00;0.00;0.00
2020-12-27;5742;0;0;5882666;5771;0;0;0.10;0.00;0.00
2020-12-28;1906;0;0;5882666;7677;0;0;0.13;0.00;0.00
2020-12-29;8112;1;0;5882666;15789;1;0;0.27;0.00;0.00
2020-12-30;10408;0;0;5882666;26197;1;0;0.45;0.00;0.00
2020-12-31;5422;0;0;5882666;31619;1;0;0.54;0.00;0.00
2021-01-01;2052;0;0;5882666;33671;1;0;0.57;0.00;0.00
2021-01-02;7719;0;0;5882666;41390;1;0;0.70;0.00;0.00
2021-01-03;5079;0;0;5882666;46469;1;0;0.79;0.00;0.00
2021-01-04;2311;0;0;5882666;48780;1;0;0.83;0.00;0.00
2021-01-05;12068;0;0;5882666;60848;1;0;1.03;0.00;0.00
2021-01-06;17388;0;0;5882666;78236;1;0;1.33;0.00;0.00
2021-01-07;15394;0;0;5882666;93630;1;0;1.59;0.00;0.00
2021-01-08;7509;1;0;5882666;101139;2;0;1.72;0.00;0.00
2021-01-09;1822;2;0;5882666;102961;4;0;1.75;0.00;0.00
2021-01-10;818;0;0;5882666;103779;4;0;1.76;0.00;0.00
2021-01-11;666;0;0;5882666;104445;4;0;1.78;0.00;0.00
2021-01-12;464;2;0;5882666;104909;6;0;1.78;0.00;0.00
2021-01-13;11921;5;0;5882666;116830;11;0;1.99;0.00;0.00
2021-01-14;16479;1;0;5882666;133309;12;0;2.27;0.00;0.00
2021-01-15;13886;5;0;5882666;147195;17;0;2.50;0.00;0.00
2021-01-16;4213;10;0;5882666;151408;27;0;2.57;0.00;0.00
2021-01-17;2208;612;0;5882666;153616;639;0;2.61;0.01;0.00
2021-01-18;3520;1892;0;5882666;157136;2531;0;2.67;0.04;0.00
2021-01-19;2287;1830;0;5882666;159423;4361;0;2.71;0.07;0.00
2021-01-20;1394;1658;0;5882666;160817;6019;0;2.73;0.10;0.00
2021-01-21;1426;2081;0;5882666;162243;8100;0;2.76;0.14;0.00
2021-01-22;629;5093;0;5882666;162872;13193;0;2.77;0.22;0.00
2021-01-23;667;6183;0;5882666;163539;19376;0;2.78;0.33;0.00
2021-01-24;543;5598;0;5882666;164082;24974;0;2.79;0.42;0.00
2021-01-25;271;2209;0;5882666;164353;27183;0;2.79;0.46;0.00
2021-01-26;210;1568;0;5882666;164563;28751;0;2.80;0.49;0.00
2021-01-27;205;3967;0;5882666;164768;32718;0;2.80;0.56;0.00
2021-01-28;237;7640;0;5882666;165005;40358;0;2.80;0.69;0.00
2021-01-29;1017;16719;0;5882666;166022;57077;0;2.82;0.97;0.00
2021-01-30;1098;11459;0;5882666;167120;68536;0;2.84;1.17;0.00
2021-01-31;1117;10788;0;5882666;168237;79324;0;2.86;1.35;0.00
2021-02-01;716;7341;0;5882666;168953;86665;0;2.87;1.47;0.00
2021-02-02;1833;2813;0;5882666;170786;89478;0;2.90;1.52;0.00
2021-02-03;1348;5829;0;5882666;172134;95307;0;2.93;1.62;0.00
2021-02-04;1284;10212;0;5882666;173418;105519;0;2.95;1.79;0.00
2021-02-05;1493;12406;0;5882666;174911;117925;0;2.97;2.00;0.00
2021-02-06;933;6254;0;5882666;175844;124179;0;2.99;2.11;0.00
2021-02-07;1709;3342;0;5882666;177553;127521;0;3.02;2.17;0.00
2021-02-08;2313;6599;0;5882666;179866;134120;0;3.06;2.28;0.00
2021-02-09;3319;4548;0;5882666;183185;138668;0;3.11;2.36;0.00
2021-02-10;3161;3657;0;5882666;186346;142325;0;3.17;2.42;0.00
2021-02-11;5567;2334;0;5882666;191913;144659;0;3.26;2.46;0.00
2021-02-12;11706;7471;0;5882666;203619;152130;0;3.46;2.59;0.00
2021-02-13;6255;898;0;5882666;209874;153028;0;3.57;2.60;0.00
2021-02-14;5945;588;0;5882666;215819;153616;0;3.67;2.61;0.00
2021-02-15;13063;3055;0;5882666;228882;156671;0;3.89;2.66;0.00
2021-02-16;12550;1280;0;5882666;241432;157951;0;4.10;2.69;0.00
2021-02-17;9937;397;0;5882666;251369;158348;0;4.27;2.69;0.00
2021-02-18;11114;318;0;5882666;262483;158666;0;4.46;2.70;0.00
2021-02-19;13402;928;0;5882666;275885;159594;0;4.69;2.71;0.00
2021-02-20;9957;548;0;5882666;285842;160142;0;4.86;2.72;0.00
2021-02-21;10311;340;0;5882666;296153;160482;0;5.03;2.73;0.00
2021-02-22;13031;1067;0;5882666;309184;161549;0;5.26;2.75;0.00
2021-02-23;13935;1848;1;5882666;323119;163397;1;5.49;2.78;0.00
2021-02-24;13255;1788;1;5882666;336374;165185;2;5.72;2.81;0.00
2021-02-25;14295;586;1;5882666;350669;165771;3;5.96;2.82;0.00
2021-02-26;35149;993;1;5882666;385818;166764;4;6.56;2.83;0.00
2021-02-27;6412;1301;2;5882666;392230;168065;6;6.67;2.86;0.00
2021-02-28;10528;1271;2;5882666;402758;169336;8;6.85;2.88;0.00
2021-03-01;19071;1013;2;5882666;421829;170349;10;7.17;2.90;0.00
2021-03-02;16328;1216;1;5882666;438157;171565;11;7.45;2.92;0.00
2021-03-03;12804;969;1;5882666;450961;172534;12;7.67;2.93;0.00
2021-03-04;17168;1745;1;5882666;468129;174279;13;7.96;2.96;0.00
2021-03-05;16200;5401;0;5882666;484329;179680;13;8.23;3.05;0.00
2021-03-06;14275;3733;0;5882666;498604;183413;13;8.48;3.12;0.00
2021-03-07;11631;4036;0;5882666;510235;187449;13;8.67;3.19;0.00
2021-03-08;9336;6119;1;5882666;519571;193568;14;8.83;3.29;0.00
2021-03-09;10659;6747;12;5882666;530230;200315;26;9.01;3.41;0.00
2021-03-10;11792;6795;2;5882666;542022;207110;28;9.21;3.52;0.00
2021-03-11;4372;7536;1;5882666;546394;214646;29;9.29;3.65;0.00
2021-03-12;3205;9995;0;5882666;549599;224641;29;9.34;3.82;0.00
2021-03-13;4417;5568;1;5882666;554016;230209;30;9.42;3.91;0.00
2021-03-14;1191;8974;0;5882666;555207;239183;30;9.44;4.07;0.00
2021-03-15;2733;9449;1;5882666;557940;248632;31;9.48;4.23;0.00
2021-03-16;6605;9029;0;5882666;564545;257661;31;9.60;4.38;0.00
2021-03-17;10463;8720;0;5882666;575008;266381;31;9.77;4.53;0.00
2021-03-18;14272;6929;0;5882666;589280;273310;31;10.0;4.65;0.00
2021-03-19;7647;11269;0;5882666;596927;284579;31;10.1;4.84;0.00
2021-03-20;2939;4611;0;5882666;599866;289190;31;10.2;4.92;0.00
2021-03-21;4887;4514;0;5882666;604753;293704;31;10.3;4.99;0.00
2021-03-22;4035;7478;0;5882666;608788;301182;31;10.3;5.12;0.00
2021-03-23;5953;7324;2;5882666;614741;308506;33;10.5;5.24;0.00
2021-03-24;9631;12943;1;5882666;624372;321449;34;10.6;5.46;0.00
2021-03-25;7581;8129;2;5882666;631953;329578;36;10.7;5.60;0.00
2021-03-26;6045;7557;0;5882666;637998;337135;36;10.8;5.73;0.00
