"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-31;Aalborg;356;0;0;221177;2339;1;0;1.06;0.00;0.00
2020-12-31;Albertslund;17;0;0;27531;100;0;0;0.36;0.00;0.00
2020-12-31;Allerød;7;0;0;25871;110;0;0;0.43;0.00;0.00
2020-12-31;Assens;19;0;0;40899;83;0;0;0.20;0.00;0.00
2020-12-31;Ballerup;27;0;0;49380;163;0;0;0.33;0.00;0.00
2020-12-31;Billund;134;0;0;26730;195;0;0;0.73;0.00;0.00
2020-12-31;Brøndby;23;0;0;35829;136;0;0;0.38;0.00;0.00
2020-12-31;Brønderslev;14;0;0;36315;125;0;0;0.34;0.00;0.00
2020-12-31;Dragør;7;0;0;14580;55;0;0;0.38;0.00;0.00
2020-12-31;Egedal;19;0;0;44537;191;0;0;0.43;0.00;0.00
2020-12-31;Esbjerg;243;0;0;115457;773;0;0;0.67;0.00;0.00
2020-12-31;Faaborg-Midtfyn;24;0;0;51927;112;0;0;0.22;0.00;0.00
2020-12-31;Fanø;2;0;0;3438;33;0;0;0.96;0.00;0.00
2020-12-31;Favrskov;30;0;0;49002;140;0;0;0.29;0.00;0.00
2020-12-31;Faxe;20;0;0;37128;122;0;0;0.33;0.00;0.00
2020-12-31;Fredensborg;10;0;0;41314;133;0;0;0.32;0.00;0.00
2020-12-31;Fredericia;13;0;0;51681;98;0;0;0.19;0.00;0.00
2020-12-31;Frederiksberg;56;0;0;103866;536;0;0;0.52;0.00;0.00
2020-12-31;Frederikssund;13;0;0;45881;113;0;0;0.25;0.00;0.00
2020-12-31;Furesø;15;0;0;41583;178;0;0;0.43;0.00;0.00
2020-12-31;Gentofte;50;0;0;74308;421;0;0;0.57;0.00;0.00
2020-12-31;Gladsaxe;55;0;0;69261;348;0;0;0.50;0.00;0.00
2020-12-31;Glostrup;9;0;0;23519;96;0;0;0.41;0.00;0.00
2020-12-31;Greve;30;0;0;50911;416;0;0;0.82;0.00;0.00
2020-12-31;Gribskov;6;0;0;41241;118;0;0;0.29;0.00;0.00
2020-12-31;Guldborgsund;7;0;0;60228;375;0;0;0.62;0.00;0.00
2020-12-31;Haderslev;14;0;0;55255;95;0;0;0.17;0.00;0.00
2020-12-31;Halsnæs;3;0;0;31412;89;0;0;0.28;0.00;0.00
2020-12-31;Hedensted;15;0;0;47195;58;0;0;0.12;0.00;0.00
2020-12-31;Helsingør;11;0;0;62878;194;0;0;0.31;0.00;0.00
2020-12-31;Herlev;26;0;0;28783;338;0;0;1.17;0.00;0.00
2020-12-31;Herning;13;0;0;89430;143;0;0;0.16;0.00;0.00
2020-12-31;Hillerød;15;0;0;53370;339;0;0;0.64;0.00;0.00
2020-12-31;Hjørring;3;0;0;63766;283;0;0;0.44;0.00;0.00
2020-12-31;Holbæk;102;0;0;72942;574;0;0;0.79;0.00;0.00
2020-12-31;Holstebro;90;0;0;58597;137;0;0;0.23;0.00;0.00
2020-12-31;Horsens;28;0;0;95065;145;0;0;0.15;0.00;0.00
2020-12-31;Hvidovre;39;0;0;53212;297;0;0;0.56;0.00;0.00
2020-12-31;Høje Tåstrup;35;0;0;53500;207;0;0;0.39;0.00;0.00
2020-12-31;Hørsholm;15;0;0;24740;92;0;0;0.37;0.00;0.00
2020-12-31;Ikast-Brande;110;0;0;42014;137;0;0;0.33;0.00;0.00
2020-12-31;Ishøj;15;0;0;23271;156;0;0;0.67;0.00;0.00
2020-12-31;Jammerbugt;3;0;0;38147;75;0;0;0.20;0.00;0.00
2020-12-31;Kalundborg;33;0;0;48438;367;0;0;0.76;0.00;0.00
2020-12-31;Kerteminde;4;0;0;24042;42;0;0;0.17;0.00;0.00
2020-12-31;Kolding;16;0;0;93770;611;0;0;0.65;0.00;0.00
2020-12-31;København;920;0;0;647073;4704;0;0;0.73;0.00;0.00
2020-12-31;Køge;179;0;0;61760;425;0;0;0.69;0.00;0.00
2020-12-31;Langeland;7;0;0;12307;15;0;0;0.12;0.00;0.00
2020-12-31;Lejre;32;0;0;28593;119;0;0;0.42;0.00;0.00
2020-12-31;Lemvig;1;0;0;19351;4;0;0;0.02;0.00;0.00
2020-12-31;Lolland;2;0;0;40017;62;0;0;0.15;0.00;0.00
2020-12-31;Lyngby-Taarbæk;41;0;0;57966;290;0;0;0.50;0.00;0.00
2020-12-31;Mariagerfjord;180;0;0;41649;415;0;0;1.00;0.00;0.00
2020-12-31;Middelfart;156;0;0;39689;249;0;0;0.63;0.00;0.00
2020-12-31;Morsø;2;0;0;20064;15;0;0;0.07;0.00;0.00
2020-12-31;Norddjurs;4;0;0;36969;29;0;0;0.08;0.00;0.00
2020-12-31;Nordfyn;10;0;0;29753;53;0;0;0.18;0.00;0.00
2020-12-31;Nyborg;4;0;0;32039;53;0;0;0.17;0.00;0.00
2020-12-31;Næstved;168;0;0;84015;725;0;0;0.86;0.00;0.00
