"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;0-9;K;17231;12938;0;98927;17.4;13.1;0.00
Hovedstaden;0-9;M;18257;13758;0;104312;17.5;13.2;0.00
Hovedstaden;10-19;K;75553;71946;13084;99562;75.9;72.3;13.1
Hovedstaden;10-19;M;78556;74599;12304;104422;75.2;71.4;11.8
Hovedstaden;20-29;K;121416;118889;83484;146808;82.7;81.0;56.9
Hovedstaden;20-29;M;114461;110940;70282;141129;81.1;78.6;49.8
Hovedstaden;30-39;K;111827;109541;70831;132195;84.6;82.9;53.6
Hovedstaden;30-39;M;109485;106626;66562;132996;82.3;80.2;50.0
Hovedstaden;40-49;K;110500;109433;90903;122007;90.6;89.7;74.5
Hovedstaden;40-49;M;107278;106128;87235;121309;88.4;87.5;71.9
Hovedstaden;50-59;K;113990;113382;103174;122158;93.3;92.8;84.5
Hovedstaden;50-59;M;113108;112455;101687;122069;92.7;92.1;83.3
Hovedstaden;60-69;K;90460;90201;85974;94956;95.3;95.0;90.5
Hovedstaden;60-69;M;85966;85669;81465;90087;95.4;95.1;90.4
Hovedstaden;70-79;K;83818;83628;81438;86448;97.0;96.7;94.2
Hovedstaden;70-79;M;70334;70212;68464;72332;97.2;97.1;94.7
Hovedstaden;80-89;K;39261;39168;38111;40493;97.0;96.7;94.1
Hovedstaden;80-89;M;26785;26736;26103;27457;97.6;97.4;95.1
Hovedstaden;90+;K;9075;9033;8656;9461;95.9;95.5;91.5
Hovedstaden;90+;M;3364;3354;3258;3456;97.3;97.0;94.3
Midtjylland;0-9;K;15063;11917;0;70064;21.5;17.0;0.00
Midtjylland;0-9;M;16108;12756;0;74068;21.7;17.2;0.00
Midtjylland;10-19;K;65215;63098;11628;78125;83.5;80.8;14.9
Midtjylland;10-19;M;67598;65224;11156;81506;82.9;80.0;13.7
Midtjylland;20-29;K;80576;79319;58768;92926;86.7;85.4;63.2
Midtjylland;20-29;M;82083;80197;53377;97123;84.5;82.6;55.0
Midtjylland;30-39;K;68259;67217;46387;77775;87.8;86.4;59.6
Midtjylland;30-39;M;69546;68199;45213;82580;84.2;82.6;54.8
Midtjylland;40-49;K;76072;75636;66517;81857;92.9;92.4;81.3
Midtjylland;40-49;M;74867;74309;63293;82441;90.8;90.1;76.8
Midtjylland;50-59;K;84479;84202;79174;88896;95.0;94.7;89.1
Midtjylland;50-59;M;85081;84789;79147;89978;94.6;94.2;88.0
Midtjylland;60-69;K;74977;74829;72561;77542;96.7;96.5;93.6
Midtjylland;60-69;M;73336;73197;70814;75904;96.6;96.4;93.3
Midtjylland;70-79;K;65607;65549;64500;67001;97.9;97.8;96.3
Midtjylland;70-79;M;61099;61046;60075;62372;98.0;97.9;96.3
Midtjylland;80-89;K;30090;30040;29480;30743;97.9;97.7;95.9
Midtjylland;80-89;M;23264;23235;22834;23665;98.3;98.2;96.5
Midtjylland;90+;K;6629;6610;6389;6863;96.6;96.3;93.1
Midtjylland;90+;M;3013;3007;2920;3082;97.8;97.6;94.7
Nordjylland;0-9;K;6163;4858;0;28607;21.5;17.0;0.00
Nordjylland;0-9;M;6446;5036;0;30012;21.5;16.8;0.00
Nordjylland;10-19;K;26961;26060;4704;32346;83.4;80.6;14.5
Nordjylland;10-19;M;28442;27360;4473;34274;83.0;79.8;13.1
Nordjylland;20-29;K;31865;31276;22297;36629;87.0;85.4;60.9
Nordjylland;20-29;M;35563;34581;22344;41795;85.1;82.7;53.5
Nordjylland;30-39;K;27798;27324;18445;31767;87.5;86.0;58.1
Nordjylland;30-39;M;28996;28320;17782;34719;83.5;81.6;51.2
Nordjylland;40-49;K;31779;31585;27745;34112;93.2;92.6;81.3
Nordjylland;40-49;M;31830;31570;26723;35133;90.6;89.9;76.1
Nordjylland;50-59;K;37886;37751;35417;39911;94.9;94.6;88.7
Nordjylland;50-59;M;38399;38241;35376;40759;94.2;93.8;86.8
Nordjylland;60-69;K;36253;36163;34978;37517;96.6;96.4;93.2
Nordjylland;60-69;M;35647;35562;34277;36950;96.5;96.2;92.8
Nordjylland;70-79;K;32313;32271;31680;33028;97.8;97.7;95.9
Nordjylland;70-79;M;30524;30483;29903;31242;97.7;97.6;95.7
Nordjylland;80-89;K;15226;15209;14885;15598;97.6;97.5;95.4
Nordjylland;80-89;M;11943;11927;11713;12221;97.7;97.6;95.8
Nordjylland;90+;K;3364;3354;3247;3491;96.4;96.1;93.0
Nordjylland;90+;M;1595;1591;1544;1632;97.7;97.5;94.6
Sjælland;0-9;K;7605;6053;0;40115;19.0;15.1;0.00
Sjælland;0-9;M;8237;6552;1;42585;19.3;15.4;0.00
Sjælland;10-19;K;38488;37184;6626;48423;79.5;76.8;13.7
Sjælland;10-19;M;40910;39401;6672;51528;79.4;76.5;12.9
