"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;6;2;0;90875;0.0;0.0;0.0
00-02;M;1;0;0;95811;0.0;0.0;0.0
03-04;K;10;2;0;60534;0.0;0.0;0.0
03-04;M;6;2;0;63917;0.0;0.0;0.0
05-11;K;95591;77782;4;209038;45.7;37.2;0.0
05-11;M;101135;82235;2;220089;46.0;37.4;0.0
12-15;K;106230;102965;326;132724;80.0;77.6;0.2
12-15;M;112072;108562;368;140182;79.9;77.4;0.3
16-19;K;121264;119870;46217;134254;90.3;89.3;34.4
16-19;M;125200;123184;44091;140502;89.1;87.7;31.4
20-39;K;624910;613118;421843;736318;84.9;83.3;57.3
20-39;M;630118;614029;392332;766326;82.2;80.1;51.2
40-64;K;884169;879539;797072;945722;93.5;93.0;84.3
40-64;M;874654;869440;777260;947314;92.3;91.8;82.0
65-79;K;457716;456952;446321;471276;97.1;97.0;94.7
65-79;M;421901;421222;411108;433850;97.2;97.1;94.8
80+;K;169496;169134;164855;174517;97.1;96.9;94.5
80+;M;116780;116613;114237;119417;97.8;97.7;95.7
