"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;58684;46014;0;298060;19.7;15.4;0.0
0-9;M;62570;49113;1;314684;19.9;15.6;0.0
10-19;K;264417;254607;46547;329365;80.3;77.3;14.1
10-19;M;275844;264870;44460;345817;79.8;76.6;12.9
20-29;K;322926;316684;224884;384128;84.1;82.4;58.5
20-29;M;328394;319319;205034;399773;82.1;79.9;51.3
30-39;K;301984;296434;196959;352190;85.7;84.2;55.9
30-39;M;301724;294710;187298;366553;82.3;80.4;51.1
40-49;K;336190;333621;285731;366469;91.7;91.0;78.0
40-49;M;327672;324621;270574;366805;89.3;88.5;73.8
50-59;K;377936;376344;349188;401352;94.2;93.8;87.0
50-59;M;379528;377866;347693;405380;93.6;93.2;85.8
60-69;K;329467;328686;316659;343079;96.0;95.8;92.3
60-69;M;320081;319246;306642;333075;96.1;95.8;92.1
70-79;K;298292;297840;291815;306098;97.4;97.3;95.3
70-79;M;269274;268929;263459;275904;97.6;97.5;95.5
80-89;K;138896;138653;135473;142668;97.4;97.2;95.0
80-89;M;103735;103597;101594;106016;97.8;97.7;95.8
90+;K;30600;30481;29382;31849;96.1;95.7;92.3
90+;M;13045;13016;12643;13401;97.3;97.1;94.3
