"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Aabenraa;47175;46531;35961;58738;80.3;79.2;61.2
Aalborg;186136;182751;138658;221177;84.2;82.6;62.7
Albertslund;20585;19969;14093;27531;74.8;72.5;51.2
Allerød;21978;21612;16760;25871;85.0;83.5;64.8
Assens;34891;34351;26713;40899;85.3;84.0;65.3
Ballerup;39070;38251;29046;49380;79.1;77.5;58.8
Billund;22168;21833;16788;26730;82.9;81.7;62.8
Bornholm;33991;33478;27259;39632;85.8;84.5;68.8
Brøndby;25888;25177;18305;35829;72.3;70.3;51.1
Brønderslev;30530;30014;22783;36315;84.1;82.6;62.7
Dragør;12231;11963;9182;14580;83.9;82.1;63.0
Egedal;36961;36338;27325;44537;83.0;81.6;61.4
Esbjerg;95623;94151;71812;115457;82.8;81.5;62.2
Faaborg-Midtfyn;44236;43556;33779;51927;85.2;83.9;65.1
Fanø;2977;2942;2421;3438;86.6;85.6;70.4
Favrskov;41412;40739;30734;49002;84.5;83.1;62.7
Faxe;30398;29889;23143;37128;81.9;80.5;62.3
Fredensborg;33577;32978;25316;41314;81.3;79.8;61.3
Fredericia;43057;42368;32737;51681;83.3;82.0;63.3
Frederiksberg;86757;85020;64726;103866;83.5;81.9;62.3
Frederikshavn;50096;49364;39193;58830;85.2;83.9;66.6
Frederikssund;38513;37872;29523;45881;83.9;82.5;64.3
Furesø;34334;33637;25667;41583;82.6;80.9;61.7
Gentofte;62170;60952;46208;74308;83.7;82.0;62.2
Gladsaxe;55419;54192;39956;69261;80.0;78.2;57.7
Glostrup;18260;17868;13190;23519;77.6;76.0;56.1
Greve;40756;39976;30110;50911;80.1;78.5;59.1
Gribskov;34195;33662;26760;41241;82.9;81.6;64.9
Guldborgsund;49648;48976;38660;60228;82.4;81.3;64.2
Haderslev;45560;44860;34319;55255;82.5;81.2;62.1
Halsnæs;26022;25534;20211;31412;82.8;81.3;64.3
Hedensted;39581;39059;29906;47195;83.9;82.8;63.4
Helsingør;51680;50784;39693;62878;82.2;80.8;63.1
Herlev;22614;22052;16394;28783;78.6;76.6;57.0
Herning;74661;73480;55493;89430;83.5;82.2;62.1
Hillerød;44072;43303;33184;53370;82.6;81.1;62.2
Hjørring;54412;53601;41460;63766;85.3;84.1;65.0
Holbæk;60687;59738;45843;72942;83.2;81.9;62.8
Holstebro;49430;48626;36980;58597;84.4;83.0;63.1
Horsens;77126;75898;56932;95065;81.1;79.8;59.9
Hvidovre;41471;40413;29455;53212;77.9;75.9;55.4
Høje Tåstrup;39883;38926;28053;53500;74.5;72.8;52.4
Hørsholm;21095;20750;16421;24740;85.3;83.9;66.4
Ikast-Brande;34375;33867;25403;42014;81.8;80.6;60.5
Ishøj;16205;15723;10769;23271;69.6;67.6;46.3
Jammerbugt;32277;31704;24648;38147;84.6;83.1;64.6
Kalundborg;39805;39197;30656;48438;82.2;80.9;63.3
Kerteminde;20523;20166;15867;24042;85.4;83.9;66.0
Kolding;76982;75748;56449;93770;82.1;80.8;60.2
København;507923;496091;355864;647073;78.5;76.7;55.0
Køge;50451;49489;37784;61760;81.7;80.1;61.2
Langeland;10549;10424;8642;12307;85.7;84.7;70.2
Lejre;23706;23344;18071;28593;82.9;81.6;63.2
Lemvig;16501;16305;13016;19351;85.3;84.3;67.3
Lolland;32769;32309;25600;40017;81.9;80.7;64.0
Lyngby-Taarbæk;48542;47497;36076;57966;83.7;81.9;62.2
Læsø;1537;1521;1314;1785;86.1;85.2;73.6
Mariagerfjord;35210;34564;26910;41649;84.5;83.0;64.6
Middelfart;33917;33425;26278;39689;85.5;84.2;66.2
Morsø;17025;16716;12988;20064;84.9;83.3;64.7
Norddjurs;31261;30800;24556;36969;84.6;83.3;66.4
Nordfyn;24962;24541;18957;29753;83.9;82.5;63.7
Nyborg;27481;27081;21212;32039;85.8;84.5;66.2
Næstved;69272;68214;52584;84015;82.5;81.2;62.6
Odder;19988;19710;15710;23378;85.5;84.3;67.2
Odense;172068;168927;127460;206130;83.5;82.0;61.8
Odsherred;27630;27261;22011;32845;84.1;83.0;67.0
Randers;82530;81201;62112;99126;83.3;81.9;62.7
Rebild;25464;24997;18900;30710;82.9;81.4;61.5
Ringkøbing-Skjern;46852;46149;35515;56224;83.3;82.1;63.2
Ringsted;28239;27758;21121;35295;80.0;78.6;59.8
Roskilde;75015;73792;56470;89603;83.7;82.4;63.0
Rudersdal;48351;47448;36714;57228;84.5;82.9;64.2
Rødovre;32143;31362;22973;41503;77.4;75.6;55.4
Samsø;3238;3209;2671;3707;87.3;86.6;72.1
Silkeborg;81034;79653;60825;97836;82.8;81.4;62.2
Skanderborg;53948;52969;40329;64533;83.6;82.1;62.5
Skive;38722;38185;29524;45037;86.0;84.8;65.6
Slagelse;65039;63908;49345;79718;81.6;80.2;61.9
Solrød;19463;19107;14420;23824;81.7;80.2;60.5
Sorø;25127;24776;19178;29986;83.8;82.6;64.0
Stevns;19547;19237;15189;23624;82.7;81.4;64.3
Struer;17849;17581;13752;20799;85.8;84.5;66.1
Svendborg;50553;49818;38758;59217;85.4;84.1;65.5
Syddjurs;36946;36398;28812;43731;84.5;83.2;65.9
Sønderborg;61584;60667;47267;73757;83.5;82.3;64.1
Thisted;36277;35728;27850;43048;84.3;83.0;64.7
Tårnby;34259;33545;25027;42806;80.0;78.4;58.5
Tønder;29936;29488;22819;36869;81.2;80.0;61.9
Vallensbæk;12536;12239;8865;16509;75.9;74.1;53.7
Varde;41155;40498;31385;49725;82.8;81.4;63.1
Vejen;34895;34307;25887;42592;81.9;80.5;60.8
Vejle;98024;96438;72088;119500;82.0;80.7;60.3
Vesthimmerland;30029;29562;22829;36252;82.8;81.5;63.0
Viborg;81973;80681;61017;96866;84.6;83.3;63.0
Vordingborg;37445;36848;29078;45358;82.6;81.2;64.1
Århus;295535;289866;220946;355651;83.1;81.5;62.1
Ærø;5266;5178;4393;6028;87.4;85.9;72.9
