"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2021-U48;60-69;400;477;33075;668075;639213;636284;135601;95.7;95.2;20.3
2021-U48;70-79;171;203;111338;566192;550408;549144;367984;97.2;97.0;65.0
2021-U48;80-89;62;69;16682;221246;214523;213941;173405;97.0;96.7;78.4
2021-U48;90+;6;13;775;34348;32573;32406;27351;94.8;94.3;79.6
2021-U49;0-9;33432;6;0;621965;36850;16;2;5.92;0.00;0.00
2021-U49;10-19;26984;7233;637;711900;523829;457035;3382;73.6;64.2;0.48
2021-U49;20-29;4331;7645;5773;782832;636519;600105;36897;81.3;76.7;4.71
2021-U49;30-39;3711;7002;6205;717644;591926;561571;48281;82.5;78.3;6.73
2021-U49;40-49;1586;3004;9344;751659;677433;665497;78076;90.1;88.5;10.4
2021-U49;50-59;974;1423;36843;806805;754462;748092;128245;93.5;92.7;15.9
2021-U49;60-69;452;564;123529;668075;639665;636848;259130;95.7;95.3;38.8
2021-U49;70-79;232;205;86166;566192;550640;549349;454150;97.3;97.0;80.2
2021-U49;80-89;104;72;14155;221246;214627;214013;187560;97.0;96.7;84.8
2021-U49;90+;18;19;965;34348;32591;32425;28316;94.9;94.4;82.4
2021-U50;0-9;47745;19;0;621965;84595;35;2;13.6;0.01;0.00
2021-U50;10-19;25030;7123;2163;711900;548859;464158;5545;77.1;65.2;0.78
2021-U50;20-29;3511;7611;8660;782832;640030;607716;45557;81.8;77.6;5.82
2021-U50;30-39;3052;7218;12532;717644;594978;568789;60813;82.9;79.3;8.47
2021-U50;40-49;1412;2684;190863;751659;678845;668181;268939;90.3;88.9;35.8
2021-U50;50-59;901;1328;285685;806805;755363;749420;413930;93.6;92.9;51.3
2021-U50;60-69;504;579;209891;668075;640169;637427;469021;95.8;95.4;70.2
2021-U50;70-79;324;237;50669;566192;550964;549586;504819;97.3;97.1;89.2
2021-U50;80-89;174;125;11175;221246;214801;214138;198735;97.1;96.8;89.8
2021-U50;90+;39;17;1139;34348;32630;32442;29455;95.0;94.5;85.8
2021-U51;0-9;16224;244;0;621965;100819;279;2;16.2;0.04;0.00
2021-U51;10-19;8962;9323;22267;711900;557821;473481;27812;78.4;66.5;3.91
2021-U51;20-29;2597;5329;44237;782832;642627;613045;89794;82.1;78.3;11.5
2021-U51;30-39;1989;4067;24129;717644;596967;572856;84942;83.2;79.8;11.8
2021-U51;40-49;999;1642;115637;751659;679844;669823;384576;90.4;89.1;51.2
2021-U51;50-59;627;881;148591;806805;755990;750301;562521;93.7;93.0;69.7
2021-U51;60-69;378;373;87456;668075;640547;637800;556477;95.9;95.5;83.3
2021-U51;70-79;228;185;17351;566192;551192;549771;522170;97.4;97.1;92.2
2021-U51;80-89;102;72;5475;221246;214903;214210;204210;97.1;96.8;92.3
2021-U51;90+;26;16;761;34348;32656;32458;30216;95.1;94.5;88.0
2021-U52;0-9;12205;14146;0;621965;113024;14425;2;18.2;2.32;0.00
2021-U52;10-19;6310;22719;35405;711900;564131;496200;63217;79.2;69.7;8.88
2021-U52;20-29;1627;4518;81153;782832;644254;617563;170947;82.3;78.9;21.8
2021-U52;30-39;1221;3806;63667;717644;598188;576662;148609;83.4;80.4;20.7
2021-U52;40-49;526;1582;67160;751659;680370;671405;451736;90.5;89.3;60.1
2021-U52;50-59;325;885;58593;806805;756315;751186;621114;93.7;93.1;77.0
2021-U52;60-69;175;354;25726;668075;640722;638154;582203;95.9;95.5;87.1
2021-U52;70-79;97;152;5505;566192;551289;549923;527675;97.4;97.1;93.2
2021-U52;80-89;45;60;1696;221246;214948;214270;205906;97.2;96.8;93.1
2021-U52;90+;18;13;305;34348;32674;32471;30521;95.1;94.5;88.9
2022-U01;0-9;9163;39854;1;621965;122187;54279;3;19.6;8.73;0.00
2022-U01;10-19;5814;26837;22297;711900;569945;523037;85514;80.1;73.5;12.0
2022-U01;20-29;1742;5294;78910;782832;645996;622857;249857;82.5;79.6;31.9
2022-U01;30-39;1363;4712;82501;717644;599551;581374;231110;83.5;81.0;32.2
2022-U01;40-49;551;1749;53381;751659;680921;673154;505117;90.6;89.6;67.2
2022-U01;50-59;355;941;34297;806805;756670;752127;655411;93.8;93.2;81.2
2022-U01;60-69;225;441;15030;668075;640947;638595;597233;95.9;95.6;89.4
2022-U01;70-79;126;272;4611;566192;551415;550195;532286;97.4;97.2;94.0
2022-U01;80-89;89;104;1391;221246;215037;214374;207297;97.2;96.9;93.7
2022-U01;90+;24;31;266;34348;32698;32502;30787;95.2;94.6;89.6
2022-U02;0-9;4399;22151;0;621965;126586;76430;3;20.4;12.3;0.00
2022-U02;10-19;3118;13778;15510;711900;573063;536815;101024;80.5;75.4;14.2
2022-U02;20-29;1321;3634;66311;782832;647317;626491;316168;82.7;80.0;40.4
2022-U02;30-39;975;3010;62679;717644;600526;584384;293789;83.7;81.4;40.9
2022-U02;40-49;445;1165;31358;751659;681366;674319;536475;90.6;89.7;71.4
2022-U02;50-59;275;713;18432;806805;756945;752840;673843;93.8;93.3;83.5
2022-U02;60-69;159;396;8125;668075;641106;638991;605358;96.0;95.6;90.6
2022-U02;70-79;121;230;3163;566192;551536;550425;535449;97.4;97.2;94.6
2022-U02;80-89;41;128;1071;221246;215078;214502;208368;97.2;97.0;94.2
2022-U02;90+;10;24;221;34348;32708;32526;31008;95.2;94.7;90.3
2022-U03;0-9;2128;11461;0;621965;128714;87891;3;20.7;14.1;0.00
2022-U03;10-19;1741;7463;10516;711900;574804;544278;111540;80.7;76.5;15.7
2022-U03;20-29;960;2595;51003;782832;648277;629086;367171;82.8;80.4;46.9
2022-U03;30-39;743;2077;43775;717644;601269;586461;337564;83.8;81.7;47.0
2022-U03;40-49;318;727;19591;751659;681684;675046;556066;90.7;89.8;74.0
2022-U03;50-59;200;430;11222;806805;757145;753270;685065;93.8;93.4;84.9
2022-U03;60-69;128;232;4806;668075;641234;639223;610164;96.0;95.7;91.3
2022-U03;70-79;69;152;1792;566192;551605;550577;537241;97.4;97.2;94.9
2022-U03;80-89;49;81;596;221246;215127;214583;208964;97.2;97.0;94.4
2022-U03;90+;13;16;138;34348;32721;32542;31146;95.3;94.7;90.7
2022-U04;0-9;779;6866;0;621965;129493;94757;3;20.8;15.2;0.00
2022-U04;10-19;719;5059;4966;711900;575523;549337;116506;80.8;77.2;16.4
2022-U04;20-29;575;1829;23985;782832;648852;630915;391156;82.9;80.6;50.0
2022-U04;30-39;393;1252;20210;717644;601662;587713;357774;83.8;81.9;49.9
2022-U04;40-49;166;520;9301;751659;681850;675566;565367;90.7;89.9;75.2
2022-U04;50-59;105;339;5590;806805;757250;753609;690655;93.9;93.4;85.6
2022-U04;60-69;81;207;2477;668075;641315;639430;612641;96.0;95.7;91.7
2022-U04;70-79;41;112;973;566192;551646;550689;538214;97.4;97.3;95.1
2022-U04;80-89;18;65;379;221246;215145;214648;209343;97.2;97.0;94.6
2022-U04;90+;6;12;71;34348;32727;32554;31217;95.3;94.8;90.9
2022-U05;0-9;328;2934;0;621965;129821;97691;3;20.9;15.7;0.00
2022-U05;10-19;387;2589;2954;711900;575910;551926;119460;80.9;77.5;16.8
2022-U05;20-29;338;996;10078;782832;649190;631911;401234;82.9;80.7;51.3
2022-U05;30-39;235;680;9148;717644;601897;588393;366922;83.9;82.0;51.1
2022-U05;40-49;100;335;4484;751659;681950;675901;569851;90.7;89.9;75.8
2022-U05;50-59;66;197;2968;806805;757316;753806;693623;93.9;93.4;86.0
2022-U05;60-69;51;148;1374;668075;641366;639578;614015;96.0;95.7;91.9
2022-U05;70-79;33;91;511;566192;551679;550780;538725;97.4;97.3;95.1
2022-U05;80-89;15;50;196;221246;215160;214698;209539;97.2;97.0;94.7
2022-U05;90+;3;14;42;34348;32730;32568;31259;95.3;94.8;91.0
2022-U06;0-9;156;1905;0;621965;129977;99596;3;20.9;16.0;0.00
2022-U06;10-19;206;1816;1906;711900;576116;553742;121366;80.9;77.8;17.0
2022-U06;20-29;225;811;6496;782832;649415;632722;407730;83.0;80.8;52.1
2022-U06;30-39;170;637;5906;717644;602067;589030;372828;83.9;82.1;52.0
2022-U06;40-49;62;269;2775;751659;682012;676170;572626;90.7;90.0;76.2
2022-U06;50-59;50;176;1830;806805;757366;753982;695453;93.9;93.5;86.2
2022-U06;60-69;29;105;920;668075;641395;639683;614935;96.0;95.8;92.0
2022-U06;70-79;21;81;404;566192;551700;550861;539129;97.4;97.3;95.2
2022-U06;80-89;13;34;166;221246;215173;214732;209705;97.3;97.1;94.8
2022-U06;90+;3;17;41;34348;32733;32585;31300;95.3;94.9;91.1
2022-U07;0-9;138;983;0;621965;130115;100579;3;20.9;16.2;0.00
2022-U07;10-19;203;869;896;711900;576319;554611;122262;81.0;77.9;17.2
2022-U07;20-29;172;468;3823;782832;649587;633190;411553;83.0;80.9;52.6
2022-U07;30-39;112;350;3462;717644;602179;589380;376290;83.9;82.1;52.4
