Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  67.596 (49);  71.553 (51); 139.149
10-19; 107.299 (50); 105.620 (50); 212.919
20-29; 107.812 (50); 105.822 (50); 213.634
30-39;  88.575 (52);  82.489 (48); 171.064
40-49;  86.250 (52);  78.471 (48); 164.721
50-59;  65.355 (50);  65.218 (50); 130.573
60-69;  32.883 (49);  34.002 (51);  66.885
70-79;  18.017 (50);  18.150 (50);  36.167
80-89;   7.659 (55);   6.167 (45);  13.826
90+;   2.385 (68);   1.111 (32);   3.496
I alt; 583.831 (51); 568.603 (49);1.152.434
