Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.548.440; 120.130;   7.098;   1.329
Sjælland; 646.027;  34.346;   2.457;     402
Syddanmark; 964.901;  36.309;   1.726;     219
Midtjylland;1.052.750;  43.831;   2.095;     352
Nordjylland; 493.672;  17.234;     901;     185
I alt i Danmark;4.705.790; 251.850;  14.277;   2.487
