"Region";"Dato";"Døde";"Kummuleret antal døde"
Syddanmark;2020-03-26;1;52
Sjælland;2020-03-26;3;55
Syddanmark;2020-03-27;2;57
Sjælland;2020-03-27;2;59
Nordjylland;2020-03-27;1;60
Hovedstaden;2020-03-27;7;67
Midtjylland;2020-03-28;2;69
Syddanmark;2020-03-28;1;70
Nordjylland;2020-03-28;1;71
Sjælland;2020-03-28;1;72
Hovedstaden;2020-03-28;4;76
Syddanmark;2020-03-29;3;79
Midtjylland;2020-03-29;2;81
Nordjylland;2020-03-29;1;82
Hovedstaden;2020-03-29;2;84
Hovedstaden;2020-03-30;6;90
Sjælland;2020-03-30;4;94
Midtjylland;2020-03-30;1;95
Nordjylland;2020-03-31;2;97
Syddanmark;2020-03-31;1;98
Sjælland;2020-03-31;3;101
Hovedstaden;2020-03-31;8;109
Midtjylland;2020-03-31;1;110
Hovedstaden;2020-04-01;13;123
Syddanmark;2020-04-01;1;124
Sjælland;2020-04-01;5;129
Nordjylland;2020-04-01;1;130
Midtjylland;2020-04-01;2;132
Midtjylland;2020-04-02;4;136
Nordjylland;2020-04-02;1;137
Hovedstaden;2020-04-02;9;146
Sjælland;2020-04-02;4;150
Sjælland;2020-04-03;4;154
Hovedstaden;2020-04-03;14;168
Syddanmark;2020-04-03;1;169
Midtjylland;2020-04-03;1;170
Midtjylland;2020-04-04;5;175
Sjælland;2020-04-04;2;177
Nordjylland;2020-04-04;1;178
Hovedstaden;2020-04-04;7;185
Sjælland;2020-04-05;2;187
Hovedstaden;2020-04-05;6;193
Nordjylland;2020-04-05;1;194
Midtjylland;2020-04-05;2;196
Syddanmark;2020-04-05;1;197
Syddanmark;2020-04-06;4;201
Sjælland;2020-04-06;2;203
Hovedstaden;2020-04-06;11;214
Hovedstaden;2020-04-07;11;225
Nordjylland;2020-04-07;1;226
Midtjylland;2020-04-08;2;228
Sjælland;2020-04-08;4;232
Nordjylland;2020-04-08;1;233
Hovedstaden;2020-04-08;8;241
Midtjylland;2020-04-09;3;244
Hovedstaden;2020-04-09;8;252
Sjælland;2020-04-09;1;253
Nordjylland;2020-04-09;1;254
Midtjylland;2020-04-10;2;256
Nordjylland;2020-04-10;1;257
Hovedstaden;2020-04-10;10;267
Sjælland;2020-04-10;3;270
Nordjylland;2020-04-11;1;271
Sjælland;2020-04-11;2;273
Hovedstaden;2020-04-11;6;279
Midtjylland;2020-04-11;2;281
Syddanmark;2020-04-12;1;282
Hovedstaden;2020-04-12;8;290
Midtjylland;2020-04-12;2;292
Sjælland;2020-04-13;1;293
Syddanmark;2020-04-13;1;294
Nordjylland;2020-04-13;2;296
Midtjylland;2020-04-13;4;300
Hovedstaden;2020-04-13;8;308
Syddanmark;2020-04-14;1;309
Midtjylland;2020-04-14;3;312
Hovedstaden;2020-04-14;8;320
Sjælland;2020-04-15;1;321
Midtjylland;2020-04-15;3;324
Hovedstaden;2020-04-15;6;330
Syddanmark;2020-04-16;1;331
Sjælland;2020-04-16;5;336
Midtjylland;2020-04-16;1;337
Hovedstaden;2020-04-16;5;342
Sjælland;2020-04-17;4;346
Midtjylland;2020-04-17;1;347
Hovedstaden;2020-04-17;4;351
Sjælland;2020-04-18;1;352
Syddanmark;2020-04-18;1;353
Hovedstaden;2020-04-18;8;361
Syddanmark;2020-04-19;1;362
Midtjylland;2020-04-19;2;364
Hovedstaden;2020-04-19;3;367
Midtjylland;2020-04-20;1;368
Hovedstaden;2020-04-20;3;371
Nordjylland;2020-04-20;1;372
Sjælland;2020-04-20;2;374
Syddanmark;2020-04-20;0;374
Sjælland;2020-04-21;2;376
Midtjylland;2020-04-21;1;377
Hovedstaden;2020-04-21;8;385
Syddanmark;2020-04-21;1;386
Sjælland;2020-04-22;2;388
Midtjylland;2020-04-22;1;389
Hovedstaden;2020-04-22;10;399
Syddanmark;2020-04-22;1;400
Syddanmark;2020-04-23;1;401
Nordjylland;2020-04-23;1;402
Sjælland;2020-04-23;1;403
Hovedstaden;2020-04-23;6;409
Midtjylland;2020-04-23;1;410
Sjælland;2020-04-24;1;411
Hovedstaden;2020-04-24;5;416
Sjælland;2020-04-25;1;417
Hovedstaden;2020-04-25;4;421
Sjælland;2020-04-26;1;422
Hovedstaden;2020-04-26;4;426
Sjælland;2020-04-27;3;429
Hovedstaden;2020-04-27;5;434
Nordjylland;2020-04-27;1;435
Sjælland;2020-04-28;1;436
Midtjylland;2020-04-28;2;438
Hovedstaden;2020-04-28;7;445
Sjælland;2020-04-29;2;447
Midtjylland;2020-04-29;2;449
Hovedstaden;2020-04-29;5;454
Sjælland;2020-04-30;1;455
Syddanmark;2020-04-30;1;456
Midtjylland;2020-04-30;2;458
Hovedstaden;2020-04-30;5;463
Syddanmark;2020-05-01;2;465
Sjælland;2020-05-01;4;469
Hovedstaden;2020-05-01;3;472
Midtjylland;2020-05-01;2;474
Sjælland;2020-05-02;4;478
Hovedstaden;2020-05-02;4;482
Hovedstaden;2020-05-03;5;487
Midtjylland;2020-05-03;2;489
Sjælland;2020-05-03;2;491
Sjælland;2020-05-04;3;494
Midtjylland;2020-05-04;2;496
Hovedstaden;2020-05-04;2;498
Syddanmark;2020-05-05;0;498
Sjælland;2020-05-05;2;500
Hovedstaden;2020-05-05;1;501
Nordjylland;2020-05-06;0;501
Hovedstaden;2020-05-06;4;505
Sjælland;2020-05-06;2;507
Hovedstaden;2020-05-07;4;511
Sjælland;2020-05-07;2;513
Hovedstaden;2020-05-08;0;513
Sjælland;2020-05-08;4;517
Hovedstaden;2020-05-09;3;520
Midtjylland;2020-05-09;0;520
Midtjylland;2020-05-10;2;522
Sjælland;2020-05-10;1;523
Hovedstaden;2020-05-10;2;525
Syddanmark;2020-05-11;0;525
Hovedstaden;2020-05-11;4;529
Midtjylland;2020-05-11;0;529
Sjælland;2020-05-12;2;531
Hovedstaden;2020-05-12;5;536
Sjælland;2020-05-13;0;536
Hovedstaden;2020-05-13;5;541
Midtjylland;2020-05-14;0;541
Syddanmark;2020-05-15;1;542
Sjælland;2020-05-15;3;545
Hovedstaden;2020-05-15;2;547
Sjælland;2020-05-16;2;549
Hovedstaden;2020-05-16;1;550
Hovedstaden;2020-05-17;2;552
Syddanmark;2020-05-17;1;553
Sjælland;2020-05-18;3;556
Hovedstaden;2020-05-18;0;556
Sjælland;2020-05-19;1;557
Hovedstaden;2020-05-19;1;558
Syddanmark;2020-05-20;1;559
Sjælland;2020-05-20;1;560
Nordjylland;2020-05-20;1;561
Hovedstaden;2020-05-20;2;563
Hovedstaden;2020-05-21;0;563
Sjælland;2020-05-21;0;563
Hovedstaden;2020-05-22;1;564
Sjælland;2020-05-23;0;564
Hovedstaden;2020-05-23;1;565
Hovedstaden;2020-05-24;1;566
Sjælland;2020-05-25;0;566
Midtjylland;2020-05-26;0;566
Hovedstaden;2020-05-26;1;567
Syddanmark;2020-05-26;2;569
Sjælland;2020-05-27;1;570
Hovedstaden;2020-05-28;0;570
Sjælland;2020-05-28;0;570
Sjælland;2020-05-29;1;571
Midtjylland;2020-05-29;0;571
Hovedstaden;2020-05-29;0;571
Hovedstaden;2020-05-30;4;575
Hovedstaden;2020-05-31;2;577
Hovedstaden;2020-06-01;3;580
Midtjylland;2020-06-02;0;580
Hovedstaden;2020-06-02;1;581
Hovedstaden;2020-06-03;1;582
Sjælland;2020-06-04;1;583
Hovedstaden;2020-06-04;3;586
Syddanmark;2020-06-05;1;587
