"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-18;Hovedstaden;K;709645;687680;709310;686813;335;867
2021-09-18;Hovedstaden;M;666514;646665;666250;646012;264;653
2021-09-18;Midtjylland;K;519453;507103;519269;506380;184;723
2021-09-18;Midtjylland;M;507798;495593;507662;495013;136;580
2021-09-18;Nordjylland;K;230165;224642;230129;224514;36;128
2021-09-18;Nordjylland;M;229393;223372;229311;223229;82;143
2021-09-18;Sjælland;K;326157;319245;326056;318871;101;374
2021-09-18;Sjælland;M;314790;308188;314705;307861;85;327
2021-09-18;Syddanmark;K;474889;463521;474755;463014;134;507
2021-09-18;Syddanmark;M;462911;451317;462766;450826;145;491
