"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16977;43
AstraZeneca Covid-19 vaccine;Midtjylland;33917;125
AstraZeneca Covid-19 vaccine;Syddanmark;30692;385
AstraZeneca Covid-19 vaccine;Hovedstaden;45952;716
AstraZeneca Covid-19 vaccine;Sjælland;23992;421
Janssen COVID-19 vaccine;Nordjylland;3648;3648
Janssen COVID-19 vaccine;Midtjylland;9890;9890
Janssen COVID-19 vaccine;Syddanmark;7535;7535
Janssen COVID-19 vaccine;Hovedstaden;22512;22512
Janssen COVID-19 vaccine;Sjælland;2800;2800
Moderna Covid-19 Vaccine;Nordjylland;69669;67017
Moderna Covid-19 Vaccine;Midtjylland;120763;115071
Moderna Covid-19 Vaccine;Syddanmark;130063;152892
Moderna Covid-19 Vaccine;Hovedstaden;146108;135823
Moderna Covid-19 Vaccine;Sjælland;81461;100684
Pfizer BioNTech Covid-19 vacc;Nordjylland;369264;377306
Pfizer BioNTech Covid-19 vacc;Midtjylland;862681;877610
Pfizer BioNTech Covid-19 vacc;Syddanmark;769510;754026
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1161587;1175294
Pfizer BioNTech Covid-19 vacc;Sjælland;532694;523528
