"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;465120;447230;72.5;69.7;641357
Frederiksberg;80324;77888;77.6;75.3;103495
Ballerup;35962;35036;73.2;71.3;49126
Brøndby;23662;22820;66.7;64.3;35495
Dragør;11173;10914;76.5;74.7;14603
Gentofte;56714;55248;76.4;74.4;74279
Gladsaxe;50557;49050;73.2;71.1;69021
Glostrup;16928;16424;71.9;69.7;23549
Herlev;20774;20162;72.1;70.0;28803
Albertslund;18600;17886;68.0;65.4;27344
Hvidovre;37928;36783;71.3;69.1;53226
Høje Tåstrup;35753;34611;67.9;65.8;52621
Lyngby-Taarbæk;44201;43125;77.0;75.1;57428
Rødovre;29233;28353;71.0;68.8;41202
Ishøj;14556;13938;63.1;60.5;23050
Tårnby;31310;30461;73.4;71.4;42672
Vallensbæk;11410;11058;69.2;67.0;16493
Furesø;31010;30332;75.1;73.4;41308
Allerød;20194;19818;78.0;76.6;25882
Fredensborg;30768;30057;74.8;73.1;41120
Helsingør;48025;46839;76.1;74.3;63070
Hillerød;40071;39242;76.2;74.6;52593
Hørsholm;19650;19262;79.3;77.7;24777
Rudersdal;44464;43410;77.6;75.8;57292
Egedal;33803;33050;76.6;74.9;44149
Frederikssund;35867;35081;78.3;76.6;45783
Greve;37202;36246;73.4;71.5;50661
Køge;46475;45439;75.4;73.7;61631
Halsnæs;24339;23833;77.3;75.7;31495
Roskilde;68845;67402;77.2;75.6;89156
Solrød;17708;17362;75.1;73.6;23583
Gribskov;31981;31312;77.6;76.0;41207
Odsherred;25999;25556;78.9;77.5;32968
Holbæk;55824;54540;76.8;75.1;72648
Faxe;28004;27481;75.6;74.2;37048
Kalundborg;36968;36218;76.3;74.8;48427
Ringsted;25759;25256;73.3;71.9;35137
Slagelse;59706;58311;75.0;73.2;79612
Stevns;17941;17657;76.9;75.7;23334
Sorø;23092;22660;77.0;75.6;29991
Lejre;21839;21435;76.3;74.9;28615
Lolland;30606;30002;76.1;74.6;40223
Næstved;63619;62290;76.1;74.5;83622
Guldborgsund;46380;45352;76.9;75.2;60324
Vordingborg;34980;34226;77.2;75.5;45332
Bornholm;31782;31122;80.0;78.4;39715
Middelfart;31033;30400;78.6;77.0;39492
Assens;32254;31523;79.0;77.2;40835
Faaborg-Midtfyn;40482;39719;78.1;76.7;51812
Kerteminde;18999;18592;79.2;77.5;23987
Nyborg;25360;24853;79.0;77.4;32101
Odense;158269;153698;76.9;74.7;205839
Svendborg;46283;45271;78.4;76.7;59046
Nordfyn;22858;22380;77.1;75.5;29632
Langeland;9951;9760;80.8;79.2;12319
Ærø;5003;4926;83.3;82.0;6008
Haderslev;41689;40717;75.4;73.6;55293
Billund;20253;19910;76.3;75.0;26559
Sønderborg;56896;55491;77.3;75.4;73630
Tønder;27712;27090;75.1;73.4;36896
Esbjerg;87854;85504;76.1;74.0;115468
Fanø;2780;2718;80.8;79.0;3439
Varde;37813;37041;76.2;74.6;49652
Vejen;31662;31004;74.2;72.6;42697
Aabenraa;43401;42369;74.2;72.5;58480
Fredericia;39167;38302;76.0;74.3;51533
Horsens;69414;67630;74.3;72.4;93418
Kolding;69598;67658;74.6;72.5;93323
Vejle;88483;85912;74.8;72.7;118238
Herning;67994;66323;76.3;74.4;89155
Holstebro;45007;43912;76.9;75.0;58548
Lemvig;15409;15063;79.5;77.7;19390
Struer;16437;16065;79.1;77.3;20787
Syddjurs;34194;33502;78.5;76.9;43558
Norddjurs;29127;28575;78.6;77.1;37045
Favrskov;37401;36656;76.8;75.3;48712
Odder;18373;18053;79.3;77.9;23177
Randers;75644;73787;76.6;74.7;98728
Silkeborg;73300;71547;75.8;74.0;96683
Samsø;3039;2996;81.9;80.7;3711
Skanderborg;48617;47766;76.0;74.7;63968
Århus;272586;264652;76.8;74.5;355034
Ikast-Brande;31185;30474;74.5;72.8;41858
Ringkøbing-Skjern;42971;42081;76.5;74.9;56154
Hedensted;36135;35479;76.8;75.4;47047
Morsø;15786;15413;78.7;76.9;20046
Skive;35664;34938;79.1;77.5;45097
Thisted;33475;32716;77.7;75.9;43110
Viborg;74754;73197;77.2;75.6;96809
Brønderslev;27762;27062;76.7;74.8;36202
Frederikshavn;46543;45714;79.1;77.6;58876
Vesthimmerland;27761;27256;76.4;75.0;36339
Læsø;1473;1456;82.1;81.1;1795
Rebild;23120;22629;75.5;73.9;30641
Mariagerfjord;32544;31911;78.3;76.8;41538
Jammerbugt;29529;28809;77.4;75.5;38140
Aalborg;171429;166132;77.6;75.2;220933
Hjørring;50136;48916;78.5;76.6;63840
