"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;7;0
Hovedstaden;0-9;M;4;1
Hovedstaden;10-19;K;57631;52553
Hovedstaden;10-19;M;59653;54122
Hovedstaden;20-29;K;112071;106616
Hovedstaden;20-29;M;106401;100686
Hovedstaden;30-39;K;100925;94075
Hovedstaden;30-39;M;101198;96628
Hovedstaden;40-49;K;107824;105474
Hovedstaden;40-49;M;105030;103008
Hovedstaden;50-59;K;111727;110540
Hovedstaden;50-59;M;110641;109506
Hovedstaden;60-69;K;88952;88447
Hovedstaden;60-69;M;84351;83829
Hovedstaden;70-79;K;83133;82849
Hovedstaden;70-79;M;69927;69702
Hovedstaden;80-89;K;38373;38216
Hovedstaden;80-89;M;25976;25872
Hovedstaden;90+;K;9002;8910
Hovedstaden;90+;M;3333;3311
Midtjylland;0-9;K;2;0
Midtjylland;0-9;M;5;0
Midtjylland;10-19;K;50107;46706
Midtjylland;10-19;M;51604;47940
Midtjylland;20-29;K;73830;70485
Midtjylland;20-29;M;75699;71916
Midtjylland;30-39;K;62026;58623
Midtjylland;30-39;M;64276;61669
Midtjylland;40-49;K;74982;73882
Midtjylland;40-49;M;73801;72630
Midtjylland;50-59;K;83401;82811
Midtjylland;50-59;M;83807;83252
Midtjylland;60-69;K;74161;73888
Midtjylland;60-69;M;72497;72256
Midtjylland;70-79;K;64800;64696
Midtjylland;70-79;M;60411;60307
Midtjylland;80-89;K;29420;29337
Midtjylland;80-89;M;22680;22624
Midtjylland;90+;K;6724;6675
Midtjylland;90+;M;3018;2999
Nordjylland;0-9;K;2;0
Nordjylland;0-9;M;0;0
Nordjylland;10-19;K;20744;19317
Nordjylland;10-19;M;21929;20227
Nordjylland;20-29;K;29011;27456
Nordjylland;20-29;M;32899;31033
Nordjylland;30-39;K;25281;23736
Nordjylland;30-39;M;26571;25202
Nordjylland;40-49;K;31274;30818
Nordjylland;40-49;M;31301;30765
Nordjylland;50-59;K;37751;37462
Nordjylland;50-59;M;38054;37748
Nordjylland;60-69;K;35781;35650
Nordjylland;60-69;M;35131;35001
Nordjylland;70-79;K;32001;31934
Nordjylland;70-79;M;30252;30183
Nordjylland;80-89;K;14909;14875
Nordjylland;80-89;M;11647;11612
Nordjylland;90+;K;3411;3394
Nordjylland;90+;M;1609;1601
Sjælland;0-9;K;1;1
Sjælland;0-9;M;2;1
Sjælland;10-19;K;30020;28120
Sjælland;10-19;M;31759;29642
Sjælland;20-29;K;27588;26186
Sjælland;20-29;M;30514;29026
Sjælland;30-39;K;33173;31312
Sjælland;30-39;M;32526;31030
Sjælland;40-49;K;48192;47396
Sjælland;40-49;M;45837;45116
Sjælland;50-59;K;58825;58328
Sjælland;50-59;M;59067;58645
Sjælland;60-69;K;52738;52518
Sjælland;60-69;M;50998;50782
Sjælland;70-79;K;49945;49820
Sjælland;70-79;M;45672;45578
Sjælland;80-89;K;21258;21178
Sjælland;80-89;M;16479;16443
Sjælland;90+;K;4417;4386
Sjælland;90+;M;1936;1925
Syddanmark;0-9;K;3;2
Syddanmark;0-9;M;3;1
Syddanmark;10-19;K;45150;42191
Syddanmark;10-19;M;46427;43087
Syddanmark;20-29;K;51843;49052
Syddanmark;20-29;M;56324;53128
Syddanmark;30-39;K;51402;48178
Syddanmark;30-39;M;52553;49881
Syddanmark;40-49;K;67946;66704
Syddanmark;40-49;M;65831;64604
Syddanmark;50-59;K;80479;79907
Syddanmark;50-59;M;81279;80604
Syddanmark;60-69;K;73539;73238
Syddanmark;60-69;M;72285;72005
Syddanmark;70-79;K;65694;65575
Syddanmark;70-79;M;60907;60776
Syddanmark;80-89;K;31671;31579
Syddanmark;80-89;M;24144;24090
Syddanmark;90+;K;7162;7095
Syddanmark;90+;M;3158;3141
