"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;459558;448014;77.7;75.7;591460
Midtjylland;1027251;1002696;76.7;74.9;1338879
Syddanmark;937800;914838;76.5;74.6;1226279
Hovedstaden;1376159;1334345;73.9;71.7;1862155
Sjælland;640947;627433;76.1;74.5;842312
