"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2021-01-01;Nationalt;1;5861085;0.00;1
2021-01-04;Nationalt;1;5861085;0.00;2
2021-01-07;Nationalt;1;5861085;0.00;3
2021-01-09;Nationalt;2;5861085;0.00;5
2021-01-12;Nationalt;2;5861085;0.00;7
2021-01-13;Nationalt;1;5861085;0.00;8
2021-01-14;Nationalt;1;5861085;0.00;9
2021-01-15;Nationalt;5;5861085;0.00;14
2021-01-16;Nationalt;8;5861085;0.00;22
2021-01-17;Nationalt;660;5861085;0.01;682
2021-01-18;Nationalt;2017;5861085;0.05;2699
2021-01-19;Nationalt;1972;5861085;0.08;4671
2021-01-20;Nationalt;1772;5861085;0.11;6443
2021-01-21;Nationalt;2247;5861085;0.15;8690
2021-01-22;Nationalt;5468;5861085;0.24;14158
2021-01-23;Nationalt;6732;5861085;0.36;20890
2021-01-24;Nationalt;6128;5861085;0.46;27018
2021-01-25;Nationalt;2366;5861085;0.50;29384
2021-01-26;Nationalt;1664;5861085;0.53;31048
2021-01-27;Nationalt;4212;5861085;0.60;35260
2021-01-28;Nationalt;7941;5861085;0.74;43201
2021-01-29;Nationalt;17629;5861085;1.04;60830
2021-01-30;Nationalt;12338;5861085;1.25;73168
2021-01-31;Nationalt;11639;5861085;1.45;84807
2021-02-01;Nationalt;7647;5861085;1.58;92454
2021-02-02;Nationalt;2930;5861085;1.63;95384
2021-02-03;Nationalt;6053;5861085;1.73;101437
2021-02-04;Nationalt;10677;5861085;1.91;112114
2021-02-05;Nationalt;13028;5861085;2.14;125142
2021-02-06;Nationalt;6587;5861085;2.25;131729
2021-02-07;Nationalt;3539;5861085;2.31;135268
2021-02-08;Nationalt;6873;5861085;2.43;142141
2021-02-09;Nationalt;4770;5861085;2.51;146911
2021-02-10;Nationalt;3823;5861085;2.57;150734
2021-02-11;Nationalt;2421;5861085;2.61;153155
2021-02-12;Nationalt;7574;5861085;2.74;160729
2021-02-13;Nationalt;951;5861085;2.76;161680
2021-02-14;Nationalt;615;5861085;2.77;162295
2021-02-15;Nationalt;3110;5861085;2.82;165405
2021-02-16;Nationalt;1315;5861085;2.84;166720
2021-02-17;Nationalt;422;5861085;2.85;167142
2021-02-18;Nationalt;312;5861085;2.86;167454
2021-02-19;Nationalt;950;5861085;2.87;168404
2021-02-20;Nationalt;570;5861085;2.88;168974
2021-02-21;Nationalt;354;5861085;2.89;169328
2021-02-22;Nationalt;1100;5861085;2.91;170428
2021-02-23;Nationalt;1911;5861085;2.94;172339
2021-02-24;Nationalt;1904;5861085;2.97;174243
2021-02-25;Nationalt;613;5861085;2.98;174856
2021-02-26;Nationalt;1010;5861085;3.00;175866
2021-02-27;Nationalt;1404;5861085;3.02;177270
2021-02-28;Nationalt;1364;5861085;3.05;178634
2021-03-01;Nationalt;1058;5861085;3.07;179692
2021-03-02;Nationalt;1273;5861085;3.09;180965
2021-03-03;Nationalt;1014;5861085;3.10;181979
2021-03-04;Nationalt;1796;5861085;3.14;183775
2021-03-05;Nationalt;5657;5861085;3.23;189432
2021-03-06;Nationalt;3911;5861085;3.30;193343
2021-03-07;Nationalt;4266;5861085;3.37;197609
2021-03-08;Nationalt;6370;5861085;3.48;203979
2021-03-09;Nationalt;7094;5861085;3.60;211073
2021-03-10;Nationalt;7136;5861085;3.72;218209
2021-03-11;Nationalt;7884;5861085;3.86;226093
2021-03-12;Nationalt;10459;5861085;4.04;236552
2021-03-13;Nationalt;5835;5861085;4.14;242387
2021-03-14;Nationalt;9276;5861085;4.29;251663
2021-03-15;Nationalt;9768;5861085;4.46;261431
2021-03-16;Nationalt;9355;5861085;4.62;270786
2021-03-17;Nationalt;9064;5861085;4.77;279850
2021-03-18;Nationalt;7188;5861085;4.90;287038
2021-03-19;Nationalt;11640;5861085;5.10;298678
2021-03-20;Nationalt;4769;5861085;5.18;303447
2021-03-21;Nationalt;4618;5861085;5.26;308065
2021-03-22;Nationalt;7694;5861085;5.39;315759
2021-03-23;Nationalt;7524;5861085;5.52;323283
2021-03-24;Nationalt;13344;5861085;5.74;336627
2021-03-25;Nationalt;8359;5861085;5.89;344986
2021-03-26;Nationalt;7791;5861085;6.02;352777
2021-03-27;Nationalt;3081;5861085;6.07;355858
