"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;459558;448014;591460
Midtjylland;1027251;1002696;1338879
Syddanmark;937800;914838;1226279
Hovedstaden;1376159;1334345;1862155
Sjælland;640947;627433;842312
