"Region";"Bekræftede tilfælde";"Incidens";"Bekræftede tilfælde de senest 7 dage";"Incidens de seneste 7 dage";"Testede";"Test incidens";"Testede de seneste 7 dage";"Test incidens de seneste 7 dage";"Positivprocent de seneste 7 dage"
Hovedstaden;109966;5981;2571;139,8;1549285;84271;290432;15798;0,89
Midtjylland;39897;3015;683;51,6;1028037;77689;192231;14527;0,36
Nordjylland;15459;2625;279;47,4;489269;83072;93261;15835;0,30
Sjælland;31857;3814;524;62,7;635311;76062;121861;14590;0,43
Syddanmark;33306;2728;842;69,0;943626;77292;204030;16712;0,41
