"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;81;0;0;2;03/04/2021
Hovedstaden;0-9;8304;1;0;110;03/04/2021
Midtjylland;0-9;2944;0;0;22;03/04/2021
Nordjylland;0-9;931;0;0;6;03/04/2021
Sjælland;0-9;1925;0;0;18;03/04/2021
Syddanmark;0-9;2670;0;1;22;03/04/2021
;10-19;89;0;0;0;03/04/2021
Hovedstaden;10-19;15856;0;0;88;03/04/2021
Midtjylland;10-19;6548;0;1;27;03/04/2021
Nordjylland;10-19;2348;0;0;8;03/04/2021
Sjælland;10-19;5187;0;0;39;03/04/2021
Syddanmark;10-19;5733;0;0;18;03/04/2021
;20-29;500;0;0;11;03/04/2021
Hovedstaden;20-29;22464;0;5;291;03/04/2021
Midtjylland;20-29;7898;0;2;80;03/04/2021
Nordjylland;20-29;2908;0;1;37;03/04/2021
Sjælland;20-29;4149;0;0;76;03/04/2021
Syddanmark;20-29;5599;0;3;77;03/04/2021
;30-39;558;0;0;21;03/04/2021
Hovedstaden;30-39;16436;4;4;474;03/04/2021
Midtjylland;30-39;5125;0;2;116;03/04/2021
Nordjylland;30-39;1862;0;1;39;03/04/2021
Sjælland;30-39;3953;2;2;117;03/04/2021
Syddanmark;30-39;4234;0;3;97;03/04/2021
;40-49;512;0;0;30;03/04/2021
Hovedstaden;40-49;15870;4;12;622;03/04/2021
Midtjylland;40-49;5582;1;3;186;03/04/2021
Nordjylland;40-49;2056;0;1;67;03/04/2021
Sjælland;40-49;5201;1;5;221;03/04/2021
Syddanmark;40-49;4916;1;7;162;03/04/2021
;50-59;329;1;0;41;03/04/2021
Hovedstaden;50-59;14691;28;12;944;03/04/2021
Midtjylland;50-59;5682;9;9;351;03/04/2021
Nordjylland;50-59;2335;3;3;108;03/04/2021
Sjælland;50-59;5358;9;6;332;03/04/2021
Syddanmark;50-59;4887;4;7;263;03/04/2021
;60-69;118;0;1;23;03/04/2021
Hovedstaden;60-69;7725;111;12;984;03/04/2021
Midtjylland;60-69;3151;28;6;326;03/04/2021
Nordjylland;60-69;1505;10;4;138;03/04/2021
Sjælland;60-69;2945;36;4;381;03/04/2021
Syddanmark;60-69;2713;16;9;280;03/04/2021
;70-79;27;0;0;11;03/04/2021
Hovedstaden;70-79;4811;327;31;1456;03/04/2021
Midtjylland;70-79;1824;86;5;448;03/04/2021
Nordjylland;70-79;953;60;8;221;03/04/2021
Sjælland;70-79;1907;108;8;555;03/04/2021
Syddanmark;70-79;1655;56;15;360;03/04/2021
;80-89;10;1;0;5;03/04/2021
Hovedstaden;80-89;2816;516;8;1279;03/04/2021
Midtjylland;80-89;883;149;2;311;03/04/2021
Nordjylland;80-89;436;62;1;175;03/04/2021
Sjælland;80-89;959;154;2;456;03/04/2021
Syddanmark;80-89;733;90;7;272;03/04/2021
;90+;9;1;0;0;03/04/2021
Hovedstaden;90+;993;304;1;386;03/04/2021
Midtjylland;90+;260;69;0;78;03/04/2021
Nordjylland;90+;125;43;0;38;03/04/2021
Sjælland;90+;273;88;1;131;03/04/2021
Syddanmark;90+;166;45;0;60;03/04/2021
