"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;110
Midtjylland;0-9;22
Nordjylland;0-9;6
Sjælland;0-9;18
Syddanmark;0-9;22
;10-19;0
Hovedstaden;10-19;88
Midtjylland;10-19;27
Nordjylland;10-19;8
Sjælland;10-19;39
Syddanmark;10-19;18
;20-29;11
Hovedstaden;20-29;291
Midtjylland;20-29;80
Nordjylland;20-29;37
Sjælland;20-29;76
Syddanmark;20-29;77
;30-39;21
Hovedstaden;30-39;474
Midtjylland;30-39;116
Nordjylland;30-39;39
Sjælland;30-39;117
Syddanmark;30-39;97
;40-49;30
Hovedstaden;40-49;622
Midtjylland;40-49;186
Nordjylland;40-49;67
Sjælland;40-49;221
Syddanmark;40-49;162
;50-59;41
Hovedstaden;50-59;944
Midtjylland;50-59;351
Nordjylland;50-59;108
Sjælland;50-59;332
Syddanmark;50-59;263
;60-69;23
Hovedstaden;60-69;984
Midtjylland;60-69;326
Nordjylland;60-69;138
Sjælland;60-69;381
Syddanmark;60-69;280
;70-79;11
Hovedstaden;70-79;1456
Midtjylland;70-79;448
Nordjylland;70-79;221
Sjælland;70-79;555
Syddanmark;70-79;360
;80-89;5
Hovedstaden;80-89;1279
Midtjylland;80-89;311
Nordjylland;80-89;175
Sjælland;80-89;456
Syddanmark;80-89;272
;90+;0
Hovedstaden;90+;386
Midtjylland;90+;78
Nordjylland;90+;38
Sjælland;90+;131
Syddanmark;90+;60
