"Regionsnavn";"Antal personer 1. stik";"Antal personer 2. stik";"Antal borgere"
Nordjylland;499232;490624;591673
Midtjylland;1123316;1104483;1343954
Syddanmark;1024018;1007484;1229260
Hovedstaden;1500847;1468172;1871386
Sjælland;695236;683877;844047
