"Regionsnavn";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;00-02;K;2;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2181;1455
Hovedstaden;03-05;M;2364;1592
Hovedstaden;06-11;K;25729;20119
Hovedstaden;06-11;M;26922;21040
Hovedstaden;12-15;K;30536;29354
Hovedstaden;12-15;M;32435;31190
Hovedstaden;16-19;K;34604;34033
Hovedstaden;16-19;M;35365;34619
Hovedstaden;20-39;K;233145;228282
Hovedstaden;20-39;M;223887;217411
Hovedstaden;40-64;K;271952;270104
Hovedstaden;40-64;M;267128;265124
Hovedstaden;65-79;K;126828;126524
Hovedstaden;65-79;M;109527;109284
Hovedstaden;80+;K;48202;48065
Hovedstaden;80+;M;30040;29976
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;1846;1316
Midtjylland;03-05;M;2027;1429
Midtjylland;06-11;K;22980;19125
Midtjylland;06-11;M;24311;20242
Midtjylland;12-15;K;26158;25462
Midtjylland;12-15;M;27285;26523
Midtjylland;16-19;K;29593;29324
Midtjylland;16-19;M;30354;29986
Midtjylland;20-39;K;148770;146444
Midtjylland;20-39;M;151598;148327
Midtjylland;40-64;K;199127;198317
Midtjylland;40-64;M;197786;196854
Midtjylland;65-79;K;102016;101894
Midtjylland;65-79;M;96644;96527
Midtjylland;80+;K;36633;36564
Midtjylland;80+;M;26185;26148
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;741;540
Nordjylland;03-05;M;803;566
Nordjylland;06-11;K;9303;7689
Nordjylland;06-11;M;9696;7948
Nordjylland;12-15;K;10885;10557
Nordjylland;12-15;M;11546;11190
Nordjylland;16-19;K;12311;12195
Nordjylland;16-19;M;12941;12749
Nordjylland;20-39;K;59665;58589
Nordjylland;20-39;M;64585;62909
Nordjylland;40-64;K;88409;88028
Nordjylland;40-64;M;88648;88173
Nordjylland;65-79;K;49854;49768
Nordjylland;65-79;M;47747;47672
Nordjylland;80+;K;18565;18537
Nordjylland;80+;M;13533;13514
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;948;694
Sjælland;03-05;M;1049;744
Sjælland;06-11;K;11763;9722
Sjælland;06-11;M;12548;10406
Sjælland;12-15;K;15662;15254
Sjælland;12-15;M;16634;16168
Sjælland;16-19;K;17893;17690
Sjælland;16-19;M;19081;18765
Sjælland;20-39;K;67676;66173
Sjælland;20-39;M;69808;67937
Sjælland;40-64;K;136249;135490
Sjælland;40-64;M;133655;132899
Sjælland;65-79;K;76302;76177
Sjælland;65-79;M;70878;70756
Sjælland;80+;K;26280;26213
Sjælland;80+;M;18810;18789
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1488;1111
Syddanmark;03-05;M;1592;1192
Syddanmark;06-11;K;19396;16371
Syddanmark;06-11;M;20624;17479
Syddanmark;12-15;K;23312;22650
Syddanmark;12-15;M;24476;23802
Syddanmark;16-19;K;26850;26575
Syddanmark;16-19;M;27432;27009
Syddanmark;20-39;K;115408;113239
Syddanmark;20-39;M;120141;117100
Syddanmark;40-64;K;188758;187875
Syddanmark;40-64;M;187658;186572
Syddanmark;65-79;K;102568;102427
Syddanmark;65-79;M;97030;96901
Syddanmark;80+;K;39406;39339
Syddanmark;80+;M;27877;27841
