"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
00-02;K;6;2;90772;0.0;0.0
00-02;M;1;0;95649;0.0;0.0
03-05;K;7204;5116;91015;7.9;5.6
03-05;M;7835;5523;96305;8.1;5.7
06-11;K;89171;73026;178594;49.9;40.9
06-11;M;94101;77115;187778;50.1;41.1
12-15;K;106553;103277;132824;80.2;77.8
12-15;M;112376;108873;140215;80.1;77.6
16-19;K;121251;119817;134133;90.4;89.3
16-19;M;125173;123128;140431;89.1;87.7
20-39;K;624664;612727;735668;84.9;83.3
20-39;M;630019;613684;765791;82.3;80.1
40-64;K;884495;879814;945805;93.5;93.0
40-64;M;874875;869622;947281;92.4;91.8
65-79;K;457568;456790;471103;97.1;97.0
65-79;M;421826;421140;433753;97.3;97.1
80+;K;169086;168718;174116;97.1;96.9
80+;M;116445;116268;119087;97.8;97.6
