"Regionsnavn";"Aldersgruppe";"sex";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;0-9;K;17381;12978
Hovedstaden;0-9;M;18461;13817
Hovedstaden;10-19;K;75671;71983
Hovedstaden;10-19;M;78625;74624
Hovedstaden;20-29;K;121401;118860
Hovedstaden;20-29;M;114523;110946
Hovedstaden;30-39;K;111744;109422
Hovedstaden;30-39;M;109364;106465
Hovedstaden;40-49;K;110621;109541
Hovedstaden;40-49;M;107425;106274
Hovedstaden;50-59;K;113956;113343
Hovedstaden;50-59;M;113024;112353
Hovedstaden;60-69;K;90396;90128
Hovedstaden;60-69;M;85893;85592
Hovedstaden;70-79;K;83807;83616
Hovedstaden;70-79;M;70313;70189
Hovedstaden;80-89;K;39155;39061
Hovedstaden;80-89;M;26685;26631
Hovedstaden;90+;K;9047;9004
Hovedstaden;90+;M;3355;3345
Midtjylland;0-9;K;15220;12010
Midtjylland;0-9;M;16269;12861
Midtjylland;10-19;K;65359;63218
Midtjylland;10-19;M;67709;65319
Midtjylland;20-29;K;80542;79269
Midtjylland;20-29;M;82123;80205
Midtjylland;30-39;K;68228;67175
Midtjylland;30-39;M;69475;68122
Midtjylland;40-49;K;76157;75715
Midtjylland;40-49;M;74980;74419
Midtjylland;50-59;K;84476;84194
Midtjylland;50-59;M;85106;84813
Midtjylland;60-69;K;74976;74828
Midtjylland;60-69;M;73292;73152
Midtjylland;70-79;K;65534;65474
Midtjylland;70-79;M;61052;60997
Midtjylland;80-89;K;30008;29959
Midtjylland;80-89;M;23183;23153
Midtjylland;90+;K;6625;6605
Midtjylland;90+;M;3002;2995
Nordjylland;0-9;K;6215;4875
Nordjylland;0-9;M;6509;5065
Nordjylland;10-19;K;27025;26106
Nordjylland;10-19;M;28477;27388
Nordjylland;20-29;K;31854;31254
Nordjylland;20-29;M;35563;34570
Nordjylland;30-39;K;27811;27335
Nordjylland;30-39;M;29022;28339
Nordjylland;40-49;K;31793;31597
Nordjylland;40-49;M;31839;31577
Nordjylland;50-59;K;37940;37802
Nordjylland;50-59;M;38388;38225
Nordjylland;60-69;K;36244;36152
Nordjylland;60-69;M;35656;35574
Nordjylland;70-79;K;32286;32245
Nordjylland;70-79;M;30512;30469
Nordjylland;80-89;K;15208;15190
Nordjylland;80-89;M;11939;11924
Nordjylland;90+;K;3357;3347
Nordjylland;90+;M;1594;1590
Sjælland;0-9;K;7678;6102
Sjælland;0-9;M;8323;6613
Sjælland;10-19;K;38588;37258
Sjælland;10-19;M;40989;39470
Sjælland;20-29;K;30919;30164
Sjælland;20-29;M;33902;32908
Sjælland;30-39;K;36757;36009
Sjælland;30-39;M;35906;35029
Sjælland;40-49;K;48997;48604
Sjælland;40-49;M;46595;46154
Sjælland;50-59;K;59909;59634
Sjælland;50-59;M;60270;60043
Sjælland;60-69;K;53243;53110
Sjælland;60-69;M;51751;51605
Sjælland;70-79;K;50402;50319
Sjælland;70-79;M;45917;45853
Sjælland;80-89;K;21865;21819
Sjælland;80-89;M;16859;16842
Sjælland;90+;K;4415;4394
Sjælland;90+;M;1951;1947
Syddanmark;0-9;K;12734;10304
Syddanmark;0-9;M;13657;11104
Syddanmark;10-19;K;58314;56404
Syddanmark;10-19;M;60467;58378
Syddanmark;20-29;K;58109;56949
Syddanmark;20-29;M;62379;60627
Syddanmark;30-39;K;57299;56290
Syddanmark;30-39;M;57762;56473
Syddanmark;40-49;K;69075;68592
Syddanmark;40-49;M;67258;66612
Syddanmark;50-59;K;81637;81329
Syddanmark;50-59;M;82725;82397
Syddanmark;60-69;K;74489;74333
Syddanmark;60-69;M;73300;73129
Syddanmark;70-79;K;66125;66048
Syddanmark;70-79;M;61405;61335
Syddanmark;80-89;K;32300;32262
Syddanmark;80-89;M;24740;24710
Syddanmark;90+;K;7106;7077
Syddanmark;90+;M;3137;3131
