"Vaccinenavn";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
AstraZeneca Covid-19 vaccine;Nordjylland;17051;107
AstraZeneca Covid-19 vaccine;Midtjylland;34066;268
AstraZeneca Covid-19 vaccine;Syddanmark;30852;506
AstraZeneca Covid-19 vaccine;Hovedstaden;46618;1292
AstraZeneca Covid-19 vaccine;Sjælland;24055;480
Janssen COVID-19 vaccine;Nordjylland;3693;11
Janssen COVID-19 vaccine;Midtjylland;9915;14
Janssen COVID-19 vaccine;Syddanmark;7634;23
Janssen COVID-19 vaccine;Hovedstaden;22813;67
Janssen COVID-19 vaccine;Sjælland;2868;23
Moderna Covid-19 Vaccine;Nordjylland;71430;73719
Moderna Covid-19 Vaccine;Midtjylland;127761;134676
Moderna Covid-19 Vaccine;Syddanmark;136260;169591
Moderna Covid-19 Vaccine;Hovedstaden;153299;169354
Moderna Covid-19 Vaccine;Sjælland;85435;108595
Pfizer BioNTech Covid-19 vacc;Nordjylland;407058;416787
Pfizer BioNTech Covid-19 vacc;Midtjylland;951574;969525
Pfizer BioNTech Covid-19 vacc;Syddanmark;849272;837364
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278117;1297459
Pfizer BioNTech Covid-19 vacc;Sjælland;582878;574779
