"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2021-02-11;1084;Hovedstaden;245;1084
2021-02-11;1085;Sjælland;218;1085
2021-02-12;1081;Nordjylland;98;1081
2021-02-12;1082;Midtjylland;960;1082
2021-02-12;1083;Syddanmark;1648;1083
2021-02-12;1084;Hovedstaden;4126;1084
2021-02-12;1085;Sjælland;646;1085
2021-02-13;1081;Nordjylland;2;1081
2021-02-13;1082;Midtjylland;40;1082
2021-02-13;1083;Syddanmark;791;1083
2021-02-13;1084;Hovedstaden;11;1084
2021-02-13;1085;Sjælland;57;1085
2021-02-14;1081;Nordjylland;2;1081
2021-02-14;1082;Midtjylland;29;1082
2021-02-14;1083;Syddanmark;516;1083
2021-02-14;1084;Hovedstaden;13;1084
2021-02-14;1085;Sjælland;28;1085
2021-02-15;1081;Nordjylland;35;1081
2021-02-15;1082;Midtjylland;445;1082
2021-02-15;1083;Syddanmark;1027;1083
2021-02-15;1084;Hovedstaden;1357;1084
2021-02-15;1085;Sjælland;194;1085
2021-02-16;1081;Nordjylland;27;1081
2021-02-16;1082;Midtjylland;210;1082
2021-02-16;1083;Syddanmark;528;1083
2021-02-16;1084;Hovedstaden;405;1084
2021-02-16;1085;Sjælland;112;1085
2021-02-17;1081;Nordjylland;15;1081
2021-02-17;1082;Midtjylland;108;1082
2021-02-17;1083;Syddanmark;190;1083
2021-02-17;1084;Hovedstaden;37;1084
2021-02-17;1085;Sjælland;48;1085
2021-02-18;1081;Nordjylland;34;1081
2021-02-18;1082;Midtjylland;65;1082
2021-02-18;1083;Syddanmark;44;1083
2021-02-18;1084;Hovedstaden;81;1084
2021-02-18;1085;Sjælland;94;1085
2021-02-19;1081;Nordjylland;177;1081
2021-02-19;1082;Midtjylland;103;1082
2021-02-19;1083;Syddanmark;86;1083
2021-02-19;1084;Hovedstaden;55;1084
2021-02-19;1085;Sjælland;510;1085
2021-02-20;1081;Nordjylland;127;1081
2021-02-20;1082;Midtjylland;7;1082
2021-02-20;1083;Syddanmark;57;1083
2021-02-20;1084;Hovedstaden;104;1084
2021-02-20;1085;Sjælland;254;1085
2021-02-21;1081;Nordjylland;25;1081
2021-02-21;1082;Midtjylland;36;1082
2021-02-21;1083;Syddanmark;34;1083
2021-02-21;1084;Hovedstaden;105;1084
2021-02-21;1085;Sjælland;142;1085
2021-02-22;1081;Nordjylland;32;1081
2021-02-22;1082;Midtjylland;340;1082
2021-02-22;1083;Syddanmark;184;1083
2021-02-22;1084;Hovedstaden;148;1084
2021-02-22;1085;Sjælland;366;1085
2021-02-23;1081;Nordjylland;26;1081
2021-02-23;1082;Midtjylland;267;1082
2021-02-23;1083;Syddanmark;346;1083
2021-02-23;1084;Hovedstaden;172;1084
2021-02-23;1085;Sjælland;1044;1085
2021-02-24;1081;Nordjylland;11;1081
2021-02-24;1082;Midtjylland;215;1082
2021-02-24;1083;Syddanmark;563;1083
2021-02-24;1084;Hovedstaden;83;1084
2021-02-24;1085;Sjælland;922;1085
2021-02-25;1081;Nordjylland;21;1081
2021-02-25;1082;Midtjylland;141;1082
2021-02-25;1083;Syddanmark;300;1083
2021-02-25;1084;Hovedstaden;42;1084
2021-02-25;1085;Sjælland;88;1085
2021-02-26;1081;Nordjylland;49;1081
2021-02-26;1082;Midtjylland;383;1082
2021-02-26;1083;Syddanmark;296;1083
2021-02-26;1084;Hovedstaden;71;1084
2021-02-26;1085;Sjælland;197;1085
2021-02-27;1081;Nordjylland;2;1081
2021-02-27;1082;Midtjylland;2;1082
2021-02-27;1083;Syddanmark;111;1083
2021-02-27;1084;Hovedstaden;998;1084
2021-02-27;1085;Sjælland;199;1085
2021-02-28;1081;Nordjylland;4;1081
2021-02-28;1082;Midtjylland;4;1082
2021-02-28;1083;Syddanmark;29;1083
2021-02-28;1084;Hovedstaden;1030;1084
2021-02-28;1085;Sjælland;212;1085
2021-03-01;1081;Nordjylland;73;1081
2021-03-01;1082;Midtjylland;140;1082
2021-03-01;1083;Syddanmark;346;1083
2021-03-01;1084;Hovedstaden;213;1084
2021-03-01;1085;Sjælland;243;1085
2021-03-02;1081;Nordjylland;74;1081
2021-03-02;1082;Midtjylland;177;1082
2021-03-02;1083;Syddanmark;331;1083
2021-03-02;1084;Hovedstaden;250;1084
2021-03-02;1085;Sjælland;392;1085
2021-03-03;1081;Nordjylland;46;1081
2021-03-03;1082;Midtjylland;210;1082
2021-03-03;1083;Syddanmark;154;1083
2021-03-03;1084;Hovedstaden;47;1084
2021-03-03;1085;Sjælland;515;1085
2021-03-04;1081;Nordjylland;39;1081
2021-03-04;1082;Midtjylland;602;1082
2021-03-04;1083;Syddanmark;173;1083
2021-03-04;1084;Hovedstaden;201;1084
2021-03-04;1085;Sjælland;733;1085
2021-03-05;1081;Nordjylland;644;1081
2021-03-05;1082;Midtjylland;2496;1082
2021-03-05;1083;Syddanmark;473;1083
2021-03-05;1084;Hovedstaden;269;1084
2021-03-05;1085;Sjælland;1541;1085
2021-03-06;1081;Nordjylland;656;1081
2021-03-06;1082;Midtjylland;1454;1082
2021-03-06;1083;Syddanmark;314;1083
2021-03-06;1084;Hovedstaden;93;1084
2021-03-06;1085;Sjælland;1226;1085
2021-03-07;1081;Nordjylland;563;1081
2021-03-07;1082;Midtjylland;1060;1082
2021-03-07;1083;Syddanmark;597;1083
2021-03-07;1084;Hovedstaden;309;1084
2021-03-07;1085;Sjælland;1529;1085
2021-03-08;1081;Nordjylland;554;1081
2021-03-08;1082;Midtjylland;3292;1082
2021-03-08;1083;Syddanmark;754;1083
2021-03-08;1084;Hovedstaden;239;1084
