"Regionsnavn";"Aldersgruppe";"sex";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;0-9;K;18454;13818
Hovedstaden;0-9;M;19547;14702
Hovedstaden;10-19;K;81316;77792
Hovedstaden;10-19;M;83839;79946
Hovedstaden;20-29;K;123000;120380
Hovedstaden;20-29;M;116293;112632
Hovedstaden;30-39;K;110837;108621
Hovedstaden;30-39;M;108156;105369
Hovedstaden;40-49;K;112728;111645
Hovedstaden;40-49;M;109470;108344
Hovedstaden;50-59;K;113243;112654
Hovedstaden;50-59;M;112396;111747
Hovedstaden;60-69;K;88909;88639
Hovedstaden;60-69;M;84225;83935
Hovedstaden;70-79;K;81946;81772
Hovedstaden;70-79;M;68016;67895
Hovedstaden;80-89;K;35669;35576
Hovedstaden;80-89;M;23258;23206
Hovedstaden;90+;K;7077;7039
Hovedstaden;90+;M;2468;2460
Midtjylland;0-9;K;16259;12922
Midtjylland;0-9;M;17370;13809
Midtjylland;10-19;K;69847;67799
Midtjylland;10-19;M;71829;69539
Midtjylland;20-29;K;79858;78575
Midtjylland;20-29;M;81724;79787
Midtjylland;30-39;K;68418;67375
Midtjylland;30-39;M;69175;67862
Midtjylland;40-49;K;77874;77443
Midtjylland;40-49;M;76947;76401
Midtjylland;50-59;K;84486;84220
Midtjylland;50-59;M;84963;84677
Midtjylland;60-69;K;74396;74250
Midtjylland;60-69;M;72816;72683
Midtjylland;70-79;K;63651;63594
Midtjylland;70-79;M;58800;58745
Midtjylland;80-89;K;27182;27133
Midtjylland;80-89;M;20392;20364
Midtjylland;90+;K;5154;5136
Midtjylland;90+;M;2175;2169
Nordjylland;0-9;K;6629;5249
Nordjylland;0-9;M;6931;5431
Nordjylland;10-19;K;28887;27992
Nordjylland;10-19;M;30327;29267
Nordjylland;20-29;K;31578;30964
Nordjylland;20-29;M;35325;34329
Nordjylland;30-39;K;27951;27497
Nordjylland;30-39;M;28872;28199
Nordjylland;40-49;K;32470;32276
Nordjylland;40-49;M;32613;32357
Nordjylland;50-59;K;38490;38352
Nordjylland;50-59;M;38905;38753
Nordjylland;60-69;K;35792;35704
Nordjylland;60-69;M;35273;35192
Nordjylland;70-79;K;31560;31520
Nordjylland;70-79;M;29647;29606
Nordjylland;80-89;K;13811;13793
Nordjylland;80-89;M;10475;10460
Nordjylland;90+;K;2565;2556
Nordjylland;90+;M;1131;1127
Sjælland;0-9;K;8163;6509
Sjælland;0-9;M;8849;7055
Sjælland;10-19;K;40941;39671
Sjælland;10-19;M;43450;41976
Sjælland;20-29;K;30311;29544
Sjælland;20-29;M;33054;32051
Sjælland;30-39;K;37522;36781
Sjælland;30-39;M;36321;35467
Sjælland;40-49;K;50674;50289
Sjælland;40-49;M;48545;48120
Sjælland;50-59;K;60037;59765
Sjælland;50-59;M;60238;60008
Sjælland;60-69;K;52837;52703
Sjælland;60-69;M;51350;51213
Sjælland;70-79;K;49278;49206
Sjælland;70-79;M;44642;44580
Sjælland;80-89;K;19629;19584
Sjælland;80-89;M;14619;14603
Sjælland;90+;K;3381;3361
Sjælland;90+;M;1395;1391
Syddanmark;0-9;K;13581;11042
Syddanmark;0-9;M;14573;11915
Syddanmark;10-19;K;62132;60307
Syddanmark;10-19;M;64197;62145
Syddanmark;20-29;K;57306;56122
Syddanmark;20-29;M;61580;59814
Syddanmark;30-39;K;57586;56606
Syddanmark;30-39;M;57684;56434
Syddanmark;40-49;K;71265;70777
Syddanmark;40-49;M;69657;69031
Syddanmark;50-59;K;82030;81733
Syddanmark;50-59;M;82808;82490
Syddanmark;60-69;K;73502;73356
Syddanmark;60-69;M;72648;72488
Syddanmark;70-79;K;65016;64940
Syddanmark;70-79;M;59792;59722
Syddanmark;80-89;K;29256;29217
Syddanmark;80-89;M;21641;21611
Syddanmark;90+;K;5514;5488
Syddanmark;90+;M;2250;2246
