"dato";"kommunenavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-15;Slagelse;M;32003;31435;23767;32003;31455;23762;0;-20;5
2022-03-15;Stevns;K;9749;9598;7710;9749;9598;7708;0;0;2
2022-03-15;Stevns;M;9790;9623;7431;9790;9628;7430;0;-5;1
2022-03-15;Sorø;K;12714;12559;9913;12714;12560;9912;0;-1;1
2022-03-15;Sorø;M;12433;12235;9239;12433;12242;9239;0;-7;0
2022-03-15;Lejre;K;12028;11835;9233;12029;11839;9234;-1;-4;-1
2022-03-15;Lejre;M;11698;11529;8818;11699;11542;8817;-1;-13;1
2022-03-15;Lolland;K;16428;16209;13090;16430;16213;13093;-2;-4;-3
2022-03-15;Lolland;M;16334;16078;12482;16340;16090;12484;-6;-12;-2
2022-03-15;Næstved;K;35325;34830;27331;35328;34837;27330;-3;-7;1
2022-03-15;Næstved;M;33974;33399;25178;33973;33436;25175;1;-37;3
2022-03-15;Guldborgsund;K;25125;24809;19888;25125;24816;19885;0;-7;3
2022-03-15;Guldborgsund;M;24549;24186;18731;24557;24206;18732;-8;-20;-1
2022-03-15;Vordingborg;K;18943;18671;14990;18943;18677;14985;0;-6;5
2022-03-15;Vordingborg;M;18496;18158;14031;18497;18173;14032;-1;-15;-1
2022-03-15;Bornholm;K;17285;17041;14100;17285;17041;14099;0;0;1
2022-03-15;Bornholm;M;16729;16453;13146;16732;16458;13149;-3;-5;-3
2022-03-15;Middelfart;K;17102;16876;13475;17105;16881;13476;-3;-5;-1
2022-03-15;Middelfart;M;16825;16556;12770;16825;16572;12770;0;-16;0
2022-03-15;Assens;K;17509;17263;13693;17512;17272;13696;-3;-9;-3
2022-03-15;Assens;M;17425;17124;13001;17428;17149;13003;-3;-25;-2
2022-03-15;Faaborg-Midtfyn;K;22223;21907;17274;22225;21914;17272;-2;-7;2
2022-03-15;Faaborg-Midtfyn;M;22009;21637;16450;22011;21655;16449;-2;-18;1
2022-03-15;Kerteminde;K;10481;10308;8254;10482;10314;8255;-1;-6;-1
2022-03-15;Kerteminde;M;10024;9833;7562;10026;9853;7563;-2;-20;-1
2022-03-15;Nyborg;K;14014;13817;10976;14018;13822;10975;-4;-5;1
2022-03-15;Nyborg;M;13507;13299;10215;13508;13310;10214;-1;-11;1
2022-03-15;Odense;K;88090;86649;66866;88094;86714;66857;-4;-65;9
2022-03-15;Odense;M;84078;82326;60161;84081;82561;60138;-3;-235;23
2022-03-15;Svendborg;K;25594;25245;20085;25594;25254;20082;0;-9;3
2022-03-15;Svendborg;M;24973;24570;18603;24978;24599;18600;-5;-29;3
2022-03-15;Nordfyn;K;12566;12364;9739;12567;12369;9731;-1;-5;8
2022-03-15;Nordfyn;M;12427;12200;9217;12429;12224;9212;-2;-24;5
2022-03-15;Langeland;K;5274;5219;4367;5274;5222;4367;0;-3;0
2022-03-15;Langeland;M;5288;5215;4271;5292;5224;4274;-4;-9;-3
2022-03-15;Ærø;K;2627;2590;2221;2628;2591;2222;-1;-1;-1
2022-03-15;Ærø;M;2636;2587;2166;2636;2591;2166;0;-4;0
2022-03-15;Haderslev;K;22946;22622;17612;22948;22629;17612;-2;-7;0
2022-03-15;Haderslev;M;22658;22273;16653;22659;22288;16652;-1;-15;1
2022-03-15;Billund;K;11050;10887;8460;11053;10892;8461;-3;-5;-1
2022-03-15;Billund;M;11124;10941;8285;11124;10953;8284;0;-12;1
2022-03-15;Sønderborg;K;31135;30698;24323;31140;30709;24328;-5;-11;-5
2022-03-15;Sønderborg;M;30489;29994;22863;30493;30018;22868;-4;-24;-5
2022-03-15;Tønder;K;15044;14839;11706;15043;14838;11693;1;1;13
2022-03-15;Tønder;M;14896;14647;11085;14896;14657;11076;0;-10;9
2022-03-15;Esbjerg;K;48129;47416;36882;48133;47427;36870;-4;-11;12
2022-03-15;Esbjerg;M;47560;46782;34824;47566;46825;34812;-6;-43;12
2022-03-15;Fanø;K;1538;1522;1266;1538;1522;1266;0;0;0
2022-03-15;Fanø;M;1434;1415;1148;1434;1415;1147;0;0;1
2022-03-15;Varde;K;20485;20171;15859;20486;20177;15859;-1;-6;0
2022-03-15;Varde;M;20669;20323;15493;20671;20338;15493;-2;-15;0
2022-03-15;Vejen;K;17336;17079;13151;17336;17082;13151;0;-3;0
2022-03-15;Vejen;M;17582;17239;12730;17584;17253;12732;-2;-14;-2
2022-03-15;Aabenraa;K;23849;23546;18482;23856;23556;18486;-7;-10;-4
2022-03-15;Aabenraa;M;23348;22995;17442;23350;23013;17439;-2;-18;3
2022-03-15;Fredericia;K;21772;21453;16834;21773;21458;16834;-1;-5;0
2022-03-15;Fredericia;M;21276;20902;15856;21279;20928;15856;-3;-26;0
2022-03-15;Horsens;K;38938;38408;29315;38943;38433;29313;-5;-25;2
2022-03-15;Horsens;M;38221;37512;27498;38223;37560;27492;-2;-48;6
