"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
0-9;K;59228;46269;297848;19.9;15.5
0-9;M;63219;49460;314518;20.1;15.7
10-19;K;264957;254969;329490;80.4;77.4
10-19;M;276267;265179;345860;79.9;76.7
20-29;K;322825;316496;383848;84.1;82.5
20-29;M;328490;319256;399739;82.2;79.9
30-39;K;301839;296231;351820;85.8;84.2
30-39;M;301529;294428;366052;82.4;80.4
40-49;K;336643;334049;366765;91.8;91.1
40-49;M;328097;325036;367105;89.4;88.5
50-59;K;377918;376302;401259;94.2;93.8
50-59;M;379513;377831;405283;93.6;93.2
60-69;K;329348;328551;342921;96.0;95.8
60-69;M;319892;319052;332823;96.1;95.9
70-79;K;298154;297702;305963;97.4;97.3
70-79;M;269199;268843;275823;97.6;97.5
80-89;K;138536;138291;142305;97.4;97.2
80-89;M;103406;103260;105688;97.8;97.7
90+;K;30550;30427;31811;96.0;95.6
90+;M;13039;13008;13399;97.3;97.1
