"Vaccinedato";"geo";"Antal personer 2. tik";"Antal borgere";"2. stik (%)";"Kumuleret antal 2. stik"
2020-12-29;Nationalt;1;5880320;0.00;1
2021-01-08;Nationalt;1;5880320;0.00;2
2021-01-09;Nationalt;2;5880320;0.00;4
2021-01-12;Nationalt;2;5880320;0.00;6
2021-01-13;Nationalt;5;5880320;0.00;11
2021-01-14;Nationalt;1;5880320;0.00;12
2021-01-15;Nationalt;5;5880320;0.00;17
2021-01-16;Nationalt;10;5880320;0.00;27
2021-01-17;Nationalt;619;5880320;0.01;646
2021-01-18;Nationalt;1901;5880320;0.04;2547
2021-01-19;Nationalt;1835;5880320;0.07;4382
2021-01-20;Nationalt;1668;5880320;0.10;6050
2021-01-21;Nationalt;2085;5880320;0.14;8135
2021-01-22;Nationalt;5120;5880320;0.23;13255
2021-01-23;Nationalt;6215;5880320;0.33;19470
2021-01-24;Nationalt;5622;5880320;0.43;25092
2021-01-25;Nationalt;2222;5880320;0.46;27314
2021-01-26;Nationalt;1574;5880320;0.49;28888
2021-01-27;Nationalt;3982;5880320;0.56;32870
2021-01-28;Nationalt;7662;5880320;0.69;40532
2021-01-29;Nationalt;16788;5880320;0.97;57320
2021-01-30;Nationalt;11529;5880320;1.17;68849
2021-01-31;Nationalt;10846;5880320;1.36;79695
2021-02-01;Nationalt;7364;5880320;1.48;87059
2021-02-02;Nationalt;2825;5880320;1.53;89884
2021-02-03;Nationalt;5841;5880320;1.63;95725
2021-02-04;Nationalt;10244;5880320;1.80;105969
2021-02-05;Nationalt;12456;5880320;2.01;118425
2021-02-06;Nationalt;6274;5880320;2.12;124699
2021-02-07;Nationalt;3364;5880320;2.18;128063
2021-02-08;Nationalt;6617;5880320;2.29;134680
2021-02-09;Nationalt;4566;5880320;2.37;139246
2021-02-10;Nationalt;3678;5880320;2.43;142924
2021-02-11;Nationalt;2339;5880320;2.47;145263
2021-02-12;Nationalt;7478;5880320;2.60;152741
2021-02-13;Nationalt;901;5880320;2.61;153642
2021-02-14;Nationalt;588;5880320;2.62;154230
2021-02-15;Nationalt;3058;5880320;2.67;157288
2021-02-16;Nationalt;1282;5880320;2.70;158570
2021-02-17;Nationalt;398;5880320;2.70;158968
2021-02-18;Nationalt;318;5880320;2.71;159286
2021-02-19;Nationalt;931;5880320;2.72;160217
2021-02-20;Nationalt;549;5880320;2.73;160766
2021-02-21;Nationalt;342;5880320;2.74;161108
2021-02-22;Nationalt;1070;5880320;2.76;162178
2021-02-23;Nationalt;1855;5880320;2.79;164033
2021-02-24;Nationalt;1794;5880320;2.82;165827
2021-02-25;Nationalt;592;5880320;2.83;166419
2021-02-26;Nationalt;996;5880320;2.85;167415
2021-02-27;Nationalt;1312;5880320;2.87;168727
2021-02-28;Nationalt;1279;5880320;2.89;170006
2021-03-01;Nationalt;1015;5880320;2.91;171021
2021-03-02;Nationalt;1224;5880320;2.93;172245
2021-03-03;Nationalt;972;5880320;2.95;173217
2021-03-04;Nationalt;1748;5880320;2.98;174965
2021-03-05;Nationalt;5423;5880320;3.07;180388
2021-03-06;Nationalt;3743;5880320;3.13;184131
2021-03-07;Nationalt;4058;5880320;3.20;188189
2021-03-08;Nationalt;6146;5880320;3.30;194335
2021-03-09;Nationalt;6770;5880320;3.42;201105
2021-03-10;Nationalt;6818;5880320;3.54;207923
2021-03-11;Nationalt;7566;5880320;3.66;215489
2021-03-12;Nationalt;10037;5880320;3.84;225526
2021-03-13;Nationalt;5581;5880320;3.93;231107
2021-03-14;Nationalt;8997;5880320;4.08;240104
2021-03-15;Nationalt;9474;5880320;4.24;249578
2021-03-16;Nationalt;9044;5880320;4.40;258622
2021-03-17;Nationalt;8744;5880320;4.55;267366
2021-03-18;Nationalt;6945;5880320;4.66;274311
2021-03-19;Nationalt;11299;5880320;4.86;285610
2021-03-20;Nationalt;4629;5880320;4.94;290239
2021-03-21;Nationalt;4523;5880320;5.01;294762
2021-03-22;Nationalt;7489;5880320;5.14;302251
2021-03-23;Nationalt;7343;5880320;5.26;309594
2021-03-24;Nationalt;12973;5880320;5.49;322567
2021-03-25;Nationalt;8144;5880320;5.62;330711
