"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-01-01;40-64;Nordjylland;5;0
2021-01-01;20-39;Midtjylland;37;0
2021-01-01;40-64;Midtjylland;77;0
2021-01-01;65-79;Midtjylland;11;0
2021-01-01;16-19;Syddanmark;2;0
2021-01-01;20-39;Syddanmark;54;0
2021-01-01;40-64;Syddanmark;294;0
2021-01-01;65-79;Syddanmark;73;0
2021-01-01;80+;Syddanmark;155;0
2021-01-01;20-39;Hovedstaden;180;0
2021-01-01;40-64;Hovedstaden;402;0
2021-01-01;65-79;Hovedstaden;197;0
2021-01-01;80+;Hovedstaden;290;0
2021-01-01;16-19;Sjælland;1;0
2021-01-01;20-39;Sjælland;84;0
2021-01-01;40-64;Sjælland;165;0
2021-01-01;65-79;Sjælland;19;0
2021-01-01;80+;Sjælland;13;0
2021-01-02;16-19;Nordjylland;1;0
2021-01-02;20-39;Nordjylland;302;0
2021-01-02;40-64;Nordjylland;859;0
2021-01-02;65-79;Nordjylland;149;0
2021-01-02;80+;Nordjylland;229;0
2021-01-02;16-19;Midtjylland;1;0
2021-01-02;20-39;Midtjylland;282;0
2021-01-02;40-64;Midtjylland;975;0
2021-01-02;65-79;Midtjylland;356;0
2021-01-02;80+;Midtjylland;493;0
2021-01-02;16-19;Syddanmark;2;0
2021-01-02;20-39;Syddanmark;201;0
2021-01-02;40-64;Syddanmark;771;0
2021-01-02;65-79;Syddanmark;266;0
2021-01-02;80+;Syddanmark;452;0
2021-01-02;20-39;Hovedstaden;287;0
2021-01-02;40-64;Hovedstaden;854;0
2021-01-02;65-79;Hovedstaden;389;0
2021-01-02;80+;Hovedstaden;481;0
2021-01-02;20-39;Sjælland;93;0
2021-01-02;40-64;Sjælland;280;0
2021-01-02;65-79;Sjælland;25;0
2021-01-02;80+;Sjælland;1;0
2021-01-03;20-39;Nordjylland;5;0
2021-01-03;40-64;Nordjylland;8;0
2021-01-03;65-79;Nordjylland;1;0
2021-01-03;16-19;Midtjylland;1;0
2021-01-03;20-39;Midtjylland;316;0
2021-01-03;40-64;Midtjylland;1012;0
2021-01-03;65-79;Midtjylland;443;0
2021-01-03;80+;Midtjylland;746;0
2021-01-03;20-39;Syddanmark;82;0
2021-01-03;40-64;Syddanmark;312;0
2021-01-03;65-79;Syddanmark;131;0
2021-01-03;80+;Syddanmark;188;0
2021-01-03;16-19;Hovedstaden;4;0
2021-01-03;20-39;Hovedstaden;231;0
2021-01-03;40-64;Hovedstaden;729;0
2021-01-03;65-79;Hovedstaden;292;0
2021-01-03;80+;Hovedstaden;491;0
2021-01-03;20-39;Sjælland;27;0
2021-01-03;40-64;Sjælland;66;0
2021-01-03;65-79;Sjælland;10;0
2021-01-03;80+;Sjælland;3;0
2021-01-04;16-19;Nordjylland;1;0
2021-01-04;20-39;Nordjylland;200;0
2021-01-04;40-64;Nordjylland;487;0
2021-01-04;65-79;Nordjylland;103;0
2021-01-04;80+;Nordjylland;154;0
2021-01-04;20-39;Midtjylland;24;0
2021-01-04;40-64;Midtjylland;34;0
2021-01-04;65-79;Midtjylland;7;0
2021-01-04;80+;Midtjylland;1;0
2021-01-04;16-19;Syddanmark;5;0
2021-01-04;20-39;Syddanmark;265;0
2021-01-04;40-64;Syddanmark;559;0
2021-01-04;65-79;Syddanmark;74;0
2021-01-04;80+;Syddanmark;29;0
2021-01-04;20-39;Hovedstaden;76;0
2021-01-04;40-64;Hovedstaden;169;0
2021-01-04;65-79;Hovedstaden;45;0
2021-01-04;80+;Hovedstaden;58;0
2021-01-04;20-39;Sjælland;3;0
2021-01-04;40-64;Sjælland;18;0
2021-01-04;65-79;Sjælland;3;0
2021-01-04;80+;Sjælland;1;0
2021-01-05;16-19;Nordjylland;7;0
2021-01-05;20-39;Nordjylland;264;0
2021-01-05;40-64;Nordjylland;922;0
2021-01-05;65-79;Nordjylland;242;0
2021-01-05;80+;Nordjylland;484;0
2021-01-05;16-19;Midtjylland;4;0
2021-01-05;20-39;Midtjylland;398;0
2021-01-05;40-64;Midtjylland;1262;0
2021-01-05;65-79;Midtjylland;341;0
2021-01-05;80+;Midtjylland;531;0
2021-01-05;16-19;Syddanmark;5;0
2021-01-05;20-39;Syddanmark;307;0
2021-01-05;40-64;Syddanmark;578;0
2021-01-05;65-79;Syddanmark;102;0
2021-01-05;80+;Syddanmark;112;0
2021-01-05;16-19;Hovedstaden;6;0
2021-01-05;20-39;Hovedstaden;1263;0
2021-01-05;40-64;Hovedstaden;3021;0
2021-01-05;65-79;Hovedstaden;765;0
2021-01-05;80+;Hovedstaden;991;0
2021-01-05;16-19;Sjælland;1;0
2021-01-05;20-39;Sjælland;77;0
2021-01-05;40-64;Sjælland;228;0
2021-01-05;65-79;Sjælland;102;0
2021-01-05;80+;Sjælland;111;0
2021-01-06;16-19;Nordjylland;6;0
2021-01-06;20-39;Nordjylland;296;0
2021-01-06;40-64;Nordjylland;1198;0
2021-01-06;65-79;Nordjylland;348;0
2021-01-06;80+;Nordjylland;606;0
2021-01-06;16-19;Midtjylland;10;0
2021-01-06;20-39;Midtjylland;611;0
2021-01-06;40-64;Midtjylland;1657;0
2021-01-06;65-79;Midtjylland;597;0
2021-01-06;80+;Midtjylland;954;0
2021-01-06;16-19;Syddanmark;9;0
2021-01-06;20-39;Syddanmark;516;0
2021-01-06;40-64;Syddanmark;1615;0
2021-01-06;65-79;Syddanmark;456;0
2021-01-06;80+;Syddanmark;648;0
2021-01-06;16-19;Hovedstaden;7;0
2021-01-06;20-39;Hovedstaden;1150;0
2021-01-06;40-64;Hovedstaden;3039;0
2021-01-06;65-79;Hovedstaden;906;0
2021-01-06;80+;Hovedstaden;1078;0
2021-01-06;20-39;Sjælland;244;0
2021-01-06;40-64;Sjælland;895;0
2021-01-06;65-79;Sjælland;222;0
2021-01-06;80+;Sjælland;414;0
2021-01-07;16-19;Nordjylland;1;0
2021-01-07;20-39;Nordjylland;356;0
2021-01-07;40-64;Nordjylland;555;0
2021-01-07;65-79;Nordjylland;91;0
2021-01-07;80+;Nordjylland;71;0
2021-01-07;16-19;Midtjylland;6;0
2021-01-07;20-39;Midtjylland;602;0
2021-01-07;40-64;Midtjylland;1776;0
2021-01-07;65-79;Midtjylland;551;0
2021-01-07;80+;Midtjylland;957;0
2021-01-07;16-19;Syddanmark;7;0
2021-01-07;20-39;Syddanmark;542;0
2021-01-07;40-64;Syddanmark;1805;0
2021-01-07;65-79;Syddanmark;627;0
2021-01-07;80+;Syddanmark;893;0
2021-01-07;16-19;Hovedstaden;7;0
2021-01-07;20-39;Hovedstaden;647;0
2021-01-07;40-64;Hovedstaden;2150;0
2021-01-07;65-79;Hovedstaden;1174;0
2021-01-07;80+;Hovedstaden;1072;0
2021-01-07;16-19;Sjælland;1;0
2021-01-07;20-39;Sjælland;180;0
2021-01-07;40-64;Sjælland;640;0
2021-01-07;65-79;Sjælland;306;0
2021-01-07;80+;Sjælland;464;0
2021-01-08;20-39;Nordjylland;79;0
2021-01-08;40-64;Nordjylland;132;0
2021-01-08;65-79;Nordjylland;16;0
2021-01-08;80+;Nordjylland;7;0
2021-01-08;16-19;Midtjylland;1;0
2021-01-08;20-39;Midtjylland;319;0
2021-01-08;40-64;Midtjylland;873;0
2021-01-08;65-79;Midtjylland;453;0
2021-01-08;80+;Midtjylland;803;0
2021-01-08;16-19;Syddanmark;5;0
2021-01-08;20-39;Syddanmark;411;0
2021-01-08;40-64;Syddanmark;1258;0
2021-01-08;65-79;Syddanmark;521;0
2021-01-08;80+;Syddanmark;745;0
2021-01-08;20-39;Hovedstaden;226;1
2021-01-08;40-64;Hovedstaden;409;0
2021-01-08;65-79;Hovedstaden;71;0
2021-01-08;80+;Hovedstaden;44;0
2021-01-08;20-39;Sjælland;125;0
2021-01-08;40-64;Sjælland;493;0
2021-01-08;65-79;Sjælland;168;0
2021-01-08;80+;Sjælland;381;0
2021-01-09;20-39;Nordjylland;6;0
2021-01-09;40-64;Nordjylland;2;0
2021-01-09;65-79;Nordjylland;10;0
2021-01-09;80+;Nordjylland;18;0
2021-01-09;16-19;Midtjylland;1;0
2021-01-09;20-39;Midtjylland;174;0
2021-01-09;40-64;Midtjylland;295;0
2021-01-09;65-79;Midtjylland;92;0
2021-01-09;80+;Midtjylland;118;0
2021-01-09;20-39;Syddanmark;13;0
2021-01-09;40-64;Syddanmark;13;0
2021-01-09;65-79;Syddanmark;3;0
2021-01-09;80+;Syddanmark;7;0
2021-01-09;20-39;Hovedstaden;67;0
2021-01-09;40-64;Hovedstaden;44;1
2021-01-09;65-79;Hovedstaden;12;0
2021-01-09;80+;Hovedstaden;2;1
2021-01-09;16-19;Sjælland;2;0
2021-01-09;20-39;Sjælland;195;0
2021-01-09;40-64;Sjælland;550;0
2021-01-09;65-79;Sjælland;86;0
2021-01-09;80+;Sjælland;114;0
2021-01-10;20-39;Nordjylland;2;0
2021-01-10;20-39;Midtjylland;1;0
2021-01-10;40-64;Midtjylland;1;0
2021-01-10;65-79;Midtjylland;1;0
2021-01-10;20-39;Syddanmark;10;0
2021-01-10;40-64;Syddanmark;9;0
2021-01-10;65-79;Syddanmark;1;0
2021-01-10;80+;Syddanmark;1;0
2021-01-10;20-39;Hovedstaden;70;0
2021-01-10;40-64;Hovedstaden;55;0
2021-01-10;65-79;Hovedstaden;14;0
2021-01-10;20-39;Sjælland;153;0
2021-01-10;40-64;Sjælland;429;0
2021-01-10;65-79;Sjælland;71;0
2021-01-11;40-64;Nordjylland;3;0
2021-01-11;20-39;Midtjylland;3;0
2021-01-11;40-64;Midtjylland;11;0
2021-01-11;65-79;Midtjylland;1;0
2021-01-11;80+;Midtjylland;4;0
2021-01-11;20-39;Syddanmark;6;0
2021-01-11;40-64;Syddanmark;12;0
2021-01-11;65-79;Syddanmark;1;0
2021-01-11;20-39;Hovedstaden;35;0
2021-01-11;40-64;Hovedstaden;61;0
2021-01-11;65-79;Hovedstaden;6;0
2021-01-11;20-39;Sjælland;107;0
2021-01-11;40-64;Sjælland;383;0
2021-01-11;65-79;Sjælland;32;0
2021-01-12;20-39;Nordjylland;2;0
2021-01-12;40-64;Nordjylland;2;0
2021-01-12;65-79;Nordjylland;1;0
2021-01-12;80+;Nordjylland;1;0
;;NA;0;1
2021-01-12;40-64;Midtjylland;13;0
2021-01-12;80+;Midtjylland;1;0
2021-01-12;20-39;Syddanmark;3;0
2021-01-12;40-64;Syddanmark;9;1
2021-01-12;65-79;Syddanmark;2;0
2021-01-12;20-39;Hovedstaden;33;0
2021-01-12;40-64;Hovedstaden;35;0
2021-01-12;65-79;Hovedstaden;8;0
2021-01-12;20-39;Sjælland;79;0
2021-01-12;40-64;Sjælland;253;0
2021-01-12;65-79;Sjælland;22;0
2021-01-13;20-39;Nordjylland;88;0
2021-01-13;40-64;Nordjylland;155;0
2021-01-13;65-79;Nordjylland;78;0
2021-01-13;80+;Nordjylland;134;0
2021-01-13;16-19;Midtjylland;3;0
2021-01-13;20-39;Midtjylland;357;1
2021-01-13;40-64;Midtjylland;682;2
2021-01-13;65-79;Midtjylland;306;0
2021-01-13;80+;Midtjylland;497;0
2021-01-13;16-19;Syddanmark;1;0
2021-01-13;20-39;Syddanmark;336;0
2021-01-13;40-64;Syddanmark;705;0
2021-01-13;65-79;Syddanmark;416;0
2021-01-13;80+;Syddanmark;666;0
2021-01-13;16-19;Hovedstaden;12;0
2021-01-13;20-39;Hovedstaden;1225;0
2021-01-13;40-64;Hovedstaden;2746;1
2021-01-13;65-79;Hovedstaden;1744;1
2021-01-13;80+;Hovedstaden;875;0
2021-01-13;16-19;Sjælland;5;0
2021-01-13;20-39;Sjælland;169;0
2021-01-13;40-64;Sjælland;492;0
2021-01-13;65-79;Sjælland;166;0
2021-01-13;80+;Sjælland;95;0
2021-01-14;20-39;Nordjylland;54;0
2021-01-14;40-64;Nordjylland;118;0
2021-01-14;65-79;Nordjylland;133;0
2021-01-14;80+;Nordjylland;312;0
2021-01-14;16-19;Midtjylland;3;0
2021-01-14;20-39;Midtjylland;423;0
2021-01-14;40-64;Midtjylland;795;0
2021-01-14;65-79;Midtjylland;480;0
2021-01-14;80+;Midtjylland;892;0
2021-01-14;16-19;Syddanmark;4;0
2021-01-14;20-39;Syddanmark;552;0
2021-01-14;40-64;Syddanmark;1097;0
2021-01-14;65-79;Syddanmark;722;0
2021-01-14;80+;Syddanmark;1018;0
2021-01-14;16-19;Hovedstaden;7;0
2021-01-14;20-39;Hovedstaden;1515;0
2021-01-14;40-64;Hovedstaden;3177;1
2021-01-14;65-79;Hovedstaden;2123;0
2021-01-14;80+;Hovedstaden;1308;0
2021-01-14;20-39;Sjælland;226;0
2021-01-14;40-64;Sjælland;742;0
2021-01-14;65-79;Sjælland;235;0
2021-01-14;80+;Sjælland;591;0
2021-01-15;20-39;Nordjylland;108;0
2021-01-15;40-64;Nordjylland;235;0
2021-01-15;65-79;Nordjylland;273;0
2021-01-15;80+;Nordjylland;569;0
2021-01-15;16-19;Midtjylland;3;0
2021-01-15;20-39;Midtjylland;493;0
2021-01-15;40-64;Midtjylland;1101;0
2021-01-15;65-79;Midtjylland;608;0
2021-01-15;80+;Midtjylland;753;0
2021-01-15;16-19;Syddanmark;3;0
2021-01-15;20-39;Syddanmark;498;0
2021-01-15;40-64;Syddanmark;1082;0
2021-01-15;65-79;Syddanmark;986;0
2021-01-15;80+;Syddanmark;1163;0
2021-01-15;16-19;Hovedstaden;4;0
2021-01-15;20-39;Hovedstaden;943;1
2021-01-15;40-64;Hovedstaden;2059;2
2021-01-15;65-79;Hovedstaden;1237;2
2021-01-15;80+;Hovedstaden;923;0
2021-01-15;20-39;Sjælland;117;0
2021-01-15;40-64;Sjælland;366;0
2021-01-15;65-79;Sjælland;122;0
2021-01-15;80+;Sjælland;300;0
2021-01-16;20-39;Nordjylland;44;0
2021-01-16;40-64;Nordjylland;128;0
2021-01-16;65-79;Nordjylland;275;0
2021-01-16;80+;Nordjylland;672;0
2021-01-16;16-19;Midtjylland;3;0
2021-01-16;20-39;Midtjylland;231;0
2021-01-16;40-64;Midtjylland;420;5
2021-01-16;65-79;Midtjylland;119;1
2021-01-16;80+;Midtjylland;117;1
2021-01-16;16-19;Syddanmark;1;0
2021-01-16;20-39;Syddanmark;95;0
2021-01-16;40-64;Syddanmark;240;0
2021-01-16;65-79;Syddanmark;377;0
2021-01-16;80+;Syddanmark;607;0
2021-01-16;16-19;Hovedstaden;1;0
2021-01-16;20-39;Hovedstaden;233;1
2021-01-16;40-64;Hovedstaden;445;0
2021-01-16;65-79;Hovedstaden;98;1
2021-01-16;80+;Hovedstaden;58;0
2021-01-16;20-39;Sjælland;10;0
2021-01-16;40-64;Sjælland;40;1
2021-01-16;65-79;Sjælland;11;0
2021-01-16;80+;Sjælland;4;0
2021-01-17;20-39;Nordjylland;61;0
2021-01-17;40-64;Nordjylland;128;1
2021-01-17;65-79;Nordjylland;252;0
2021-01-17;80+;Nordjylland;530;0
2021-01-17;16-19;Midtjylland;1;0
2021-01-17;20-39;Midtjylland;2;1
2021-01-17;40-64;Midtjylland;11;2
2021-01-17;65-79;Midtjylland;13;0
2021-01-17;80+;Midtjylland;2;0
2021-01-17;16-19;Syddanmark;1;0
2021-01-17;20-39;Syddanmark;73;30
2021-01-17;40-64;Syddanmark;230;135
2021-01-17;65-79;Syddanmark;313;76
2021-01-17;80+;Syddanmark;512;136
2021-01-17;20-39;Hovedstaden;16;18
2021-01-17;40-64;Hovedstaden;28;21
2021-01-17;65-79;Hovedstaden;4;3
2021-01-17;80+;Hovedstaden;4;0
2021-01-17;20-39;Sjælland;16;49
2021-01-17;40-64;Sjælland;18;129
2021-01-17;65-79;Sjælland;3;18
2021-01-17;80+;Sjælland;1;0
2021-01-18;20-39;Nordjylland;29;1
2021-01-18;40-64;Nordjylland;75;3
2021-01-18;65-79;Nordjylland;184;0
2021-01-18;80+;Nordjylland;304;0
2021-01-18;16-19;Midtjylland;8;0
2021-01-18;20-39;Midtjylland;222;45
2021-01-18;40-64;Midtjylland;439;102
2021-01-18;65-79;Midtjylland;331;19
2021-01-18;80+;Midtjylland;489;0
;;NA;0;1
;;NA;0;1
2021-01-18;20-39;Syddanmark;160;62
2021-01-18;40-64;Syddanmark;399;215
2021-01-18;65-79;Syddanmark;485;68
2021-01-18;80+;Syddanmark;283;101
2021-01-18;20-39;Hovedstaden;14;62
2021-01-18;40-64;Hovedstaden;13;66
2021-01-18;65-79;Hovedstaden;6;9
2021-01-18;80+;Hovedstaden;4;0
2021-01-18;20-39;Sjælland;27;146
2021-01-18;40-64;Sjælland;64;485
2021-01-18;65-79;Sjælland;3;207
2021-01-18;80+;Sjælland;3;308
2021-01-19;20-39;Nordjylland;14;0
2021-01-19;40-64;Nordjylland;12;3
2021-01-19;65-79;Nordjylland;5;0
2021-01-19;80+;Nordjylland;1;0
2021-01-19;16-19;Midtjylland;7;0
2021-01-19;20-39;Midtjylland;268;4
2021-01-19;40-64;Midtjylland;622;5
2021-01-19;65-79;Midtjylland;313;2
2021-01-19;80+;Midtjylland;454;0
2021-01-19;20-39;Syddanmark;47;31
2021-01-19;40-64;Syddanmark;65;169
2021-01-19;65-79;Syddanmark;183;68
2021-01-19;80+;Syddanmark;85;121
2021-01-19;20-39;Hovedstaden;22;71
2021-01-19;40-64;Hovedstaden;27;83
2021-01-19;65-79;Hovedstaden;7;17
2021-01-19;80+;Hovedstaden;2;1
;;NA;0;1
2021-01-19;20-39;Sjælland;28;184
2021-01-19;40-64;Sjælland;97;589
2021-01-19;65-79;Sjælland;8;209
2021-01-19;80+;Sjælland;24;277
2021-01-20;20-39;Nordjylland;8;2
2021-01-20;40-64;Nordjylland;10;1
2021-01-20;65-79;Nordjylland;3;1
2021-01-20;16-19;Midtjylland;10;0
2021-01-20;20-39;Midtjylland;186;20
2021-01-20;40-64;Midtjylland;374;76
2021-01-20;65-79;Midtjylland;179;3
2021-01-20;80+;Midtjylland;190;0
2021-01-20;20-39;Syddanmark;26;33
2021-01-20;40-64;Syddanmark;66;112
2021-01-20;65-79;Syddanmark;49;49
2021-01-20;80+;Syddanmark;53;61
2021-01-20;20-39;Hovedstaden;12;62
2021-01-20;40-64;Hovedstaden;14;63
2021-01-20;65-79;Hovedstaden;6;10
2021-01-20;80+;Hovedstaden;2;1
;;NA;0;1
2021-01-20;20-39;Sjælland;16;169
2021-01-20;40-64;Sjælland;58;508
2021-01-20;65-79;Sjælland;13;190
2021-01-20;80+;Sjælland;122;306
2021-01-21;20-39;Nordjylland;7;3
2021-01-21;40-64;Nordjylland;9;7
2021-01-21;65-79;Nordjylland;2;0
2021-01-21;16-19;Midtjylland;9;0
2021-01-21;20-39;Midtjylland;154;185
2021-01-21;40-64;Midtjylland;381;356
2021-01-21;65-79;Midtjylland;269;33
2021-01-21;80+;Midtjylland;269;2
2021-01-21;20-39;Syddanmark;11;29
2021-01-21;40-64;Syddanmark;50;135
2021-01-21;65-79;Syddanmark;46;82
2021-01-21;80+;Syddanmark;28;119
2021-01-21;20-39;Hovedstaden;17;43
2021-01-21;40-64;Hovedstaden;14;60
2021-01-21;65-79;Hovedstaden;2;10
2021-01-21;80+;Hovedstaden;3;4
;;NA;0;1
2021-01-21;20-39;Sjælland;24;133
