"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2021-01-20;1082;Midtjylland;939;1082
2021-01-20;1083;Syddanmark;194;1083
2021-01-20;1084;Hovedstaden;34;1084
2021-01-20;1085;Sjælland;209;1085
2021-01-21;1081;Nordjylland;18;1081
2021-01-21;1082;Midtjylland;1082;1082
2021-01-21;1083;Syddanmark;135;1083
2021-01-21;1084;Hovedstaden;36;1084
2021-01-21;1085;Sjælland;156;1085
2021-01-22;1081;Nordjylland;155;1081
2021-01-22;1082;Midtjylland;157;1082
2021-01-22;1083;Syddanmark;139;1083
2021-01-22;1084;Hovedstaden;54;1084
2021-01-22;1085;Sjælland;129;1085
2021-01-23;1081;Nordjylland;47;1081
2021-01-23;1082;Midtjylland;83;1082
2021-01-23;1083;Syddanmark;3;1083
2021-01-23;1084;Hovedstaden;508;1084
2021-01-23;1085;Sjælland;27;1085
2021-01-24;1081;Nordjylland;19;1081
2021-01-24;1082;Midtjylland;56;1082
2021-01-24;1083;Syddanmark;1;1083
2021-01-24;1084;Hovedstaden;447;1084
2021-01-24;1085;Sjælland;22;1085
2021-01-25;1081;Nordjylland;24;1081
2021-01-25;1082;Midtjylland;8;1082
2021-01-25;1083;Syddanmark;135;1083
2021-01-25;1084;Hovedstaden;47;1084
2021-01-25;1085;Sjælland;57;1085
2021-01-26;1081;Nordjylland;2;1081
2021-01-26;1082;Midtjylland;10;1082
2021-01-26;1083;Syddanmark;87;1083
2021-01-26;1084;Hovedstaden;19;1084
2021-01-26;1085;Sjælland;93;1085
2021-01-27;1081;Nordjylland;5;1081
2021-01-27;1082;Midtjylland;24;1082
2021-01-27;1083;Syddanmark;83;1083
2021-01-27;1084;Hovedstaden;17;1084
2021-01-27;1085;Sjælland;76;1085
2021-01-28;1081;Nordjylland;25;1081
2021-01-28;1082;Midtjylland;17;1082
2021-01-28;1083;Syddanmark;36;1083
2021-01-28;1084;Hovedstaden;24;1084
2021-01-28;1085;Sjælland;135;1085
2021-01-29;1081;Nordjylland;66;1081
2021-01-29;1082;Midtjylland;271;1082
2021-01-29;1083;Syddanmark;68;1083
2021-01-29;1084;Hovedstaden;379;1084
2021-01-29;1085;Sjælland;241;1085
2021-01-30;1081;Nordjylland;61;1081
2021-01-30;1082;Midtjylland;168;1082
2021-01-30;1083;Syddanmark;119;1083
2021-01-30;1084;Hovedstaden;381;1084
2021-01-30;1085;Sjælland;374;1085
2021-01-31;1081;Nordjylland;99;1081
2021-01-31;1082;Midtjylland;380;1082
2021-01-31;1083;Syddanmark;142;1083
2021-01-31;1084;Hovedstaden;299;1084
2021-01-31;1085;Sjælland;197;1085
2021-02-01;1081;Nordjylland;90;1081
2021-02-01;1082;Midtjylland;90;1082
2021-02-01;1083;Syddanmark;192;1083
2021-02-01;1084;Hovedstaden;64;1084
2021-02-01;1085;Sjælland;283;1085
