Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.393.091;  94.634;   5.762;   1.118
Sjælland; 562.238;  27.182;   1.966;     336
Syddanmark; 818.046;  25.214;   1.228;     160
Midtjylland; 917.315;  35.097;   1.727;     310
Nordjylland; 451.959;  13.374;     705;     145
