Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     402 (49);     418 (51);     820
10-19;   1.067 (51);   1.030 (49);   2.097
20-29;   2.136 (55);   1.782 (45);   3.918
30-39;   1.735 (54);   1.470 (46);   3.205
40-49;   1.982 (56);   1.527 (44);   3.509
50-59;   1.969 (55);   1.583 (45);   3.552
60-69;   1.006 (48);   1.078 (52);   2.084
70-79;     649 (46);     772 (54);   1.421
80-89;     539 (57);     408 (43);     947
90+;     213 (72);      81 (28);     294
I alt;  11.698 (54);  10.149 (46);  21.847
