"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16865,2
AstraZeneca Covid-19 vaccine,Midtjylland,33651,8
AstraZeneca Covid-19 vaccine,Syddanmark,30422,251
AstraZeneca Covid-19 vaccine,Hovedstaden,45151,109
AstraZeneca Covid-19 vaccine,Sjælland,23859,339
Moderna Covid-19 Vaccine,Nordjylland,7005,4287
Moderna Covid-19 Vaccine,Midtjylland,21148,11227
Moderna Covid-19 Vaccine,Syddanmark,19938,12519
Moderna Covid-19 Vaccine,Hovedstaden,29478,19399
Moderna Covid-19 Vaccine,Sjælland,19066,9345
Pfizer BioNTech Covid-19 vacc,Nordjylland,118045,65548
Pfizer BioNTech Covid-19 vacc,Midtjylland,248817,138720
Pfizer BioNTech Covid-19 vacc,Syddanmark,240119,122282
Pfizer BioNTech Covid-19 vacc,Hovedstaden,350241,188387
Pfizer BioNTech Covid-19 vacc,Sjælland,163690,97547
