"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-05-03,Hovedstaden,K,250316,125088,246193,119179,4123,5909
2021-05-03,Hovedstaden,M,174554,82807,170292,80109,4262,2698
2021-05-03,Midtjylland,K,180549,89815,180463,89795,86,20
2021-05-03,Midtjylland,M,123067,60140,122989,60127,78,13
2021-05-03,Nordjylland,K,84260,41681,83045,41021,1215,660
2021-05-03,Nordjylland,M,57655,28156,56562,27635,1093,521
2021-05-03,Sjælland,K,121031,61241,120009,60152,1022,1089
2021-05-03,Sjælland,M,85584,45990,84483,45076,1101,914
2021-05-03,Syddanmark,K,170491,79621,168480,78524,2011,1097
2021-05-03,Syddanmark,M,119988,55431,118351,54556,1637,875
