"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,141915,69837,24.0,11.8,590350
Midtjylland,303616,149955,22.8,11.2,1333939
Syddanmark,290479,135052,23.7,11.0,1224469
Hovedstaden,424870,207895,22.9,11.2,1856537
Sjælland,206615,107231,24.6,12.8,840125
