"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,141915,69837,590350
Midtjylland,303616,149955,1333939
Syddanmark,290479,135052,1224469
Hovedstaden,424870,207895,1856537
Sjælland,206615,107231,840125
