"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,101323,47574,15.9,7.4,638852
Frederiksberg,23347,11801,22.6,11.4,103233
Ballerup,12585,6384,25.6,13.0,49084
Brøndby,8946,4804,25.3,13.6,35364
Dragør,4352,2120,29.9,14.5,14571
Gentofte,19398,9835,26.1,13.2,74309
Gladsaxe,16002,7861,23.2,11.4,68967
Glostrup,5925,3228,25.2,13.7,23486
Herlev,7398,3712,25.7,12.9,28811
Albertslund,6571,3442,24.1,12.6,27222
Hvidovre,12856,6837,24.1,12.8,53317
Høje Tåstrup,12189,6637,23.3,12.7,52229
Lyngby-Taarbæk,14272,7298,25.0,12.8,57071
Rødovre,9663,4814,23.5,11.7,41175
Ishøj,5001,2565,21.7,11.1,23064
Tårnby,10782,5218,25.3,12.2,42696
Vallensbæk,4189,2345,25.3,14.2,16557
Furesø,11271,5612,27.5,13.7,41044
Allerød,6964,3384,26.9,13.1,25905
Fredensborg,11933,5455,29.1,13.3,41009
Helsingør,19108,8699,30.3,13.8,63090
Hillerød,14105,7053,27.2,13.6,51830
Hørsholm,8129,4022,32.7,16.2,24822
Rudersdal,15797,8208,27.7,14.4,57036
Egedal,10821,5139,24.7,11.7,43887
Frederikssund,13710,6778,30.0,14.8,45657
Greve,12190,5904,24.1,11.7,50590
Køge,13804,6989,22.4,11.3,61591
Halsnæs,10431,4866,33.1,15.5,31475
Roskilde,20791,10583,23.4,11.9,88743
Solrød,5357,2580,22.8,11.0,23498
Gribskov,13767,5955,33.5,14.5,41042
Odsherred,10178,4781,30.9,14.5,32928
Holbæk,17645,9058,24.5,12.6,72141
Faxe,8482,4247,23.0,11.5,36822
Kalundborg,11874,6303,24.5,13.0,48422
Ringsted,6866,3606,19.6,10.3,35002
Slagelse,19704,11130,24.8,14.0,79353
Stevns,5992,3003,25.8,12.9,23255
Sorø,7292,4002,24.4,13.4,29936
Lejre,7223,3469,25.4,12.2,28460
Lolland,10797,5730,26.7,14.2,40365
Næstved,19584,10670,23.5,12.8,83360
Guldborgsund,16832,9083,27.9,15.0,60391
Vordingborg,12004,6093,26.5,13.5,45268
Bornholm,14035,6249,35.3,15.7,39732
Middelfart,10195,4768,25.9,12.1,39327
Assens,10494,4389,25.7,10.7,40889
Faaborg-Midtfyn,13354,5653,25.8,10.9,51713
Kerteminde,6486,2971,27.2,12.5,23850
Nyborg,8237,3678,25.7,11.5,32012
Odense,45891,21183,22.4,10.3,204909
Svendborg,15469,7290,26.3,12.4,58828
Nordfyn,7513,3286,25.4,11.1,29549
Langeland,3821,1685,31.0,13.6,12345
Ærø,2019,791,33.7,13.2,6000
Haderslev,12321,5204,22.3,9.4,55366
Billund,5866,3024,22.1,11.4,26521
Sønderborg,17703,8067,24.0,10.9,73786
Tønder,8151,3626,22.0,9.8,37009
Esbjerg,28259,15267,24.4,13.2,115627
Fanø,1178,419,34.2,12.2,3440
Varde,12168,6590,24.5,13.3,49715
Vejen,9590,4928,22.4,11.5,42807
Aabenraa,13378,5004,22.8,8.5,58588
Fredericia,12167,5823,23.7,11.3,51385
Horsens,19704,9181,21.2,9.9,92736
Kolding,20119,9203,21.6,9.9,93125
Vejle,26100,12203,22.2,10.4,117678
Herning,20907,11168,23.4,12.5,89389
Holstebro,14347,7268,24.5,12.4,58642
Lemvig,5413,2928,27.7,15.0,19536
Struer,5990,3100,28.7,14.9,20835
Syddjurs,11763,5293,27.1,12.2,43405
Norddjurs,10258,4937,27.8,13.4,36957
Favrskov,11064,4904,22.8,10.1,48518
Odder,5946,2938,25.8,12.7,23072
Randers,22996,11154,23.4,11.3,98412
Silkeborg,22258,11141,23.2,11.6,96045
Samsø,1179,644,31.8,17.4,3706
Skanderborg,13651,6632,21.5,10.4,63542
Århus,66873,32548,19.0,9.2,352347
Ikast-Brande,9513,4976,22.9,12.0,41617
Ringkøbing-Skjern,14039,7487,25.0,13.3,56213
Hedensted,11063,5155,23.6,11.0,46903
Morsø,5670,3045,28.2,15.2,20093
Skive,12468,6379,27.5,14.1,45360
Thisted,11552,5359,26.8,12.4,43147
Viborg,24184,12122,25.0,12.5,96704
Brønderslev,8558,4255,23.7,11.8,36112
Frederikshavn,15219,7935,25.8,13.5,58961
Vesthimmerland,9437,4580,26.0,12.6,36348
Læsø,841,393,47.2,22.1,1780
Rebild,6807,3164,22.3,10.4,30499
Mariagerfjord,10903,5075,26.2,12.2,41585
Jammerbugt,9351,4289,24.5,11.2,38185
Aalborg,46656,23874,21.2,10.9,219558
Hjørring,16921,7868,26.4,12.3,64082
