Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  98.212 (49); 103.862 (51); 202.074
10-19; 150.753 (50); 150.026 (50); 300.779
20-29; 129.631 (51); 124.119 (49); 253.750
30-39; 122.005 (53); 109.370 (47); 231.375
40-49; 117.502 (53); 105.148 (47); 222.650
50-59;  81.850 (50);  80.496 (50); 162.346
60-69;  40.716 (50);  41.042 (50);  81.758
70-79;  21.035 (50);  21.369 (50);  42.404
80-89;   8.634 (55);   6.991 (45);  15.625
90+;   2.820 (69);   1.260 (31);   4.080
I alt; 773.173 (51); 743.704 (49);1.516.878
