"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-08-06;Hovedstaden;K;678313;550629;676347;545727;1966;4902
2021-08-06;Hovedstaden;M;638580;506205;636803;500925;1777;5280
2021-08-06;Midtjylland;K;499208;395730;497672;390107;1536;5623
2021-08-06;Midtjylland;M;488641;366994;487146;360980;1495;6014
2021-08-06;Nordjylland;K;222217;179805;222136;177916;81;1889
2021-08-06;Nordjylland;M;220677;167698;220581;165301;96;2397
2021-08-06;Sjælland;K;314923;269571;314288;266854;635;2717
2021-08-06;Sjælland;M;303454;250759;302747;247474;707;3285
2021-08-06;Syddanmark;K;456336;361533;454883;357803;1453;3730
2021-08-06;Syddanmark;M;443280;332599;441643;328632;1637;3967
