"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;441003;321426;69.0;50.3;639110
Frederiksberg;76891;60114;74.8;58.5;102758
Ballerup;34453;29082;70.2;59.2;49093
Brøndby;22680;19100;63.8;53.8;35532
Dragør;10771;9464;73.8;64.8;14602
Gentofte;54559;46523;73.5;62.7;74242
Gladsaxe;48171;39566;69.9;57.4;68898
Glostrup;16242;13276;69.0;56.4;23532
Herlev;19844;16784;68.8;58.2;28825
Albertslund;17646;14587;64.8;53.6;27237
Hvidovre;36340;29796;68.4;56.1;53129
Høje Tåstrup;34046;27863;64.9;53.2;52422
Lyngby-Taarbæk;42505;35703;74.5;62.6;57048
Rødovre;27906;22777;67.7;55.3;41199
Ishøj;13701;11156;59.5;48.4;23028
Tårnby;30004;25233;70.4;59.2;42624
Vallensbæk;10933;9015;66.2;54.6;16512
Furesø;29837;25598;72.2;62.0;41297
Allerød;19606;16581;75.7;64.0;25908
Fredensborg;29774;25410;72.5;61.9;41076
Helsingør;46478;39858;73.6;63.1;63131
Hillerød;38709;32393;74.0;61.9;52340
Hørsholm;19076;16686;77.0;67.3;24780
Rudersdal;42925;36771;75.0;64.2;57237
Egedal;32481;27500;73.6;62.3;44109
Frederikssund;34582;30057;75.4;65.6;45841
Greve;35700;29592;70.5;58.4;50629
Køge;44851;36911;72.7;59.8;61711
Halsnæs;23612;20467;75.0;65.0;31477
Roskilde;65977;53810;74.0;60.4;89120
Solrød;17069;14185;72.4;60.2;23575
Gribskov;31110;27139;75.4;65.8;41245
Odsherred;25310;22542;76.7;68.3;33013
Holbæk;53659;44842;73.9;61.8;72602
Faxe;27198;23200;73.4;62.6;37054
Kalundborg;35695;30246;73.7;62.5;48415
Ringsted;24786;20482;70.7;58.4;35051
Slagelse;57462;47432;72.2;59.6;79567
Stevns;17368;14960;74.6;64.3;23281
Sorø;22300;18828;74.3;62.7;30021
Lejre;21095;18090;73.7;63.2;28617
Lolland;29776;26328;73.8;65.3;40336
Næstved;61331;50253;73.4;60.1;83573
Guldborgsund;45030;39187;74.6;64.9;60377
Vordingborg;33770;29442;74.5;64.9;45352
Bornholm;31008;26909;77.9;67.6;39817
Middelfart;29837;24241;75.6;61.4;39453
Assens;30908;24499;75.6;59.9;40891
Faaborg-Midtfyn;39160;31900;75.5;61.5;51858
Kerteminde;18325;14724;76.5;61.4;23964
Nyborg;24374;19652;75.9;61.2;32097
Odense;150593;106421;73.5;52.0;204787
Svendborg;44461;37028;75.5;62.8;58926
Nordfyn;22002;17461;74.3;59.0;29612
Langeland;9612;8252;77.8;66.8;12358
Ærø;4774;4084;79.4;67.9;6013
Haderslev;39992;30201;72.2;54.5;55389
Billund;19313;15518;72.6;58.3;26597
Sønderborg;55090;42093;74.8;57.1;73688
Tønder;26590;20173;71.9;54.6;36977
Esbjerg;84373;66649;73.1;57.7;115452
Fanø;2695;2420;78.3;70.3;3444
Varde;36242;29505;72.9;59.3;49737
Vejen;30594;23711;71.5;55.4;42767
Aabenraa;41906;31859;71.8;54.6;58402
Fredericia;37551;30328;72.9;58.8;51544
Horsens;66641;51705;71.4;55.4;93318
Kolding;66611;49091;71.6;52.7;93073
Vejle;84613;64322;71.6;54.4;118196
Herning;65454;50292;73.4;56.4;89221
Holstebro;43536;34147;74.3;58.3;58584
Lemvig;14999;12577;77.2;64.8;19418
Struer;15990;13358;76.9;64.2;20792
Syddjurs;32984;27324;75.8;62.8;43496
Norddjurs;28236;23380;76.4;63.3;36957
Favrskov;36149;28667;74.2;58.8;48714
Odder;17822;14773;77.0;63.8;23153
Randers;73048;57411;74.1;58.2;98635
Silkeborg;70292;55105;72.7;57.0;96716
Samsø;2971;2724;79.6;73.0;3731
Skanderborg;46746;37878;73.1;59.2;63964
Århus;259213;183122;73.4;51.9;352956
Ikast-Brande;30049;23472;71.9;56.1;41805
Ringkøbing-Skjern;41558;33303;74.0;59.3;56183
Hedensted;35072;28667;74.6;60.9;47035
Morsø;15386;13087;76.6;65.2;20085
Skive;34765;28105;77.0;62.2;45159
Thisted;32607;27496;75.6;63.7;43152
Viborg;72324;56714;74.8;58.6;96739
Brønderslev;26728;21295;73.8;58.8;36213
Frederikshavn;45340;38203;76.9;64.8;58948
Vesthimmerland;26778;21897;73.6;60.2;36360
Læsø;1447;1414;80.6;78.7;1796
Rebild;22267;17462;72.8;57.1;30596
Mariagerfjord;31248;25536;75.2;61.4;41577
Jammerbugt;28595;23030;75.0;60.4;38139
Aalborg;164170;118288;74.7;53.8;219912
Hjørring;48328;39795;75.6;62.2;63960
