"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;441003;321426;639110
Frederiksberg;76891;60114;102758
Ballerup;34453;29082;49093
Brøndby;22680;19100;35532
Dragør;10771;9464;14602
Gentofte;54559;46523;74242
Gladsaxe;48171;39566;68898
Glostrup;16242;13276;23532
Herlev;19844;16784;28825
Albertslund;17646;14587;27237
Hvidovre;36340;29796;53129
Høje-Taastrup;34046;27863;52422
Lyngby-Taarbæk;42505;35703;57048
Rødovre;27906;22777;41199
Ishøj;13701;11156;23028
Tårnby;30004;25233;42624
Vallensbæk;10933;9015;16512
Furesø;29837;25598;41297
Allerød;19606;16581;25908
Fredensborg;29774;25410;41076
Helsingør;46478;39858;63131
Hillerød;38709;32393;52340
Hørsholm;19076;16686;24780
Rudersdal;42925;36771;57237
Egedal;32481;27500;44109
Frederikssund;34582;30057;45841
Greve;35700;29592;50629
Køge;44851;36911;61711
Frederiksværk-Hundested;23612;20467;31477
Roskilde;65977;53810;89120
Solrød;17069;14185;23575
Gribskov;31110;27139;41245
Odsherred;25310;22542;33013
Holbæk;53659;44842;72602
Faxe;27198;23200;37054
Kalundborg;35695;30246;48415
Ringsted;24786;20482;35051
Slagelse;57462;47432;79567
Stevns;17368;14960;23281
Sorø;22300;18828;30021
Lejre;21095;18090;28617
Lolland;29776;26328;40336
Næstved;61331;50253;83573
Guldborgsund;45030;39187;60377
Vordingborg;33770;29442;45352
Bornholm;31008;26909;39817
Middelfart;29837;24241;39453
Assens;30908;24499;40891
Faaborg-Midtfyn;39160;31900;51858
Kerteminde;18325;14724;23964
Nyborg;24374;19652;32097
Odense;150593;106421;204787
Svendborg;44461;37028;58926
Nordfyns;22002;17461;29612
Langeland;9612;8252;12358
Ærø;4774;4084;6013
Haderslev;39992;30201;55389
Billund;19313;15518;26597
Sønderborg;55090;42093;73688
Tønder;26590;20173;36977
Esbjerg;84373;66649;115452
Fanø;2695;2420;3444
Varde;36242;29505;49737
Vejen;30594;23711;42767
Aabenraa;41906;31859;58402
Fredericia;37551;30328;51544
Horsens;66641;51705;93318
Kolding;66611;49091;93073
Vejle;84613;64322;118196
Herning;65454;50292;89221
Holstebro;43536;34147;58584
Lemvig;14999;12577;19418
Struer;15990;13358;20792
Syddjurs;32984;27324;43496
Norddjurs;28236;23380;36957
Favrskov;36149;28667;48714
Odder;17822;14773;23153
Randers;73048;57411;98635
Silkeborg;70292;55105;96716
Samsø;2971;2724;3731
Skanderborg;46746;37878;63964
Århus;259213;183122;352956
Ikast-Brande;30049;23472;41805
Ringkøbing-Skjern;41558;33303;56183
Hedensted;35072;28667;47035
Morsø;15386;13087;20085
Skive;34765;28105;45159
Thisted;32607;27496;43152
Viborg;72324;56714;96739
Brønderslev-Dronninglund;26728;21295;36213
Frederikshavn;45340;38203;58948
Vesthimmerlands;26778;21897;36360
Læsø;1447;1414;1796
Rebild;22267;17462;30596
Mariagerfjord;31248;25536;41577
Jammerbugt;28595;23030;38139
Ålborg;164170;118288;219912
Hjørring;48328;39795;63960
