"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;442894;347503;75.0;58.8;590738
Midtjylland;987849;762724;73.9;57.1;1336576
Syddanmark;899616;694132;73.4;56.7;1225225
Hovedstaden;1316893;1056834;70.9;56.9;1858049
Sjælland;618377;520330;73.4;61.8;842294
