"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;442894;347503;590738
Midtjylland;987849;762724;1336576
Syddanmark;899616;694132;1225225
Hovedstaden;1316893;1056834;1858049
Sjælland;618377;520330;842294
