"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16960;33
AstraZeneca Covid-19 vaccine;Midtjylland;33870;95
AstraZeneca Covid-19 vaccine;Syddanmark;30694;358
AstraZeneca Covid-19 vaccine;Hovedstaden;45855;603
AstraZeneca Covid-19 vaccine;Sjælland;23988;407
Janssen COVID-19 vaccine;Nordjylland;3653;3653
Janssen COVID-19 vaccine;Midtjylland;9899;9899
Janssen COVID-19 vaccine;Syddanmark;7515;7515
Janssen COVID-19 vaccine;Hovedstaden;22586;22586
Janssen COVID-19 vaccine;Sjælland;2778;2778
Moderna Covid-19 Vaccine;Nordjylland;66883;37273
Moderna Covid-19 Vaccine;Midtjylland;111980;53411
Moderna Covid-19 Vaccine;Syddanmark;122534;85139
Moderna Covid-19 Vaccine;Hovedstaden;133393;50059
Moderna Covid-19 Vaccine;Sjælland;77517;75192
Pfizer BioNTech Covid-19 vacc;Nordjylland;355398;306544
Pfizer BioNTech Covid-19 vacc;Midtjylland;832100;699319
Pfizer BioNTech Covid-19 vacc;Syddanmark;738873;601120
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1115059;983586
Pfizer BioNTech Covid-19 vacc;Sjælland;514094;441953
