Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.289 (49);   2.426 (51);   4.715
10-19;   6.703 (48);   7.232 (52);  13.935
20-29;   8.233 (50);   8.223 (50);  16.456
30-39;   5.818 (50);   5.775 (50);  11.593
40-49;   6.750 (52);   6.147 (48);  12.897
50-59;   6.319 (51);   6.150 (49);  12.469
60-69;   3.097 (47);   3.454 (53);   6.551
70-79;   1.937 (48);   2.091 (52);   4.028
80-89;   1.086 (56);     854 (44);   1.940
90+;     392 (71);     164 (29);     556
I alt;  42.624 (50);  42.516 (50);  85.140
