Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.180.627;  40.931;   2.555;     475
Sjælland; 455.608;  10.154;     870;     146
Syddanmark; 662.185;  11.222;     597;      58
Midtjylland; 755.017;  15.925;     828;     115
Nordjylland; 400.872;   5.922;     348;      64
I alt i Danmark;3.454.309;  84.154;   5.198;     858
