"dato","Regionsnavn","sex","Paabegyndt vacc. idag","Faerdigvacc. idag","Paabegyndt vacc. igaar","Faerdigvacc. igaar","Paabegyndt vacc. difference","Faerdigvaccineret difference"
2021-04-15,Hovedstaden,K,190343,89554,189472,87044,871,2510
2021-04-15,Hovedstaden,M,122092,55381,121404,53343,688,2038
2021-04-15,Midtjylland,K,139251,67941,137112,66751,2139,1190
2021-04-15,Midtjylland,M,86138,40747,84215,39599,1923,1148
2021-04-15,Nordjylland,K,63683,31127,62911,30791,772,336
2021-04-15,Nordjylland,M,39094,19001,38480,18648,614,353
2021-04-15,Sjælland,K,96841,42249,95644,41238,1197,1011
2021-04-15,Sjælland,M,64793,28538,63832,27552,961,986
2021-04-15,Syddanmark,K,125392,63660,124166,62816,1226,844
2021-04-15,Syddanmark,M,79539,40987,78436,40173,1103,814
