"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16863,0
AstraZeneca Covid-19 vaccine,Midtjylland,33620,4
AstraZeneca Covid-19 vaccine,Syddanmark,30417,247
AstraZeneca Covid-19 vaccine,Hovedstaden,45118,13
AstraZeneca Covid-19 vaccine,Sjælland,23863,332
Moderna Covid-19 Vaccine,Nordjylland,4543,4051
Moderna Covid-19 Vaccine,Midtjylland,17938,5266
Moderna Covid-19 Vaccine,Syddanmark,15844,6828
Moderna Covid-19 Vaccine,Hovedstaden,25352,8540
Moderna Covid-19 Vaccine,Sjælland,15088,4195
Pfizer BioNTech Covid-19 vacc,Nordjylland,81371,46077
Pfizer BioNTech Covid-19 vacc,Midtjylland,173831,103418
Pfizer BioNTech Covid-19 vacc,Syddanmark,158670,97572
Pfizer BioNTech Covid-19 vacc,Hovedstaden,241965,136382
Pfizer BioNTech Covid-19 vacc,Sjælland,122683,66260
