"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,102777,50128,590349
Midtjylland,225389,108688,1333630
Syddanmark,204931,104647,1224277
Hovedstaden,312435,144935,1856059
Sjælland,161634,70787,839790
