"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,102777,50128,17.4,8.5,590349
Midtjylland,225389,108688,16.9,8.1,1333630
Syddanmark,204931,104647,16.7,8.5,1224277
Hovedstaden,312435,144935,16.8,7.8,1856059
Sjælland,161634,70787,19.2,8.4,839790
