"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16965;34
AstraZeneca Covid-19 vaccine;Midtjylland;33879;111
AstraZeneca Covid-19 vaccine;Syddanmark;30702;375
AstraZeneca Covid-19 vaccine;Hovedstaden;45925;659
AstraZeneca Covid-19 vaccine;Sjælland;23983;412
Janssen COVID-19 vaccine;Nordjylland;3657;3657
Janssen COVID-19 vaccine;Midtjylland;9893;9893
Janssen COVID-19 vaccine;Syddanmark;7540;7540
Janssen COVID-19 vaccine;Hovedstaden;22600;22600
Janssen COVID-19 vaccine;Sjælland;2792;2792
Moderna Covid-19 Vaccine;Nordjylland;68836;60452
Moderna Covid-19 Vaccine;Midtjylland;117427;92997
Moderna Covid-19 Vaccine;Syddanmark;127548;130201
Moderna Covid-19 Vaccine;Hovedstaden;139670;113734
Moderna Covid-19 Vaccine;Sjælland;79810;94696
Pfizer BioNTech Covid-19 vacc;Nordjylland;364308;357286
Pfizer BioNTech Covid-19 vacc;Midtjylland;851016;818685
Pfizer BioNTech Covid-19 vacc;Syddanmark;757512;705162
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1142833;1113152
Pfizer BioNTech Covid-19 vacc;Sjælland;525508;497562
